cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1266290510-GES_DISC,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980101T00Z.nc4,GES_DISC,2,2018-03-21T23:16:33Z,2015-05-04T17:30:50.000Z,WC_MULTISEN_PREC_025,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980101T00Z.nc4,2.127930641174316,,Unspecified,1998-01-01T00:00:00.000Z,1998-01-01T23:59:59.000Z,-50.0,50.0,-180.0,180.0,"POLYGON ((180 -50, 180 50, -180 50, -180 -50, 180 -50))"
granule,G1266288356-GES_DISC,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980102T00Z.nc4,GES_DISC,2,2018-03-21T23:10:44Z,2015-05-04T17:30:50.000Z,WC_MULTISEN_PREC_025,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980102T00Z.nc4,2.877265930175781,,Unspecified,1998-01-02T00:00:00.000Z,1998-01-02T23:59:59.000Z,-50.0,50.0,-180.0,180.0,"POLYGON ((180 -50, 180 50, -180 50, -180 -50, 180 -50))"
granule,G1266288493-GES_DISC,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980103T00Z.nc4,GES_DISC,2,2018-03-21T23:11:02Z,2015-05-04T17:30:50.000Z,WC_MULTISEN_PREC_025,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980103T00Z.nc4,2.760977745056152,,Unspecified,1998-01-03T00:00:00.000Z,1998-01-03T23:59:59.000Z,-50.0,50.0,-180.0,180.0,"POLYGON ((180 -50, 180 50, -180 50, -180 -50, 180 -50))"
granule,G1266300209-GES_DISC,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980104T00Z.nc4,GES_DISC,2,2018-03-21T23:23:22Z,2015-05-04T17:30:50.000Z,WC_MULTISEN_PREC_025,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980104T00Z.nc4,2.832615852355957,,Unspecified,1998-01-04T00:00:00.000Z,1998-01-04T23:59:59.000Z,-50.0,50.0,-180.0,180.0,"POLYGON ((180 -50, 180 50, -180 50, -180 -50, 180 -50))"
granule,G1266288438-GES_DISC,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980105T00Z.nc4,GES_DISC,2,2018-03-21T23:10:50Z,2015-05-04T17:30:50.000Z,WC_MULTISEN_PREC_025,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980105T00Z.nc4,2.591011047363281,,Unspecified,1998-01-05T00:00:00.000Z,1998-01-05T23:59:59.000Z,-50.0,50.0,-180.0,180.0,"POLYGON ((180 -50, 180 50, -180 50, -180 -50, 180 -50))"
granule,G1266288361-GES_DISC,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980106T00Z.nc4,GES_DISC,2,2018-03-21T23:10:11Z,2015-05-04T17:30:50.000Z,WC_MULTISEN_PREC_025,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980106T00Z.nc4,2.662356376647949,,Unspecified,1998-01-06T00:00:00.000Z,1998-01-06T23:59:59.000Z,-50.0,50.0,-180.0,180.0,"POLYGON ((180 -50, 180 50, -180 50, -180 -50, 180 -50))"
granule,G1266288380-GES_DISC,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980107T00Z.nc4,GES_DISC,2,2018-03-21T23:10:25Z,2015-05-04T17:30:50.000Z,WC_MULTISEN_PREC_025,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980107T00Z.nc4,2.541217803955078,,Unspecified,1998-01-07T00:00:00.000Z,1998-01-07T23:59:59.000Z,-50.0,50.0,-180.0,180.0,"POLYGON ((180 -50, 180 50, -180 50, -180 -50, 180 -50))"
granule,G1266300170-GES_DISC,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980108T00Z.nc4,GES_DISC,2,2018-03-21T23:23:12Z,2015-05-04T17:30:50.000Z,WC_MULTISEN_PREC_025,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980108T00Z.nc4,2.540670394897461,,Unspecified,1998-01-08T00:00:00.000Z,1998-01-08T23:59:59.000Z,-50.0,50.0,-180.0,180.0,"POLYGON ((180 -50, 180 50, -180 50, -180 -50, 180 -50))"
granule,G1266300138-GES_DISC,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980109T00Z.nc4,GES_DISC,2,2018-03-21T23:23:27Z,2015-05-04T17:30:50.000Z,WC_MULTISEN_PREC_025,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980109T00Z.nc4,2.912627220153809,,Unspecified,1998-01-09T00:00:00.000Z,1998-01-09T23:59:59.000Z,-50.0,50.0,-180.0,180.0,"POLYGON ((180 -50, 180 50, -180 50, -180 -50, 180 -50))"
granule,G1266300219-GES_DISC,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980110T00Z.nc4,GES_DISC,2,2018-03-21T23:23:28Z,2015-05-04T17:30:51.000Z,WC_MULTISEN_PREC_025,WC_MULTISEN_PREC_025.001:WC_MULTISEN_PREC_025_L3_V001_19980110T00Z.nc4,2.698740005493164,,Unspecified,1998-01-10T00:00:00.000Z,1998-01-10T23:59:59.000Z,-50.0,50.0,-180.0,180.0,"POLYGON ((180 -50, 180 50, -180 50, -180 -50, 180 -50))"
