cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422936924-ORNL_DAAC,AFRICAN_RAINFALL_PATTERNS.hesz_w_d_clim_r1mm.nc,ORNL_DAAC,1.0,2017-09-28T18:54:14Z,2015-01-27T00:00:00.000Z,AFRICAN_RAINFALL_PATTERNS_1263,AFRICAN_RAINFALL_PATTERNS.hesz_w_d_clim_r1mm.nc,4.642,,Both,1998-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-40.0,40.0,-20.0,55.0,"POLYGON ((55 -40, 55 40, -20 40, -20 -40, 55 -40))"
granule,G1422936977-ORNL_DAAC,AFRICAN_RAINFALL_PATTERNS.desz_w_w_clim_r1mm.nc,ORNL_DAAC,1.0,2017-09-28T18:54:15Z,2015-01-27T00:00:00.000Z,AFRICAN_RAINFALL_PATTERNS_1263,AFRICAN_RAINFALL_PATTERNS.desz_w_w_clim_r1mm.nc,4.642,,Both,1998-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-40.0,40.0,-20.0,55.0,"POLYGON ((55 -40, 55 40, -20 40, -20 -40, 55 -40))"
granule,G1422937026-ORNL_DAAC,AFRICAN_RAINFALL_PATTERNS.hesz_shp_clim_r1mm.nc,ORNL_DAAC,1.0,2017-09-28T18:54:15Z,2015-01-27T00:00:00.000Z,AFRICAN_RAINFALL_PATTERNS_1263,AFRICAN_RAINFALL_PATTERNS.hesz_shp_clim_r1mm.nc,4.642,,Both,1998-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-40.0,40.0,-20.0,55.0,"POLYGON ((55 -40, 55 40, -20 40, -20 -40, 55 -40))"
granule,G1422937073-ORNL_DAAC,AFRICAN_RAINFALL_PATTERNS.desz_shp_clim_r1mm.nc,ORNL_DAAC,1.0,2017-09-28T18:54:16Z,2015-01-27T00:00:00.000Z,AFRICAN_RAINFALL_PATTERNS_1263,AFRICAN_RAINFALL_PATTERNS.desz_shp_clim_r1mm.nc,4.642,,Both,1998-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-40.0,40.0,-20.0,55.0,"POLYGON ((55 -40, 55 40, -20 40, -20 -40, 55 -40))"
granule,G1422937115-ORNL_DAAC,,ORNL_DAAC,,,2015-01-27T00:00:00.000Z,AFRICAN_RAINFALL_PATTERNS_1263,AFRICAN_RAINFALL_PATTERNS.hesz_w_w_clim_r1mm.nc,4.642,,Both,1998-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-40.0,40.0,-20.0,55.0,"POLYGON ((55 -40, 55 40, -20 40, -20 -40, 55 -40))"
granule,G1422937164-ORNL_DAAC,AFRICAN_RAINFALL_PATTERNS.desz_w_d_clim_r1mm.nc,ORNL_DAAC,1.0,2017-09-28T18:54:17Z,2015-01-27T00:00:00.000Z,AFRICAN_RAINFALL_PATTERNS_1263,AFRICAN_RAINFALL_PATTERNS.desz_w_d_clim_r1mm.nc,4.642,,Both,1998-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-40.0,40.0,-20.0,55.0,"POLYGON ((55 -40, 55 40, -20 40, -20 -40, 55 -40))"
granule,G1422937210-ORNL_DAAC,AFRICAN_RAINFALL_PATTERNS.dura_clim_r1mm.nc,ORNL_DAAC,1.0,2017-09-28T18:54:17Z,2015-01-27T00:00:00.000Z,AFRICAN_RAINFALL_PATTERNS_1263,AFRICAN_RAINFALL_PATTERNS.dura_clim_r1mm.nc,4.64186,,Both,1998-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-40.0,40.0,-20.0,55.0,"POLYGON ((55 -40, 55 40, -20 40, -20 -40, 55 -40))"
granule,G1422937257-ORNL_DAAC,AFRICAN_RAINFALL_PATTERNS.hesz_sca_clim_r1mm.nc,ORNL_DAAC,1.0,2017-09-28T18:54:18Z,2015-01-27T00:00:00.000Z,AFRICAN_RAINFALL_PATTERNS_1263,AFRICAN_RAINFALL_PATTERNS.hesz_sca_clim_r1mm.nc,4.642,,Both,1998-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-40.0,40.0,-20.0,55.0,"POLYGON ((55 -40, 55 40, -20 40, -20 -40, 55 -40))"
granule,G1422937303-ORNL_DAAC,AFRICAN_RAINFALL_PATTERNS.inte_clim_r1mm.nc,ORNL_DAAC,1.0,2017-09-28T18:54:18Z,2015-01-27T00:00:00.000Z,AFRICAN_RAINFALL_PATTERNS_1263,AFRICAN_RAINFALL_PATTERNS.inte_clim_r1mm.nc,4.641868,,Both,1998-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-40.0,40.0,-20.0,55.0,"POLYGON ((55 -40, 55 40, -20 40, -20 -40, 55 -40))"
granule,G1422937349-ORNL_DAAC,AFRICAN_RAINFALL_PATTERNS.amnt_clim_r1mm.nc,ORNL_DAAC,1.0,2017-09-28T18:54:19Z,2015-01-27T00:00:00.000Z,AFRICAN_RAINFALL_PATTERNS_1263,AFRICAN_RAINFALL_PATTERNS.amnt_clim_r1mm.nc,4.641872,,Both,1998-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-40.0,40.0,-20.0,55.0,"POLYGON ((55 -40, 55 40, -20 40, -20 -40, 55 -40))"
