cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422962452-ORNL_DAAC,Dendrophenology_Eastern_US.cato_phenology_pre2013_summer_greendown.tif,ORNL_DAAC,1,2017-09-28T19:16:47Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.cato_phenology_pre2013_summer_greendown.tif,0.710831,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,39.5422,39.6947,-77.525,-77.407,"POLYGON ((-77.407 39.5422, -77.407 39.6947, -77.52500000000001 39.6947, -77.52500000000001 39.5422, -77.407 39.5422))"
granule,G1422962453-ORNL_DAAC,Dendrophenology_Eastern_US.prwi_phenology_pre2013_potential_amplitude.tif,ORNL_DAAC,1,2017-09-28T19:16:47Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.prwi_phenology_pre2013_potential_amplitude.tif,0.378776,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,38.5592,38.6439,-77.441,-77.322,"POLYGON ((-77.322 38.5592, -77.322 38.6439, -77.441 38.6439, -77.441 38.5592, -77.322 38.5592))"
granule,G1422962454-ORNL_DAAC,Dendrophenology_Eastern_US.cato_phenology_pre2013_min_veg_cover.tif,ORNL_DAAC,1,2017-09-28T19:16:48Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.cato_phenology_pre2013_min_veg_cover.tif,0.698918,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,39.5422,39.6947,-77.525,-77.407,"POLYGON ((-77.407 39.5422, -77.407 39.6947, -77.52500000000001 39.6947, -77.52500000000001 39.5422, -77.407 39.5422))"
granule,G1422962455-ORNL_DAAC,Dendrophenology_Eastern_US.hafe_phenology_pre2013_summer_greendown.tif,ORNL_DAAC,1,2017-09-28T19:16:48Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.hafe_phenology_pre2013_summer_greendown.tif,0.466904,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,39.2881,39.3558,-77.796,-77.627,"POLYGON ((-77.627 39.2881, -77.627 39.3558, -77.79600000000001 39.3558, -77.79600000000001 39.2881, -77.627 39.2881))"
granule,G1422962456-ORNL_DAAC,Dendrophenology_Eastern_US.cato_phenology_pre2013_model_iterations.tif,ORNL_DAAC,1,2017-09-28T19:16:49Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.cato_phenology_pre2013_model_iterations.tif,0.118261,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,39.5422,39.6947,-77.525,-77.407,"POLYGON ((-77.407 39.5422, -77.407 39.6947, -77.52500000000001 39.6947, -77.52500000000001 39.5422, -77.407 39.5422))"
granule,G1422962457-ORNL_DAAC,Dendrophenology_Eastern_US.grsm_phenology_pre2013_autumn_offset_slope.tif,ORNL_DAAC,1,2017-09-28T19:16:49Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.grsm_phenology_pre2013_autumn_offset_slope.tif,26.447554,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,35.3389,35.8981,-84.034,-82.983,"POLYGON ((-82.983 35.3389, -82.983 35.8981, -84.03400000000001 35.8981, -84.03400000000001 35.3389, -82.983 35.3389))"
granule,G1422962458-ORNL_DAAC,Dendrophenology_Eastern_US.prwi_phenology_pre2013_model_iterations.tif,ORNL_DAAC,1,2017-09-28T19:16:49Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.prwi_phenology_pre2013_model_iterations.tif,0.044536,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,38.5592,38.6439,-77.441,-77.322,"POLYGON ((-77.322 38.5592, -77.322 38.6439, -77.441 38.6439, -77.441 38.5592, -77.322 38.5592))"
granule,G1422962459-ORNL_DAAC,Dendrophenology_Eastern_US.prwi_phenology_pre2013_min_veg_cover.tif,ORNL_DAAC,1,2017-09-28T19:16:50Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.prwi_phenology_pre2013_min_veg_cover.tif,0.379535,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,38.5592,38.6439,-77.441,-77.322,"POLYGON ((-77.322 38.5592, -77.322 38.6439, -77.441 38.6439, -77.441 38.5592, -77.322 38.5592))"
granule,G1422962460-ORNL_DAAC,Dendrophenology_Eastern_US.prwi_phenology_pre2013_summer_greendown.tif,ORNL_DAAC,1,2017-09-28T19:16:50Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.prwi_phenology_pre2013_summer_greendown.tif,0.381966,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,38.5592,38.6439,-77.441,-77.322,"POLYGON ((-77.322 38.5592, -77.322 38.6439, -77.441 38.6439, -77.441 38.5592, -77.322 38.5592))"
granule,G1422962461-ORNL_DAAC,Dendrophenology_Eastern_US.hafe_phenology_pre2013_spring_onset.tif,ORNL_DAAC,1,2017-09-28T19:16:51Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.hafe_phenology_pre2013_spring_onset.tif,0.422021,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,39.2881,39.3558,-77.796,-77.627,"POLYGON ((-77.627 39.2881, -77.627 39.3558, -77.79600000000001 39.3558, -77.79600000000001 39.2881, -77.627 39.2881))"
granule,G1422962462-ORNL_DAAC,Dendrophenology_Eastern_US.hafe_phenology_pre2013_autumn_offset.tif,ORNL_DAAC,1,2017-09-28T19:16:51Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.hafe_phenology_pre2013_autumn_offset.tif,0.402781,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,39.2881,39.3558,-77.796,-77.627,"POLYGON ((-77.627 39.2881, -77.627 39.3558, -77.79600000000001 39.3558, -77.79600000000001 39.2881, -77.627 39.2881))"
granule,G1422962463-ORNL_DAAC,Dendrophenology_Eastern_US.prwi_phenology_pre2013_num_landsat_images.tif,ORNL_DAAC,1,2017-09-28T19:16:52Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.prwi_phenology_pre2013_num_landsat_images.tif,0.06669,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,38.5592,38.6439,-77.441,-77.322,"POLYGON ((-77.322 38.5592, -77.322 38.6439, -77.441 38.6439, -77.441 38.5592, -77.322 38.5592))"
granule,G1422962464-ORNL_DAAC,Dendrophenology_Eastern_US.grsm_phenology_pre2013_num_landsat_images.tif,ORNL_DAAC,1,2017-09-28T19:16:52Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.grsm_phenology_pre2013_num_landsat_images.tif,6.499411,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,35.3389,35.8981,-84.034,-82.983,"POLYGON ((-82.983 35.3389, -82.983 35.8981, -84.03400000000001 35.8981, -84.03400000000001 35.3389, -82.983 35.3389))"
granule,G1422962465-ORNL_DAAC,Dendrophenology_Eastern_US.hafe_phenology_pre2013_model_misfit.tif,ORNL_DAAC,1,2017-09-28T19:16:53Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.hafe_phenology_pre2013_model_misfit.tif,0.447331,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,39.2881,39.3558,-77.796,-77.627,"POLYGON ((-77.627 39.2881, -77.627 39.3558, -77.79600000000001 39.3558, -77.79600000000001 39.2881, -77.627 39.2881))"
granule,G1422962466-ORNL_DAAC,Dendrophenology_Eastern_US.grsm_phenology_pre2013_autumn_offset.tif,ORNL_DAAC,1,2017-09-28T19:16:53Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.grsm_phenology_pre2013_autumn_offset.tif,23.583091,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,35.3389,35.8981,-84.034,-82.983,"POLYGON ((-82.983 35.3389, -82.983 35.8981, -84.03400000000001 35.8981, -84.03400000000001 35.3389, -82.983 35.3389))"
granule,G1422962467-ORNL_DAAC,Dendrophenology_Eastern_US.grsm_phenology_pre2013_model_misfit.tif,ORNL_DAAC,1,2017-09-28T19:16:54Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.grsm_phenology_pre2013_model_misfit.tif,26.659209,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,35.3389,35.8981,-84.034,-82.983,"POLYGON ((-82.983 35.3389, -82.983 35.8981, -84.03400000000001 35.8981, -84.03400000000001 35.3389, -82.983 35.3389))"
granule,G1422962468-ORNL_DAAC,Dendrophenology_Eastern_US.cato_phenology_pre2013_autumn_offset.tif,ORNL_DAAC,1,2017-09-28T19:16:54Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.cato_phenology_pre2013_autumn_offset.tif,0.620676,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,39.5422,39.6947,-77.525,-77.407,"POLYGON ((-77.407 39.5422, -77.407 39.6947, -77.52500000000001 39.6947, -77.52500000000001 39.5422, -77.407 39.5422))"
granule,G1422962469-ORNL_DAAC,Dendrophenology_Eastern_US.prwi_phenology_pre2013_spring_onset_slope.tif,ORNL_DAAC,1,2017-09-28T19:16:54Z,2017-03-16T00:00:00.000Z,Dendrophenology_Eastern_US_1369,Dendrophenology_Eastern_US.prwi_phenology_pre2013_spring_onset_slope.tif,0.372246,,Both,1984-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,38.5592,38.6439,-77.441,-77.322,"POLYGON ((-77.322 38.5592, -77.322 38.6439, -77.441 38.6439, -77.441 38.5592, -77.322 38.5592))"
