cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422933441-ORNL_DAAC,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Topsoil_Sand_Fraction.tif,ORNL_DAAC,1,2017-09-28T18:52:13Z,2014-08-27T00:00:00.000Z,NACP_MSTMIP_UNIFIED_NA_SOIL_MA_1242,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Topsoil_Sand_Fraction.tif,0.167618,,Both,1993-01-01T00:00:00.000Z,2010-12-30T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422933454-ORNL_DAAC,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Topsoil_Reference_Bulk_Density.tif,ORNL_DAAC,1,2017-09-28T18:52:14Z,2014-08-27T00:00:00.000Z,NACP_MSTMIP_UNIFIED_NA_SOIL_MA_1242,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Topsoil_Reference_Bulk_Density.tif,0.214592,,Both,1993-01-01T00:00:00.000Z,2010-12-30T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422933462-ORNL_DAAC,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Topsoil_Silt_Fraction.tif,ORNL_DAAC,1,2017-09-28T18:52:14Z,2014-08-27T00:00:00.000Z,NACP_MSTMIP_UNIFIED_NA_SOIL_MA_1242,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Topsoil_Silt_Fraction.tif,0.16496,,Both,1993-01-01T00:00:00.000Z,2010-12-30T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422933470-ORNL_DAAC,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Subsoil_Silt_Fraction.tif,ORNL_DAAC,1,2017-09-28T18:52:15Z,2014-08-27T00:00:00.000Z,NACP_MSTMIP_UNIFIED_NA_SOIL_MA_1242,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Subsoil_Silt_Fraction.tif,0.159928,,Both,1993-01-01T00:00:00.000Z,2010-12-30T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422933477-ORNL_DAAC,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Topsoil_Organic_Carbon.tif,ORNL_DAAC,1,2017-09-28T18:52:15Z,2014-08-27T00:00:00.000Z,NACP_MSTMIP_UNIFIED_NA_SOIL_MA_1242,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Topsoil_Organic_Carbon.tif,0.211998,,Both,1993-01-01T00:00:00.000Z,2010-12-30T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422933486-ORNL_DAAC,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Topsoil_Gravel_Content.tif,ORNL_DAAC,1,2017-09-28T18:52:16Z,2014-08-27T00:00:00.000Z,NACP_MSTMIP_UNIFIED_NA_SOIL_MA_1242,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Topsoil_Gravel_Content.tif,0.162635,,Both,1993-01-01T00:00:00.000Z,2010-12-30T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422933493-ORNL_DAAC,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_First_Dominant_Soil_Component_Area_Percentage.tif,ORNL_DAAC,1,2017-09-28T18:52:16Z,2014-08-27T00:00:00.000Z,NACP_MSTMIP_UNIFIED_NA_SOIL_MA_1242,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_First_Dominant_Soil_Component_Area_Percentage.tif,0.305455,,Both,1993-01-01T00:00:00.000Z,2010-12-30T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422933500-ORNL_DAAC,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Subsoil_Sand_Fraction.tif,ORNL_DAAC,1,2017-09-28T18:52:17Z,2014-08-27T00:00:00.000Z,NACP_MSTMIP_UNIFIED_NA_SOIL_MA_1242,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Subsoil_Sand_Fraction.tif,0.163208,,Both,1993-01-01T00:00:00.000Z,2010-12-30T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422933508-ORNL_DAAC,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Subsoil_Clay_Fraction.tif,ORNL_DAAC,1,2017-09-28T18:52:17Z,2014-08-27T00:00:00.000Z,NACP_MSTMIP_UNIFIED_NA_SOIL_MA_1242,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Subsoil_Clay_Fraction.tif,0.157324,,Both,1993-01-01T00:00:00.000Z,2010-12-30T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422933515-ORNL_DAAC,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Subsoil_pH.tif,ORNL_DAAC,1,2017-09-28T18:52:18Z,2014-08-27T00:00:00.000Z,NACP_MSTMIP_UNIFIED_NA_SOIL_MA_1242,NACP_MSTMIP_UNIFIED_NA_SOIL_MA.Unified_NA_Soil_Map_Subsoil_pH.tif,0.192237,,Both,1993-01-01T00:00:00.000Z,2010-12-30T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
