cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422920550-ORNL_DAAC,NACP_REGIONAL_MODEL_GHG_AGGR.TBM_LPJmL_Zonal_Monthly.zip,ORNL_DAAC,1,2017-09-28T18:44:14Z,2013-08-28T00:00:00.000Z,NACP_REGIONAL_MODEL_GHG_AGGR_1179,NACP_REGIONAL_MODEL_GHG_AGGR.TBM_LPJmL_Zonal_Monthly.zip,2.042483,,Both,2000-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422920596-ORNL_DAAC,NACP_REGIONAL_MODEL_GHG_AGGR.Inventory_MEX.zip,ORNL_DAAC,1,2017-09-28T18:44:14Z,2013-08-28T00:00:00.000Z,NACP_REGIONAL_MODEL_GHG_AGGR_1179,NACP_REGIONAL_MODEL_GHG_AGGR.Inventory_MEX.zip,0.004337,,Both,2000-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422920638-ORNL_DAAC,NACP_REGIONAL_MODEL_GHG_AGGR.TBM_VEGAS2_Zonal_Monthly.zip,ORNL_DAAC,1,2017-09-28T18:44:14Z,2013-08-28T00:00:00.000Z,NACP_REGIONAL_MODEL_GHG_AGGR_1179,NACP_REGIONAL_MODEL_GHG_AGGR.TBM_VEGAS2_Zonal_Monthly.zip,3.285909,,Both,2000-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422920698-ORNL_DAAC,NACP_REGIONAL_MODEL_GHG_AGGR.TBM_CLM-CASA_i55q15_InventoryZone.zip,ORNL_DAAC,1,2017-09-28T18:44:15Z,2013-08-28T00:00:00.000Z,NACP_REGIONAL_MODEL_GHG_AGGR_1179,NACP_REGIONAL_MODEL_GHG_AGGR.TBM_CLM-CASA_i55q15_InventoryZone.zip,1.586818,,Both,2000-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422920744-ORNL_DAAC,NACP_REGIONAL_MODEL_GHG_AGGR.Inventory_CAN.zip,ORNL_DAAC,1,2017-09-28T18:44:15Z,2013-08-28T00:00:00.000Z,NACP_REGIONAL_MODEL_GHG_AGGR_1179,NACP_REGIONAL_MODEL_GHG_AGGR.Inventory_CAN.zip,0.004168,,Both,2000-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422920796-ORNL_DAAC,NACP_REGIONAL_MODEL_GHG_AGGR.TBM_CASA-GFEDv2_InventoryZone.zip,ORNL_DAAC,1,2017-09-28T18:44:16Z,2013-08-28T00:00:00.000Z,NACP_REGIONAL_MODEL_GHG_AGGR_1179,NACP_REGIONAL_MODEL_GHG_AGGR.TBM_CASA-GFEDv2_InventoryZone.zip,1.2692,,Both,2000-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422920843-ORNL_DAAC,NACP_REGIONAL_MODEL_GHG_AGGR.IM_UToronto_InventoryZone.zip,ORNL_DAAC,1,2017-09-28T18:44:16Z,2013-08-28T00:00:00.000Z,NACP_REGIONAL_MODEL_GHG_AGGR_1179,NACP_REGIONAL_MODEL_GHG_AGGR.IM_UToronto_InventoryZone.zip,0.321778,,Both,2000-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422920888-ORNL_DAAC,NACP_REGIONAL_MODEL_GHG_AGGR.IM_LCSE-no2_InventoryZone.zip,ORNL_DAAC,1,2017-09-28T18:44:17Z,2013-08-28T00:00:00.000Z,NACP_REGIONAL_MODEL_GHG_AGGR_1179,NACP_REGIONAL_MODEL_GHG_AGGR.IM_LCSE-no2_InventoryZone.zip,0.405726,,Both,2000-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422920936-ORNL_DAAC,NACP_REGIONAL_MODEL_GHG_AGGR.TBM_CLM-CASA_55_Zonal_Monthly.zip,ORNL_DAAC,1,2017-09-28T18:44:17Z,2013-08-28T00:00:00.000Z,NACP_REGIONAL_MODEL_GHG_AGGR_1179,NACP_REGIONAL_MODEL_GHG_AGGR.TBM_CLM-CASA_55_Zonal_Monthly.zip,1.583955,,Both,2000-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422920992-ORNL_DAAC,NACP_REGIONAL_MODEL_GHG_AGGR.TBM_CLM-CN_56_Zonal_Monthly.zip,ORNL_DAAC,1,2017-09-28T18:44:18Z,2013-08-28T00:00:00.000Z,NACP_REGIONAL_MODEL_GHG_AGGR_1179,NACP_REGIONAL_MODEL_GHG_AGGR.TBM_CLM-CN_56_Zonal_Monthly.zip,1.571951,,Both,2000-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
