cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422923995-ORNL_DAAC,NACP_SITE_MODEL_DATA_ORIG_FMT.CLM4.zip,ORNL_DAAC,1.0,2017-09-28T18:45:32Z,2013-10-01T00:00:00.000Z,NACP_SITE_MODEL_DATA_ORIG_FMT_1192,NACP_SITE_MODEL_DATA_ORIG_FMT.CLM4.zip,716.662654,,Both,1990-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422924024-ORNL_DAAC,NACP_SITE_MODEL_DATA_ORIG_FMT.SiBCASA.zip,ORNL_DAAC,1.0,2017-09-28T18:45:32Z,2013-10-01T00:00:00.000Z,NACP_SITE_MODEL_DATA_ORIG_FMT_1192,NACP_SITE_MODEL_DATA_ORIG_FMT.SiBCASA.zip,1715.942853,,Both,1990-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422924055-ORNL_DAAC,NACP_SITE_MODEL_DATA_ORIG_FMT.ECLUEEDCM.zip,ORNL_DAAC,1.0,2017-09-28T18:45:33Z,2013-10-01T00:00:00.000Z,NACP_SITE_MODEL_DATA_ORIG_FMT_1192,NACP_SITE_MODEL_DATA_ORIG_FMT.ECLUEEDCM.zip,11.655747,,Both,1990-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422924095-ORNL_DAAC,NACP_SITE_MODEL_DATA_ORIG_FMT.SiBCrop.zip,ORNL_DAAC,1.0,2017-09-28T18:45:33Z,2013-10-01T00:00:00.000Z,NACP_SITE_MODEL_DATA_ORIG_FMT_1192,NACP_SITE_MODEL_DATA_ORIG_FMT.SiBCrop.zip,28.982198,,Both,1990-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422924129-ORNL_DAAC,NACP_SITE_MODEL_DATA_ORIG_FMT.Can-IBIS.zip,ORNL_DAAC,1.0,2017-09-28T18:45:34Z,2013-10-01T00:00:00.000Z,NACP_SITE_MODEL_DATA_ORIG_FMT_1192,NACP_SITE_MODEL_DATA_ORIG_FMT.Can-IBIS.zip,621.752303,,Both,1990-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422924161-ORNL_DAAC,NACP_SITE_MODEL_DATA_ORIG_FMT.LPJ.zip,ORNL_DAAC,1.0,2017-09-28T18:45:34Z,2013-10-01T00:00:00.000Z,NACP_SITE_MODEL_DATA_ORIG_FMT_1192,NACP_SITE_MODEL_DATA_ORIG_FMT.LPJ.zip,14.950122,,Both,1990-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422924191-ORNL_DAAC,,ORNL_DAAC,,,2013-10-01T00:00:00.000Z,NACP_SITE_MODEL_DATA_ORIG_FMT_1192,NACP_SITE_MODEL_DATA_ORIG_FMT.EPIC.zip,2.049534,,Both,1990-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422924225-ORNL_DAAC,,ORNL_DAAC,,,2013-10-01T00:00:00.000Z,NACP_SITE_MODEL_DATA_ORIG_FMT_1192,NACP_SITE_MODEL_DATA_ORIG_FMT.TRIPLEX.zip,10.819603,,Both,1990-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422924261-ORNL_DAAC,NACP_SITE_MODEL_DATA_ORIG_FMT.SSiB2.zip,ORNL_DAAC,1.0,2017-09-28T18:45:36Z,2013-10-01T00:00:00.000Z,NACP_SITE_MODEL_DATA_ORIG_FMT_1192,NACP_SITE_MODEL_DATA_ORIG_FMT.SSiB2.zip,485.268149,,Both,1990-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
granule,G1422924300-ORNL_DAAC,NACP_SITE_MODEL_DATA_ORIG_FMT.ORCHIDEE.zip,ORNL_DAAC,1.0,2017-09-28T18:45:36Z,2013-10-01T00:00:00.000Z,NACP_SITE_MODEL_DATA_ORIG_FMT_1192,NACP_SITE_MODEL_DATA_ORIG_FMT.ORCHIDEE.zip,384.565299,,Both,1990-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,10.0,84.0,-170.0,-50.0,"POLYGON ((-50 10, -50 84, -170 84, -170 10, -50 10))"
