cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422919390-ORNL_DAAC,NACP_SITE_TOWER_MET_AND_FLUX.US-Ha1_observation.zip,ORNL_DAAC,1.0,2017-09-28T18:43:59Z,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.US-Ha1_observation.zip,14.087758,,Both,1991-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919412-ORNL_DAAC,NACP_SITE_TOWER_MET_AND_FLUX.CA-Man_observation.zip,ORNL_DAAC,1.0,2017-09-28T18:44:00Z,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.CA-Man_observation.zip,10.777434,,Both,1994-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919395-ORNL_DAAC,NACP_SITE_TOWER_MET_AND_FLUX.US-PFa_observation.zip,ORNL_DAAC,1.0,2017-09-28T18:43:59Z,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.US-PFa_observation.zip,8.631592,,Both,1995-01-01T00:00:00.000Z,2005-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919285-ORNL_DAAC,,ORNL_DAAC,,,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.US-Ho1_observation.zip,18.2921,,Both,1996-01-01T00:00:00.000Z,2004-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919371-ORNL_DAAC,,ORNL_DAAC,,,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.US-Me4_observation.zip,4.64985,,Both,1996-01-01T00:00:00.000Z,2000-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919293-ORNL_DAAC,,ORNL_DAAC,,,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.CA-Oas_observation.zip,19.137374,,Both,1997-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919330-ORNL_DAAC,,ORNL_DAAC,,,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.US-Shd_observation.zip,4.942291,,Both,1997-01-01T00:00:00.000Z,2000-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919804-ORNL_DAAC,NACP_SITE_TOWER_MET_AND_FLUX.CA-Let_observation.zip,ORNL_DAAC,1.0,2017-09-28T18:44:06Z,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.CA-Let_observation.zip,19.747253,,Both,1997-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919248-ORNL_DAAC,,ORNL_DAAC,,,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.US-Brw_observation.zip,7.84805,,Both,1998-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919303-ORNL_DAAC,,ORNL_DAAC,,,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.US-WCr_observation.zip,14.854732,,Both,1998-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919519-ORNL_DAAC,NACP_SITE_TOWER_MET_AND_FLUX.US-NR1_observation.zip,ORNL_DAAC,1.0,2017-09-28T18:44:03Z,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.US-NR1_observation.zip,17.64264,,Both,1998-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919733-ORNL_DAAC,NACP_SITE_TOWER_MET_AND_FLUX.US-Dk3_observation.zip,ORNL_DAAC,1.0,2017-09-28T18:44:05Z,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.US-Dk3_observation.zip,14.356766,,Both,1998-01-01T00:00:00.000Z,2005-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919887-ORNL_DAAC,NACP_SITE_TOWER_MET_AND_FLUX.US-UMB_observation.zip,ORNL_DAAC,1.0,2017-09-28T18:44:07Z,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.US-UMB_observation.zip,8.093699,,Both,1998-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422920256-ORNL_DAAC,NACP_SITE_TOWER_MET_AND_FLUX.CA-Ca1_observation.zip,ORNL_DAAC,1.0,2017-09-28T18:44:11Z,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.CA-Ca1_observation.zip,17.293046,,Both,1998-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422920344-ORNL_DAAC,NACP_SITE_TOWER_MET_AND_FLUX.US-SO2_observation.zip,ORNL_DAAC,1.0,2017-09-28T18:44:12Z,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.US-SO2_observation.zip,15.675076,,Both,1998-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919271-ORNL_DAAC,,ORNL_DAAC,,,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.CA-Mer_observation.zip,14.112974,,Both,1999-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919433-ORNL_DAAC,NACP_SITE_TOWER_MET_AND_FLUX.US-Atq_observation.zip,ORNL_DAAC,1.0,2017-09-28T18:44:01Z,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.US-Atq_observation.zip,6.537995,,Both,1999-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919567-ORNL_DAAC,NACP_SITE_TOWER_MET_AND_FLUX.US-MMS_observation.zip,ORNL_DAAC,1.0,2017-09-28T18:44:03Z,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.US-MMS_observation.zip,7.749958,,Both,1999-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919764-ORNL_DAAC,NACP_SITE_TOWER_MET_AND_FLUX.US-Me5_observation.zip,ORNL_DAAC,1.0,2017-09-28T18:44:06Z,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.US-Me5_observation.zip,6.306231,,Both,1999-01-01T00:00:00.000Z,2002-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919276-ORNL_DAAC,,ORNL_DAAC,,,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.US-Los_observation.zip,12.072608,,Both,2000-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919351-ORNL_DAAC,,ORNL_DAAC,,,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.CA-Ojp_observation.zip,13.510571,,Both,2000-01-01T00:00:00.000Z,2006-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422919403-ORNL_DAAC,NACP_SITE_TOWER_MET_AND_FLUX.US-ARM_observation.zip,ORNL_DAAC,1.0,2017-09-28T18:44:00Z,2013-08-09T00:00:00.000Z,NACP_SITE_TOWER_MET_AND_FLUX_1178,NACP_SITE_TOWER_MET_AND_FLUX.US-ARM_observation.zip,13.64691,,Both,2000-01-01T00:00:00.000Z,2007-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
