cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422910685-ORNL_DAAC,NBCD2000_V2.NBCD_MZ62_SRTM_datatakes.tgz,ORNL_DAAC,1,2017-09-28T18:38:58Z,2013-05-29T00:00:00.000Z,NBCD2000_V2_1161,NBCD2000_V2.NBCD_MZ62_SRTM_datatakes.tgz,2.118917,,Both,1999-01-01T00:00:00.000Z,2002-12-31T00:00:00.000Z,38.3558,42.0678,-83.5931,-78.5253,"POLYGON ((-78.5253 38.3558, -78.5253 42.0678, -83.59310000000001 42.0678, -83.59310000000001 38.3558, -78.5253 38.3558))"
granule,G1422910688-ORNL_DAAC,NBCD2000_V2.NBCD_MZ47_NCE_ALD_biomass.tgz,ORNL_DAAC,1,2017-09-28T18:38:59Z,2013-05-29T00:00:00.000Z,NBCD2000_V2_1161,NBCD2000_V2.NBCD_MZ47_NCE_ALD_biomass.tgz,110.506279,,Both,1999-01-01T00:00:00.000Z,2002-12-31T00:00:00.000Z,35.5422,39.5422,-89.8642,-82.8981,"POLYGON ((-82.8981 35.5422, -82.8981 39.5422, -89.8642 39.5422, -89.8642 35.5422, -82.8981 35.5422))"
granule,G1422910691-ORNL_DAAC,NBCD2000_V2.NBCD_MZ19_BAW_height.tgz,ORNL_DAAC,1,2017-09-28T18:38:59Z,2013-05-29T00:00:00.000Z,NBCD2000_V2_1161,NBCD2000_V2.NBCD_MZ19_BAW_height.tgz,72.05639,,Both,1999-01-01T00:00:00.000Z,2002-12-31T00:00:00.000Z,43.4406,49.5761,-114.136,-110.39,"POLYGON ((-110.39 43.4406, -110.39 49.5761, -114.136 49.5761, -114.136 43.4406, -110.39 43.4406))"
granule,G1422910695-ORNL_DAAC,NBCD2000_V2.NBCD_MZ63_NCE_ALD_biomass.tgz,ORNL_DAAC,1,2017-09-28T18:39:00Z,2013-05-29T00:00:00.000Z,NBCD2000_V2_1161,NBCD2000_V2.NBCD_MZ63_NCE_ALD_biomass.tgz,71.119347,,Both,1999-01-01T00:00:00.000Z,2002-12-31T00:00:00.000Z,41.2881,43.8981,-80.8303,-74.7117,"POLYGON ((-74.71169999999999 41.2881, -74.71169999999999 43.8981, -80.83029999999999 43.8981, -80.83029999999999 41.2881, -74.71169999999999 41.2881))"
granule,G1422910698-ORNL_DAAC,NBCD2000_V2.NBCD_MZ58_NCE_ALD_biomass.tgz,ORNL_DAAC,1,2017-09-28T18:39:00Z,2013-05-29T00:00:00.000Z,NBCD2000_V2_1161,NBCD2000_V2.NBCD_MZ58_NCE_ALD_biomass.tgz,95.67963,,Both,1999-01-01T00:00:00.000Z,2002-12-31T00:00:00.000Z,26.52,49.79,126.46,67.96,"POLYGON ((67.95999999999999 26.52, 67.95999999999999 49.79, 126.46 49.79, 126.46 26.52, 67.95999999999999 26.52))"
granule,G1422910702-ORNL_DAAC,NBCD2000_V2.NBCD_MZ31_FIA_ALD_biomass.tgz,ORNL_DAAC,1,2017-09-28T18:39:01Z,2013-05-29T00:00:00.000Z,NBCD2000_V2_1161,NBCD2000_V2.NBCD_MZ31_FIA_ALD_biomass.tgz,9.764383,,Both,1999-01-01T00:00:00.000Z,2002-12-31T00:00:00.000Z,40.4067,44.8981,-104.0,-97.6269,"POLYGON ((-97.62690000000001 40.4067, -97.62690000000001 44.8981, -104 44.8981, -104 40.4067, -97.62690000000001 40.4067))"
granule,G1422910705-ORNL_DAAC,NBCD2000_V2.mapping_zone_shapefile.zip,ORNL_DAAC,1,2017-09-28T18:39:01Z,2013-05-29T00:00:00.000Z,NBCD2000_V2_1161,NBCD2000_V2.mapping_zone_shapefile.zip,2.40687,,Both,1999-01-01T00:00:00.000Z,2002-12-31T00:00:00.000Z,24.3977,49.3862,-124.85,-66.9256,"POLYGON ((-66.9256 24.3977, -66.9256 49.3862, -124.85 49.3862, -124.85 24.3977, -66.9256 24.3977))"
granule,G1422910711-ORNL_DAAC,NBCD2000_V2.NBCD_MZ47_BAW_height.tgz,ORNL_DAAC,1,2017-09-28T18:39:02Z,2013-05-29T00:00:00.000Z,NBCD2000_V2_1161,NBCD2000_V2.NBCD_MZ47_BAW_height.tgz,103.265069,,Both,1999-01-01T00:00:00.000Z,2002-12-31T00:00:00.000Z,35.5422,39.5422,-89.8642,-82.8981,"POLYGON ((-82.8981 35.5422, -82.8981 39.5422, -89.8642 39.5422, -89.8642 35.5422, -82.8981 35.5422))"
granule,G1422910718-ORNL_DAAC,NBCD2000_V2.NBCD_MZ37b_BAW_height.tgz,ORNL_DAAC,1,2017-09-28T18:39:02Z,2013-05-29T00:00:00.000Z,NBCD2000_V2_1161,NBCD2000_V2.NBCD_MZ37b_BAW_height.tgz,18.225355,,Both,1999-01-01T00:00:00.000Z,2002-12-31T00:00:00.000Z,28.9997,31.3728,-92.8811,-88.5761,"POLYGON ((-88.5761 28.9997, -88.5761 31.3728, -92.8811 31.3728, -92.8811 28.9997, -88.5761 28.9997))"
granule,G1422910725-ORNL_DAAC,NBCD2000_V2.NBCD_MZ01_SRTM_datatakes.tgz,ORNL_DAAC,1,2017-09-28T18:39:02Z,2013-05-29T00:00:00.000Z,NBCD2000_V2_1161,NBCD2000_V2.NBCD_MZ01_SRTM_datatakes.tgz,7.595413,,Both,1999-01-01T00:00:00.000Z,2002-12-31T00:00:00.000Z,45.1356,49.6608,-123.729,-119.932,"POLYGON ((-119.932 45.1356, -119.932 49.6608, -123.729 49.6608, -123.729 45.1356, -119.932 45.1356))"
granule,G1422910742-ORNL_DAAC,NBCD2000_V2.NBCD_MZ09_BAW_height.tgz,ORNL_DAAC,1,2017-09-28T18:39:03Z,2013-05-29T00:00:00.000Z,NBCD2000_V2_1161,NBCD2000_V2.NBCD_MZ09_BAW_height.tgz,44.137936,,Both,1999-01-01T00:00:00.000Z,2002-12-31T00:00:00.000Z,40.8303,46.6608,-120.288,-116.0,"POLYGON ((-116 40.8303, -116 46.6608, -120.288 46.6608, -120.288 40.8303, -116 40.8303))"
granule,G1422910751-ORNL_DAAC,NBCD2000_V2.NBCD_MZ14_BAW_height.tgz,ORNL_DAAC,1,2017-09-28T18:39:03Z,2013-05-29T00:00:00.000Z,NBCD2000_V2_1161,NBCD2000_V2.NBCD_MZ14_BAW_height.tgz,5.38334,,Both,1999-01-01T00:00:00.000Z,2002-12-31T00:00:00.000Z,31.0508,36.305,-114.525,-111.322,"POLYGON ((-111.322 31.0508, -111.322 36.305, -114.525 36.305, -114.525 31.0508, -111.322 31.0508))"
granule,G1422910777-ORNL_DAAC,NBCD2000_V2.NBCD_MZ08_averaging_index.tgz,ORNL_DAAC,1,2017-09-28T18:39:04Z,2013-05-29T00:00:00.000Z,NBCD2000_V2_1161,NBCD2000_V2.NBCD_MZ08_averaging_index.tgz,4.553594,,Both,1999-01-01T00:00:00.000Z,2002-12-31T00:00:00.000Z,44.7794,49.4406,-121.051,-117.254,"POLYGON ((-117.254 44.7794, -117.254 49.4406, -121.051 49.4406, -121.051 44.7794, -117.254 44.7794))"
granule,G1422910830-ORNL_DAAC,NBCD2000_V2.NBCD_MZ43_averaging_index.tgz,ORNL_DAAC,1,2017-09-28T18:39:05Z,2013-05-29T00:00:00.000Z,NBCD2000_V2_1161,NBCD2000_V2.NBCD_MZ43_averaging_index.tgz,29.162721,,Both,1999-01-01T00:00:00.000Z,2002-12-31T00:00:00.000Z,36.5592,41.8981,-96.7964,-90.9828,"POLYGON ((-90.9828 36.5592, -90.9828 41.8981, -96.79640000000001 41.8981, -96.79640000000001 36.5592, -90.9828 36.5592))"
