cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_title,coll_version,coll_doi,coll_abstract,coll_shortname,coll_status,coll_proclvl,coll_proclvl_desc,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
collection,C1226373058-ORNL_DAAC,"Annual wildland fire emissions (WFEIS v0.5) for Conterminous US and Alaska, 2001-2013",ORNL_DAAC,23,2019-04-15T18:54:21Z,,"Annual wildland fire emissions (WFEIS v0.5) for Conterminous US and Alaska, 2001-2013",1,10.3334/ORNLDAAC/1306,"This data set contains annual modeled estimates of wildland fire emissions at 0.01 degree (~1-km) spatial resolution from the Wildland Fire Emissions Information System (WFEIS v0.5) for the conterminous U.S. (CONUS) and Alaska for 2001 through 2013. WFEIS is a web-based tool that provides resources to quantify emissions from past fires and output results as spatial data files (French et al., 2014). The data set includes emissions estimates of carbon (C), carbon monoxide (CO), carbon dioxide (CO2), methane (CH4), other non-methane hydrocarbons (NMHC), and particulate matter (PM) as well as estimates of above-ground biomass, total fuel availability, and consumption estimates.",CMS_WFEIS_CONUS-AK_1306,COMPLETE,4,model products,,,24.2,71.41,-178.22,-65.0,"POLYGON ((-65 24.2, -65 71.41, -178.22 71.41, -178.22 24.2, -65 24.2))"
collection,C1248465284-ORNL_DAAC,"CMS: Aboveground Biomass from Penobscot Experimental Forest, Maine, 2012",ORNL_DAAC,17,2019-04-15T18:54:32Z,,"CMS: Aboveground Biomass from Penobscot Experimental Forest, Maine, 2012",1,10.3334/ORNLDAAC/1318,"This data set includes estimates of aboveground biomass (AGB) in 2012 from the Penobscot Experimental Forest (PEF) in Bradley, Maine. The AGB was modeled using LiDAR data gathered with the LiDAR Hyperspectral and Thermal Imager (G-LiHT) operated by Goddard Space Flight Center and field inventory data from 604 permanent Forest Inventory and Analysis (FIA) plots within the PEF. The estimates were produced through a novel modeling approach that accommodates temporal misalignment between field measurements and remotely sensed data by including multiple time-indexed measurements at plot locations to estimate changes in AGB.",CMS_LiDAR_AGB_PEF_2012_1318,COMPLETE,3,Variables mapped on uniform space-time grid scales with completeness and consistency,,,44.83,44.87,-68.64,-68.59,"POLYGON ((-68.59 44.83, -68.59 44.87, -68.64 44.87, -68.64 44.83, -68.59 44.83))"
collection,C1000000580-ORNL_DAAC,"CMS: Atmospheric Methane Concentrations and Prior Emissions, Boston, MA, 2012-2014",ORNL_DAAC,27,2019-04-15T18:54:09Z,,"CMS: Atmospheric Methane Concentrations and Prior Emissions, Boston, MA, 2012-2014",1,10.3334/ORNLDAAC/1291,"This data set provides average hourly measured, modeled enhancements, and background methane (CH4) concentrations, atmospheric ethane (C2H6) measurements, prior CH4 flux fields by sector, and a spatial reconstruction of natural gas (NG) consumption in Boston, Massachusetts and the surrounding region. Atmospheric CH4 concentrations were measured continuously from September 2012 through August 2013 at four locations and atmospheric ethane was measured continuously for several months during 2012-2014 at one location. Spatial models of prior CH4 emissions and natural gas consumption are given for an ~18,000 km^2 area centered on Boston, MA.",CMS_Methane_Emissions_Boston_1291,COMPLETE,3,Variables mapped on uniform space-time grid scales with completeness and consistency,,,41.5,43.2,-72.2,-70.0,"POLYGON ((-70 41.5, -70 43.2, -72.2 43.2, -72.2 41.5, -70 41.5))"
collection,C1000000500-ORNL_DAAC,"CMS: Carbon Fluxes from Global Agricultural Production and Consumption, 2005-2011",ORNL_DAAC,24,2019-04-15T18:54:00Z,,"CMS: Carbon Fluxes from Global Agricultural Production and Consumption, 2005-2011",1,10.3334/ORNLDAAC/1279,"This data set provides global estimates of carbon fluxes associate with annual crop net primary production (NPP) and harvested biomass, annual uptake and release by humans and livestock, and the total annual estimate of net carbon exchange (NCE) derived from these carbon fluxes. NCE estimates are for the combined crop plant harvest and consumption/expiration of fodder by livestock and of food by humans. Estimation of carbon uptake and release from global agricultural production and consumption required compilation and analysis of inventory data from various sources for the years 2005-2011. The flux estimates were spatially distributed to a global 0.05-degree resolution grid using MODIS land cover data. The quantities of carbon flux in each gridcell are represented in two ways: (1) where the quantities of carbon distributed to each gridcell were divided by the total gridcell area, resulting in average carbon fluxes per unit of total area (g C/m2/yr), and (2), where annual carbon fluxes associated with a source were summed over all types for the gridcell (Mg C/yr). The total surface area of the grid cells is provided.There are eight data files in netCDF format (.nc4) with this data set -- two files (per area and per gridcell) for each of the four flux source types. Data for all years are in each *.nc4 file.",CMS_GLOBAL_CROPLAND_CARBON_1279,COMPLETE,3,Variables mapped on uniform space-time grid scales with completeness and consistency,,,-59.46,83.64,-180.0,180.0,"POLYGON ((180 -59.46, 180 83.64, -180 83.64, -180 -59.46, 180 -59.46))"
collection,C1377051683-ORNL_DAAC,"CMS: CO2 Signals Estimated for Fossil Fuel Emissions and Biosphere Flux, California",ORNL_DAAC,12,2019-04-15T18:55:31Z,,"CMS: CO2 Signals Estimated for Fossil Fuel Emissions and Biosphere Flux, California",1,10.3334/ORNLDAAC/1381,"This data set provides estimated CO2 emission signals for 16 regions (air quality basins) in California, USA, during the individual months of November 2010 and May 2011. The CO2 signals were predicted from simulated atmospheric CO2 observations and modeled fossil fuel emissions and biosphere CO2 fluxes. Data is also provided for the land surface in the larger modeling domain outside California. CO2 signals refer to the local enhancement or depletion in atmospheric CO2 concentration caused by fossil fuel emissions or biospheric exchange occurring within the region.",CMS_WRF_Footprints_CO2_Signals_1381,COMPLETE,3,Variables mapped on uniform space-time grid scales with completeness and consistency,,,32.2,42.82,-124.51,-115.96,"POLYGON ((-115.96 32.2, -115.96 42.82, -124.51 42.82, -124.51 32.2, -115.96 32.2))"
collection,C1230914114-ORNL_DAAC,"CMS: Evapotranspiration and Meteorology, Water-Limited Shrublands, Mexico, 2008-2010",ORNL_DAAC,22,2019-04-15T18:54:24Z,,"CMS: Evapotranspiration and Meteorology, Water-Limited Shrublands, Mexico, 2008-2010",1,10.3334/ORNLDAAC/1309,"This data set provides daily average observations for evapotranspiration (measured and gap-filled), precipitation, net radiation, soil water content, air temperature, vapor pressure deficit, and normalized vegetation index (NDVI) from two water-limited shrubland sites for years 2008-2010. Both sites are located in the northwest part of Mexico and are part of the MexFlux network.",CMS_Daily_ET_MexFlux_1309,COMPLETE,3,Variables mapped on uniform space-time grid scales with completeness and consistency,,,29.74,32.03,-116.61,-110.53,"POLYGON ((-110.53 29.74, -110.53 32.03, -116.61 32.03, -116.61 29.74, -110.53 29.74))"
collection,C1273133962-ORNL_DAAC,"CMS: Forest Carbon Stocks, Emissions, and Net Flux for the Conterminous US: 2005-2010",ORNL_DAAC,23,2019-04-15T18:54:28Z,,"CMS: Forest Carbon Stocks, Emissions, and Net Flux for the Conterminous US: 2005-2010",1,10.3334/ORNLDAAC/1313,"This data set provides maps of estimated carbon in forests of the 48 continental states of the US for the years 2005-2010. Carbon (termed committed carbon) stocks were estimated for forest aboveground biomass, belowground biomass, standing dead stems, and litter for the year 2005. Carbon emissions were estimated from land use conversion to agriculture, insect damage, logging, wind, and weather events in the forests for the years 2006 - 2010. Committed net carbon flux was estimated as the sum of carbon emissions and sequestration. The maps are provided at 100-m spatial resolution in GeoTIFF format. Average annual carbon estimates, by US county, for (1) emissions for the multiple disturbance sources, (2) sequestration, and (3) the committed net carbon flux are provided in an ESRI shapefile.",CMS_Forest_Carbon_Fluxes_1313,COMPLETE,3,Variables mapped on uniform space-time grid scales with completeness and consistency,,,19.29,50.0,-136.15,-55.85,"POLYGON ((-55.85 19.29, -55.85 50, -136.15 50, -136.15 19.29, -55.85 19.29))"
collection,C1264573109-ORNL_DAAC,"CMS: GLAS LiDAR-derived Global Estimates of  Forest Canopy Height, 2004-2008",ORNL_DAAC,20,2019-04-15T18:53:54Z,,"CMS: GLAS LiDAR-derived Global Estimates of  Forest Canopy Height, 2004-2008",1,10.3334/ORNLDAAC/1271,"This data set provides estimates of forest canopy height derived from the Geoscience Laser Altimeter System (GLAS) LiDAR instrument that was aboard the NASA Ice, Cloud, and land Elevation (ICESat) satellite. A global GLAS waveform data set (n=12,336,553) from collection periods between October 2004 and March 2008 was processed to obtain canopy height estimates.Estimates of GLAS maximum canopy height and crown-area-weighted Lorey's height are provided for 18,578 statistically-selected globally distributed forested sites in a point shapefile. Country is included as a site attribute.Also provided is the average canopy height for the forested area of each country, plus the number of GLAS data footprints (shots), number of selected sample sites, and estimates of the variance for each country.",LIDAR_FOREST_CANOPY_HEIGHTS_1271,COMPLETE,4,model products,,,-55.45,69.29,-161.41,179.89,"POLYGON ((179.89 -55.45, 179.89 69.29000000000001, -161.41 69.29000000000001, -161.41 -55.45, 179.89 -55.45))"
collection,C1337991474-ORNL_DAAC,"CMS: Hourly Carbon Dioxide Estimated Using the WRF Model, North America, 2010",ORNL_DAAC,18,2019-04-15T18:54:51Z,,"CMS: Hourly Carbon Dioxide Estimated Using the WRF Model, North America, 2010",1,10.3334/ORNLDAAC/1338,This data set contains estimated hourly CO2 atmospheric mole fractions and meteorological observations over North America for the year 2010 at a horizontal grid resolution of 27 km and vertical resolution from the surface to 50 hPa. The data are output from the Penn State WRF-Chem version of the Weather Research and Forecasting (WRF) model using lateral boundary conditions and surface fluxes from the CMS-Flux Inversion system.,CMS_WRF_Model_Products_1338,COMPLETE,4,model products,,,13.0,63.0,-151.0,-41.0,"POLYGON ((-41 13, -41 63, -151 63, -151 13, -41 13))"
collection,C1000000071-ORNL_DAAC,"CMS: Land Cover Projections (5.6-km) from GCAM v3.1 for Conterminous USA, 2005-2095",ORNL_DAAC,42,2019-04-22T14:58:28Z,,"CMS: Land Cover Projections (5.6-km) from GCAM v3.1 for Conterminous USA, 2005-2095",1,10.3334/ORNLDAAC/1216,"The data provided are annual land cover projections for years 2005 through 2095 generated by the Global Change Assessment Model (GCAM) Version 3.1. For the conterminous USA, the GCAM global gridded results were downscaled to ~5.6 km (0.05 degree) resolution. For each 5.6 x 5.6 km area, the annual land cover percentage comprised by each of the nineteen different land cover classes/plant functional types (PFTs) of the Community Land Model (CLM) (Table 1) are provided.Results are reported for GCAM runs of three scenarios of future human efforts towards climate mitigation as related to global carbon emissions, radiative forcing, and land cover change. Specific scenario conditions were 1) a reference scenario with no explicit climate mitigation efforts that reaches a radiative forcing level of over 7 W/m2 in 2100, 2) the 2.6 mitigation pathway (MP) scenario which is a very low emission scenario with a mid-century peak in radiative forcing at ~3 W/m2, declining to 2.6 W/m2 in 2100, and 3) the 4.5 MP scenario which stabilizes radiative forcing at 4.5 W/m2 (~ 650 ppm CO2-equivalent) before 2100.These downscaled land cover projections can be used to derive spatially explicit estimates of potential shifts in croplands, grasslands, shrub lands, and forest lands in each future climate scenario.Data are presented as three NetCDF v4 files (.nc4), one for each future climate scenario -- 2.6 MP, 4.5 MP, and GCAM reference). ",GCAM_LANDCOVER_2005-2095_1216,COMPLETE,4,model products,,,25.25,49.35,-124.69,-67.09,"POLYGON ((-67.09 25.25, -67.09 49.35, -124.69 49.35, -124.69 25.25, -67.09 25.25))"
