cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1633152841-ORNL_DAAC,OTTER_PERKIN_ELMER.scf3,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.scf3,0.013569,,Day,1991-06-14T00:00:00.000Z,1991-06-14T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152844-ORNL_DAAC,OTTER_PERKIN_ELMER.scc2,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.scc2,0.013613,,Day,1991-06-14T00:00:00.000Z,1991-06-14T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152845-ORNL_DAAC,OTTER_PERKIN_ELMER.scc3,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.scc3,0.013637,,Day,1991-06-14T00:00:00.000Z,1991-06-14T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152851-ORNL_DAAC,OTTER_PERKIN_ELMER.scc4,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.scc4,0.013564,,Day,1991-06-14T00:00:00.000Z,1991-06-14T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152854-ORNL_DAAC,OTTER_PERKIN_ELMER.scc1,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.scc1,0.01348,,Day,1991-06-14T00:00:00.000Z,1991-06-14T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152855-ORNL_DAAC,OTTER_PERKIN_ELMER.scf4,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.scf4,0.013563,,Day,1991-06-14T00:00:00.000Z,1991-06-14T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152857-ORNL_DAAC,OTTER_PERKIN_ELMER.scc5,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.scc5,0.013679,,Day,1991-06-14T00:00:00.000Z,1991-06-14T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152858-ORNL_DAAC,OTTER_PERKIN_ELMER.scf5,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.scf5,0.013546,,Day,1991-06-14T00:00:00.000Z,1991-06-14T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152861-ORNL_DAAC,OTTER_PERKIN_ELMER.scf2,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.scf2,0.013569,,Day,1991-06-14T00:00:00.000Z,1991-06-14T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152862-ORNL_DAAC,OTTER_PERKIN_ELMER.scf1,ORNL_DAAC,1,2019-09-11T12:39:09Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.scf1,0.013533,,Day,1991-06-14T00:00:00.000Z,1991-06-14T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152837-ORNL_DAAC,OTTER_PERKIN_ELMER.cha5,ORNL_DAAC,1,2019-09-11T12:39:07Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.cha5,0.013697,,Day,1991-06-18T00:00:00.000Z,1991-06-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152840-ORNL_DAAC,OTTER_PERKIN_ELMER.cha2,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.cha2,0.013705,,Day,1991-06-18T00:00:00.000Z,1991-06-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152842-ORNL_DAAC,OTTER_PERKIN_ELMER.ww1,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.ww1,0.013495,,Day,1991-06-18T00:00:00.000Z,1991-06-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152843-ORNL_DAAC,OTTER_PERKIN_ELMER.cha4,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.cha4,0.013709,,Day,1991-06-18T00:00:00.000Z,1991-06-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152846-ORNL_DAAC,OTTER_PERKIN_ELMER.cha3,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.cha3,0.013729,,Day,1991-06-18T00:00:00.000Z,1991-06-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152847-ORNL_DAAC,OTTER_PERKIN_ELMER.ww4,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.ww4,0.01356,,Day,1991-06-18T00:00:00.000Z,1991-06-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152848-ORNL_DAAC,OTTER_PERKIN_ELMER.chh1,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.chh1,0.013601,,Day,1991-06-18T00:00:00.000Z,1991-06-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152849-ORNL_DAAC,OTTER_PERKIN_ELMER.chh4,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.chh4,0.013668,,Day,1991-06-18T00:00:00.000Z,1991-06-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152850-ORNL_DAAC,OTTER_PERKIN_ELMER.ww5,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.ww5,0.013601,,Day,1991-06-18T00:00:00.000Z,1991-06-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152852-ORNL_DAAC,OTTER_PERKIN_ELMER.ww2,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.ww2,0.013694,,Day,1991-06-18T00:00:00.000Z,1991-06-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152853-ORNL_DAAC,OTTER_PERKIN_ELMER.ww3,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.ww3,0.013641,,Day,1991-06-18T00:00:00.000Z,1991-06-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152856-ORNL_DAAC,OTTER_PERKIN_ELMER.cha1,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.cha1,0.01372,,Day,1991-06-18T00:00:00.000Z,1991-06-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152859-ORNL_DAAC,OTTER_PERKIN_ELMER.chh3,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.chh3,0.013628,,Day,1991-06-18T00:00:00.000Z,1991-06-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152860-ORNL_DAAC,OTTER_PERKIN_ELMER.chh5,ORNL_DAAC,1,2019-09-11T12:39:08Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.chh5,0.013506,,Day,1991-06-18T00:00:00.000Z,1991-06-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1633152863-ORNL_DAAC,OTTER_PERKIN_ELMER.chh2,ORNL_DAAC,1,2019-09-11T12:39:09Z,1994-07-24T00:00:00.000Z,OTTER_PERKIN_ELMER_48,OTTER_PERKIN_ELMER.chh2,0.013608,,Day,1991-06-18T00:00:00.000Z,1991-06-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
