cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1661567432-PODAAC,qscat_uswc_speedcubed_20110330_205745.nc,PODAAC,1,2019-11-27T15:59:50Z,2011-04-12T22:15:47.741Z,QSCAT_OSUCOAS_L3_OW_USWestCoast,qscat_uswc_speedcubed_20110330_205745.nc,423.6258792877197,,Unspecified,1999-07-20T02:26:00.000Z,2009-11-21T14:34:00.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1661567438-PODAAC,qscat_uswc_stresscurl_20110330_205745.nc,PODAAC,1,2019-11-27T15:59:51Z,2011-04-12T22:18:19.286Z,QSCAT_OSUCOAS_L3_OW_USWestCoast,qscat_uswc_stresscurl_20110330_205745.nc,304.5623903274536,,Unspecified,1999-07-20T02:26:00.000Z,2009-11-21T14:34:00.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1661567444-PODAAC,qscat_uswc_speedsquared_20110330_205745.nc,PODAAC,1,2019-11-27T15:59:52Z,2011-04-12T22:18:42.229Z,QSCAT_OSUCOAS_L3_OW_USWestCoast,qscat_uswc_speedsquared_20110330_205745.nc,362.76575469970703,,Unspecified,1999-07-20T02:26:00.000Z,2009-11-21T14:34:00.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1661567450-PODAAC,qscat_uswc_uwind_20110330_205745.nc,PODAAC,1,2019-11-27T15:59:54Z,2011-04-12T22:19:22.165Z,QSCAT_OSUCOAS_L3_OW_USWestCoast,qscat_uswc_uwind_20110330_205745.nc,225.05583095550537,,Unspecified,1999-07-20T02:26:00.000Z,2009-11-21T14:34:00.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1661567456-PODAAC,qscat_uswc_stressdivergence_20110330_205745.nc,PODAAC,1,2019-11-27T15:59:55Z,2011-04-12T22:20:08.830Z,QSCAT_OSUCOAS_L3_OW_USWestCoast,qscat_uswc_stressdivergence_20110330_205745.nc,307.17226696014404,,Unspecified,1999-07-20T02:26:00.000Z,2009-11-21T14:34:00.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1661567462-PODAAC,qscat_uswc_tauy_20110330_205745.nc,PODAAC,1,2019-11-27T15:59:56Z,2011-04-12T22:21:35.099Z,QSCAT_OSUCOAS_L3_OW_USWestCoast,qscat_uswc_tauy_20110330_205745.nc,187.8971118927002,,Unspecified,1999-07-20T02:26:00.000Z,2009-11-21T14:34:00.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1661567468-PODAAC,qscat_uswc_relvort_20110330_205745.nc,PODAAC,1,2019-11-27T15:59:57Z,2011-04-12T22:12:58.532Z,QSCAT_OSUCOAS_L3_OW_USWestCoast,qscat_uswc_relvort_20110330_205745.nc,313.4409828186035,,Unspecified,1999-07-20T02:26:00.000Z,2009-11-21T14:34:00.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1661567474-PODAAC,qscat_uswc_owdivergence_20110330_205745.nc,PODAAC,1,2019-11-27T15:59:59Z,2011-04-12T22:12:16.217Z,QSCAT_OSUCOAS_L3_OW_USWestCoast,qscat_uswc_owdivergence_20110330_205745.nc,316.1048069000244,,Unspecified,1999-07-20T02:26:00.000Z,2009-11-21T14:34:00.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1661567484-PODAAC,qscat_uswc_vwind_20110330_205745.nc,PODAAC,1,2019-11-27T16:00:00Z,2011-04-12T22:11:32.620Z,QSCAT_OSUCOAS_L3_OW_USWestCoast,qscat_uswc_vwind_20110330_205745.nc,225.44041538238525,,Unspecified,1999-07-20T02:26:00.000Z,2009-11-21T14:34:00.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1661567491-PODAAC,qscat_uswc_stress_20110330_205745.nc,PODAAC,1,2019-11-27T16:00:01Z,2011-04-12T22:13:27.960Z,QSCAT_OSUCOAS_L3_OW_USWestCoast,qscat_uswc_stress_20110330_205745.nc,187.4761209487915,,Unspecified,1999-07-20T02:26:00.000Z,2009-11-21T14:34:00.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1661567499-PODAAC,qscat_uswc_wspd_20110330_205745.nc,PODAAC,1,2019-11-27T16:00:03Z,2011-04-12T22:14:39.327Z,QSCAT_OSUCOAS_L3_OW_USWestCoast,qscat_uswc_wspd_20110330_205745.nc,218.25711154937744,,Unspecified,1999-07-20T02:26:00.000Z,2009-11-21T14:34:00.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1661567506-PODAAC,qscat_uswc_taux_20110330_205745.nc,PODAAC,1,2019-11-27T16:00:04Z,2011-04-12T22:21:20.244Z,QSCAT_OSUCOAS_L3_OW_USWestCoast,qscat_uswc_taux_20110330_205745.nc,186.6088695526123,,Unspecified,1999-07-20T02:26:00.000Z,2009-11-21T14:34:00.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
