cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1664745138-PODAAC,cyg.ddmi.s20170318-000000-e20170318-235959.l2.surface-flux.a10.d10.nc,PODAAC,1,2019-12-06T15:59:43Z,2019-08-08T00:04:45.563Z,CYGNSS_L2_SURFACE_FLUX_V1.0,cyg.ddmi.s20170318-000000-e20170318-235959.l2.surface-flux.a10.d10.nc,75.82123851776123,,Unspecified,2017-03-18T00:00:00.099Z,2017-03-18T23:59:59.099Z,-42.875,41.051,0.001,180.0,"POLYGON ((180 -42.875, 180 41.051, 0.001 41.051, 0.001 -42.875, 180 -42.875))"
granule,G1664745086-PODAAC,cyg.ddmi.s20170319-000000-e20170319-235959.l2.surface-flux.a10.d10.nc,PODAAC,1,2019-12-06T15:59:34Z,2019-08-07T22:35:19.083Z,CYGNSS_L2_SURFACE_FLUX_V1.0,cyg.ddmi.s20170319-000000-e20170319-235959.l2.surface-flux.a10.d10.nc,78.36003684997559,,Unspecified,2017-03-19T00:00:00.099Z,2017-03-19T23:59:59.099Z,-42.856,41.413,0.001,180.0,"POLYGON ((180 -42.856, 180 41.413, 0.001 41.413, 0.001 -42.856, 180 -42.856))"
granule,G1664744306-PODAAC,cyg.ddmi.s20170320-000000-e20170320-235959.l2.surface-flux.a10.d10.nc,PODAAC,1,2019-12-06T15:57:15Z,2019-08-08T00:53:20.176Z,CYGNSS_L2_SURFACE_FLUX_V1.0,cyg.ddmi.s20170320-000000-e20170320-235959.l2.surface-flux.a10.d10.nc,66.60044574737549,,Unspecified,2017-03-20T00:00:00.099Z,2017-03-20T23:59:59.099Z,-42.517,42.471,0.0,180.0,"POLYGON ((180 -42.517, 180 42.471, 0 42.471, 0 -42.517, 180 -42.517))"
granule,G1664748024-PODAAC,cyg.ddmi.s20170321-000000-e20170321-235959.l2.surface-flux.a10.d10.nc,PODAAC,1,2019-12-06T16:06:46Z,2019-08-07T22:56:40.832Z,CYGNSS_L2_SURFACE_FLUX_V1.0,cyg.ddmi.s20170321-000000-e20170321-235959.l2.surface-flux.a10.d10.nc,85.28719711303711,,Unspecified,2017-03-21T00:00:00.099Z,2017-03-21T23:59:59.099Z,-42.159,42.515,0.0,180.0,"POLYGON ((180 -42.159, 180 42.515, 0 42.515, 0 -42.159, 180 -42.159))"
granule,G1664747751-PODAAC,cyg.ddmi.s20170322-000000-e20170322-235959.l2.surface-flux.a10.d10.nc,PODAAC,1,2019-12-06T16:06:17Z,2019-08-07T21:01:37.426Z,CYGNSS_L2_SURFACE_FLUX_V1.0,cyg.ddmi.s20170322-000000-e20170322-235959.l2.surface-flux.a10.d10.nc,68.57933521270752,,Unspecified,2017-03-22T00:00:00.099Z,2017-03-22T23:59:59.099Z,-41.275,41.96,0.001,180.0,"POLYGON ((180 -41.275, 180 41.96, 0.001 41.96, 0.001 -41.275, 180 -41.275))"
granule,G1664743484-PODAAC,cyg.ddmi.s20170323-000000-e20170323-235959.l2.surface-flux.a10.d10.nc,PODAAC,1,2019-12-06T15:55:45Z,2019-08-07T19:45:51.346Z,CYGNSS_L2_SURFACE_FLUX_V1.0,cyg.ddmi.s20170323-000000-e20170323-235959.l2.surface-flux.a10.d10.nc,84.97241687774658,,Unspecified,2017-03-23T00:00:00.099Z,2017-03-23T23:59:59.099Z,-42.521,40.09,0.0,180.0,"POLYGON ((180 -42.521, 180 40.09, 0 40.09, 0 -42.521, 180 -42.521))"
granule,G1664746648-PODAAC,cyg.ddmi.s20170324-000000-e20170324-235959.l2.surface-flux.a10.d10.nc,PODAAC,1,2019-12-06T16:03:43Z,2019-08-07T22:20:48.954Z,CYGNSS_L2_SURFACE_FLUX_V1.0,cyg.ddmi.s20170324-000000-e20170324-235959.l2.surface-flux.a10.d10.nc,100.7562837600708,,Unspecified,2017-03-24T00:00:00.099Z,2017-03-24T23:59:59.099Z,-42.766,42.44,0.0,180.0,"POLYGON ((180 -42.766, 180 42.44, 0 42.44, 0 -42.766, 180 -42.766))"
granule,G1664749060-PODAAC,cyg.ddmi.s20170325-000000-e20170325-235959.l2.surface-flux.a10.d10.nc,PODAAC,1,2019-12-06T16:07:25Z,2019-08-08T00:37:11.213Z,CYGNSS_L2_SURFACE_FLUX_V1.0,cyg.ddmi.s20170325-000000-e20170325-235959.l2.surface-flux.a10.d10.nc,96.29180717468262,,Unspecified,2017-03-25T00:00:00.099Z,2017-03-25T23:59:59.099Z,-41.858,42.503,0.001,180.0,"POLYGON ((180 -41.858, 180 42.503, 0.001 42.503, 0.001 -41.858, 180 -41.858))"
granule,G1664745573-PODAAC,cyg.ddmi.s20170326-000000-e20170326-235959.l2.surface-flux.a10.d10.nc,PODAAC,1,2019-12-06T16:00:59Z,2019-08-08T00:16:14.715Z,CYGNSS_L2_SURFACE_FLUX_V1.0,cyg.ddmi.s20170326-000000-e20170326-235959.l2.surface-flux.a10.d10.nc,88.44951057434082,,Unspecified,2017-03-26T00:00:00.099Z,2017-03-26T23:59:59.099Z,-42.311,42.603,0.0,180.0,"POLYGON ((180 -42.311, 180 42.603, 0 42.603, 0 -42.311, 180 -42.311))"
granule,G1664747680-PODAAC,cyg.ddmi.s20170327-000000-e20170327-235959.l2.surface-flux.a10.d10.nc,PODAAC,1,2019-12-06T16:06:05Z,2019-08-07T21:50:58.152Z,CYGNSS_L2_SURFACE_FLUX_V1.0,cyg.ddmi.s20170327-000000-e20170327-235959.l2.surface-flux.a10.d10.nc,58.25300216674805,,Unspecified,2017-03-27T00:00:00.099Z,2017-03-27T23:59:59.099Z,-42.036,41.341,0.0,180.0,"POLYGON ((180 -42.036, 180 41.341, 0 41.341, 0 -42.036, 180 -42.036))"
