cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1664763919-PODAAC,cyg.ddmi.s20170318-000000-e20170318-235959.l2.wind-mss.a21.d21.nc,PODAAC,1,2019-12-06T16:23:57Z,2018-09-20T19:00:30.014Z,CYGNSS_L2_V2.1,cyg.ddmi.s20170318-000000-e20170318-235959.l2.wind-mss.a21.d21.nc,84.34638786315918,,Unspecified,2017-03-18T00:00:00.099Z,2017-03-18T23:59:59.099Z,-42.875,41.051,0.001,180.0,"POLYGON ((180 -42.875, 180 41.051, 0.001 41.051, 0.001 -42.875, 180 -42.875))"
granule,G1664771482-PODAAC,cyg.ddmi.s20170319-000000-e20170319-235959.l2.wind-mss.a21.d21.nc,PODAAC,1,2019-12-06T16:27:52Z,2018-09-20T19:48:08.007Z,CYGNSS_L2_V2.1,cyg.ddmi.s20170319-000000-e20170319-235959.l2.wind-mss.a21.d21.nc,87.6679334640503,,Unspecified,2017-03-19T00:00:00.099Z,2017-03-19T23:59:59.099Z,-42.856,41.413,0.001,180.0,"POLYGON ((180 -42.856, 180 41.413, 0.001 41.413, 0.001 -42.856, 180 -42.856))"
granule,G1664761881-PODAAC,cyg.ddmi.s20170320-000000-e20170320-235959.l2.wind-mss.a21.d21.nc,PODAAC,1,2019-12-06T16:22:22Z,2018-09-20T18:35:53.431Z,CYGNSS_L2_V2.1,cyg.ddmi.s20170320-000000-e20170320-235959.l2.wind-mss.a21.d21.nc,70.11897277832031,,Unspecified,2017-03-20T00:00:00.099Z,2017-03-20T23:59:59.099Z,-42.517,42.471,0.0,180.0,"POLYGON ((180 -42.517, 180 42.471, 0 42.471, 0 -42.517, 180 -42.517))"
granule,G1664764321-PODAAC,cyg.ddmi.s20170321-000000-e20170321-235959.l2.wind-mss.a21.d21.nc,PODAAC,1,2019-12-06T16:24:53Z,2018-09-20T20:48:26.203Z,CYGNSS_L2_V2.1,cyg.ddmi.s20170321-000000-e20170321-235959.l2.wind-mss.a21.d21.nc,95.83978652954102,,Unspecified,2017-03-21T00:00:00.099Z,2017-03-21T23:59:59.099Z,-42.159,42.515,0.0,180.0,"POLYGON ((180 -42.159, 180 42.515, 0 42.515, 0 -42.159, 180 -42.159))"
granule,G1664772781-PODAAC,cyg.ddmi.s20170322-000000-e20170322-235959.l2.wind-mss.a21.d21.nc,PODAAC,1,2019-12-06T16:30:49Z,2018-09-20T19:17:31.387Z,CYGNSS_L2_V2.1,cyg.ddmi.s20170322-000000-e20170322-235959.l2.wind-mss.a21.d21.nc,76.7862491607666,,Unspecified,2017-03-22T00:00:00.099Z,2017-03-22T23:59:59.099Z,-41.275,41.96,0.001,180.0,"POLYGON ((180 -41.275, 180 41.96, 0.001 41.96, 0.001 -41.275, 180 -41.275))"
granule,G1664764423-PODAAC,cyg.ddmi.s20170323-000000-e20170323-235959.l2.wind-mss.a21.d21.nc,PODAAC,1,2019-12-06T16:25:07Z,2018-09-20T21:36:19.011Z,CYGNSS_L2_V2.1,cyg.ddmi.s20170323-000000-e20170323-235959.l2.wind-mss.a21.d21.nc,95.25909996032715,,Unspecified,2017-03-23T00:00:00.099Z,2017-03-23T23:59:59.099Z,-42.521,40.09,0.0,180.0,"POLYGON ((180 -42.521, 180 40.09, 0 40.09, 0 -42.521, 180 -42.521))"
granule,G1664767087-PODAAC,cyg.ddmi.s20170324-000000-e20170324-235959.l2.wind-mss.a21.d21.nc,PODAAC,1,2019-12-06T16:26:36Z,2018-09-20T20:37:01.240Z,CYGNSS_L2_V2.1,cyg.ddmi.s20170324-000000-e20170324-235959.l2.wind-mss.a21.d21.nc,114.2259693145752,,Unspecified,2017-03-24T00:00:00.099Z,2017-03-24T23:59:59.099Z,-42.766,42.44,0.0,180.0,"POLYGON ((180 -42.766, 180 42.44, 0 42.44, 0 -42.766, 180 -42.766))"
granule,G1664772379-PODAAC,cyg.ddmi.s20170325-000000-e20170325-235959.l2.wind-mss.a21.d21.nc,PODAAC,1,2019-12-06T16:29:50Z,2018-09-20T18:05:16.496Z,CYGNSS_L2_V2.1,cyg.ddmi.s20170325-000000-e20170325-235959.l2.wind-mss.a21.d21.nc,109.80828285217285,,Unspecified,2017-03-25T00:00:00.099Z,2017-03-25T23:59:59.099Z,-41.858,42.503,0.001,180.0,"POLYGON ((180 -41.858, 180 42.503, 0.001 42.503, 0.001 -41.858, 180 -41.858))"
granule,G1664769167-PODAAC,cyg.ddmi.s20170326-000000-e20170326-235959.l2.wind-mss.a21.d21.nc,PODAAC,1,2019-12-06T16:26:51Z,2018-09-20T18:57:30.176Z,CYGNSS_L2_V2.1,cyg.ddmi.s20170326-000000-e20170326-235959.l2.wind-mss.a21.d21.nc,100.71048736572266,,Unspecified,2017-03-26T00:00:00.099Z,2017-03-26T23:59:59.099Z,-42.311,42.603,0.0,180.0,"POLYGON ((180 -42.311, 180 42.603, 0 42.603, 0 -42.311, 180 -42.311))"
granule,G1664772789-PODAAC,cyg.ddmi.s20170327-000000-e20170327-235959.l2.wind-mss.a21.d21.nc,PODAAC,1,2019-12-06T16:30:50Z,2018-09-20T20:55:39.068Z,CYGNSS_L2_V2.1,cyg.ddmi.s20170327-000000-e20170327-235959.l2.wind-mss.a21.d21.nc,61.86554718017578,,Unspecified,2017-03-27T00:00:00.099Z,2017-03-27T23:59:59.099Z,-42.036,41.341,0.0,180.0,"POLYGON ((180 -42.036, 180 41.341, 0 41.341, 0 -42.036, 180 -42.036))"
