cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1687056726-PODAAC,AQUA_MODIS.20020101_20021231.L3m.YR.SST4.sst4.9km,PODAAC,1,2020-01-30T17:18:20Z,2020-01-06T09:34:15.806Z,MODIS_AQUA_L3_SST_MID-IR_ANNUAL_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020101_20021231.L3m.YR.SST4.sst4.9km,7.484418869018555,,Unspecified,2002-01-01T00:00:00.000Z,2002-12-31T14:29:58.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056728-PODAAC,AQUA_MODIS.20030101_20031231.L3m.YR.SST4.sst4.9km,PODAAC,1,2020-01-30T17:18:22Z,2020-01-06T09:31:16.368Z,MODIS_AQUA_L3_SST_MID-IR_ANNUAL_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030101_20031231.L3m.YR.SST4.sst4.9km,7.729727745056152,,Unspecified,2003-01-01T00:00:00.000Z,2003-12-31T14:09:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056721-PODAAC,AQUA_MODIS.20040101_20041231.L3m.YR.SST4.sst4.9km,PODAAC,1,2020-01-30T17:18:19Z,2020-01-06T09:32:37.284Z,MODIS_AQUA_L3_SST_MID-IR_ANNUAL_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20040101_20041231.L3m.YR.SST4.sst4.9km,7.701523780822754,,Unspecified,2004-01-01T00:00:00.000Z,2004-12-31T14:20:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056708-PODAAC,AQUA_MODIS.20050101_20051231.L3m.YR.SST4.sst4.9km,PODAAC,1,2020-01-30T17:18:13Z,2020-01-06T09:33:44.722Z,MODIS_AQUA_L3_SST_MID-IR_ANNUAL_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20050101_20051231.L3m.YR.SST4.sst4.9km,7.772218704223633,,Unspecified,2005-01-01T00:00:00.000Z,2005-12-31T13:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056711-PODAAC,AQUA_MODIS.20060101_20061231.L3m.YR.SST4.sst4.9km,PODAAC,1,2020-01-30T17:18:15Z,2020-01-06T09:33:51.784Z,MODIS_AQUA_L3_SST_MID-IR_ANNUAL_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20060101_20061231.L3m.YR.SST4.sst4.9km,7.799808502197266,,Unspecified,2006-01-01T00:00:00.000Z,2006-12-31T14:50:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056714-PODAAC,AQUA_MODIS.20070101_20071231.L3m.YR.SST4.sst4.9km,PODAAC,1,2020-01-30T17:18:16Z,2020-01-06T09:34:15.776Z,MODIS_AQUA_L3_SST_MID-IR_ANNUAL_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20070101_20071231.L3m.YR.SST4.sst4.9km,7.838733673095703,,Unspecified,2007-01-01T00:00:00.000Z,2007-12-31T14:24:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056690-PODAAC,AQUA_MODIS.20080101_20081231.L3m.YR.SST4.sst4.9km,PODAAC,1,2020-01-30T17:18:09Z,2020-01-06T09:32:24.874Z,MODIS_AQUA_L3_SST_MID-IR_ANNUAL_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20080101_20081231.L3m.YR.SST4.sst4.9km,7.69223690032959,,Unspecified,2008-01-01T00:00:00.000Z,2008-12-31T14:40:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056684-PODAAC,AQUA_MODIS.20090101_20091231.L3m.YR.SST4.sst4.9km,PODAAC,1,2020-01-30T17:18:07Z,2020-01-06T09:15:33.173Z,MODIS_AQUA_L3_SST_MID-IR_ANNUAL_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20090101_20091231.L3m.YR.SST4.sst4.9km,7.695379257202148,,Unspecified,2009-01-01T00:00:00.000Z,2009-12-31T14:14:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056719-PODAAC,AQUA_MODIS.20100101_20101231.L3m.YR.SST4.sst4.9km,PODAAC,1,2020-01-30T17:18:17Z,2020-01-06T09:13:11.321Z,MODIS_AQUA_L3_SST_MID-IR_ANNUAL_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20100101_20101231.L3m.YR.SST4.sst4.9km,7.832653999328613,,Unspecified,2010-01-01T00:00:00.000Z,2010-12-31T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056678-PODAAC,AQUA_MODIS.20110101_20111231.L3m.YR.SST4.sst4.9km,PODAAC,1,2020-01-30T17:18:04Z,2020-01-06T09:13:04.865Z,MODIS_AQUA_L3_SST_MID-IR_ANNUAL_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20110101_20111231.L3m.YR.SST4.sst4.9km,7.793377876281738,,Unspecified,2011-01-01T00:00:00.000Z,2011-12-31T14:39:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056669-PODAAC,AQUA_MODIS.20120101_20121231.L3m.YR.SST4.sst4.9km,PODAAC,1,2020-01-30T17:18:00Z,2020-01-06T09:10:43.154Z,MODIS_AQUA_L3_SST_MID-IR_ANNUAL_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20120101_20121231.L3m.YR.SST4.sst4.9km,7.736479759216309,,Unspecified,2012-01-01T00:00:00.000Z,2012-12-31T14:50:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056693-PODAAC,AQUA_MODIS.20130101_20131231.L3m.YR.SST4.sst4.9km,PODAAC,1,2020-01-30T17:18:11Z,2020-01-06T09:12:40.128Z,MODIS_AQUA_L3_SST_MID-IR_ANNUAL_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20130101_20131231.L3m.YR.SST4.sst4.9km,7.782340049743652,,Unspecified,2013-01-01T00:00:00.000Z,2013-12-31T14:25:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056681-PODAAC,AQUA_MODIS.20140101_20141231.L3m.YR.SST4.sst4.9km,PODAAC,1,2020-01-30T17:18:05Z,2020-01-06T09:14:54.892Z,MODIS_AQUA_L3_SST_MID-IR_ANNUAL_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20140101_20141231.L3m.YR.SST4.sst4.9km,7.733442306518555,,Unspecified,2014-01-01T00:00:00.000Z,2014-12-31T14:04:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056675-PODAAC,AQUA_MODIS.20150101_20151231.L3m.YR.SST4.sst4.9km,PODAAC,1,2020-01-30T17:18:03Z,2020-01-06T09:12:45.534Z,MODIS_AQUA_L3_SST_MID-IR_ANNUAL_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20150101_20151231.L3m.YR.SST4.sst4.9km,7.722781181335449,,Unspecified,2015-01-01T00:00:00.000Z,2015-12-31T14:55:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056687-PODAAC,AQUA_MODIS.20160101_20161231.L3m.YR.SST4.sst4.9km,PODAAC,1,2020-01-30T17:18:08Z,2020-01-06T09:13:04.485Z,MODIS_AQUA_L3_SST_MID-IR_ANNUAL_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20160101_20161231.L3m.YR.SST4.sst4.9km,7.774076461791992,,Unspecified,2016-01-01T00:00:00.000Z,2016-12-31T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056672-PODAAC,AQUA_MODIS.20170101_20171231.L3m.YR.SST4.sst4.9km,PODAAC,1,2020-01-30T17:18:01Z,2020-01-06T09:11:49.433Z,MODIS_AQUA_L3_SST_MID-IR_ANNUAL_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20170101_20171231.L3m.YR.SST4.sst4.9km,7.836638450622559,,Unspecified,2017-01-01T00:00:00.000Z,2017-12-31T14:40:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056701-PODAAC,AQUA_MODIS.20180101_20181231.L3m.YR.SST4.sst4.9km,PODAAC,1,2020-01-30T17:18:12Z,2020-01-06T09:15:14.225Z,MODIS_AQUA_L3_SST_MID-IR_ANNUAL_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20180101_20181231.L3m.YR.SST4.sst4.9km,7.792529106140137,,Unspecified,2018-01-01T00:00:00.000Z,2018-12-31T14:14:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
