cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1687062757-PODAAC,AQUA_MODIS.20020701_20020731.L3m.MO.SST4.sst4.4km,PODAAC,1,2020-01-30T17:26:23Z,2019-12-24T15:05:59.371Z,MODIS_AQUA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020701_20020731.L3m.MO.SST4.sst4.4km,21.90321159362793,,Unspecified,2002-07-01T00:00:00.000Z,2002-07-29T20:14:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687063864-PODAAC,AQUA_MODIS.20020801_20020831.L3m.MO.SST4.sst4.4km,PODAAC,1,2020-01-30T17:27:07Z,2019-12-24T15:07:58.561Z,MODIS_AQUA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020801_20020831.L3m.MO.SST4.sst4.4km,22.787833213806152,,Unspecified,2002-08-01T00:00:00.000Z,2002-08-31T14:24:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687064690-PODAAC,AQUA_MODIS.20020901_20020930.L3m.MO.SST4.sst4.4km,PODAAC,1,2020-01-30T17:27:57Z,2019-12-24T15:07:28.191Z,MODIS_AQUA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020901_20020930.L3m.MO.SST4.sst4.4km,22.65067958831787,,Unspecified,2002-09-01T00:00:00.000Z,2002-09-30T14:39:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687062558-PODAAC,AQUA_MODIS.20021001_20021031.L3m.MO.SST4.sst4.4km,PODAAC,1,2020-01-30T17:26:15Z,2019-12-24T15:43:08.314Z,MODIS_AQUA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20021001_20021031.L3m.MO.SST4.sst4.4km,22.30399990081787,,Unspecified,2002-10-01T00:00:00.000Z,2002-10-31T15:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687061427-PODAAC,AQUA_MODIS.20021101_20021130.L3m.MO.SST4.sst4.4km,PODAAC,1,2020-01-30T17:25:32Z,2019-12-24T15:07:43.507Z,MODIS_AQUA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20021101_20021130.L3m.MO.SST4.sst4.4km,22.232397079467773,,Unspecified,2002-11-01T00:00:00.000Z,2002-11-30T15:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687062900-PODAAC,AQUA_MODIS.20021201_20021231.L3m.MO.SST4.sst4.4km,PODAAC,1,2020-01-30T17:26:29Z,2019-12-24T16:50:07.708Z,MODIS_AQUA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20021201_20021231.L3m.MO.SST4.sst4.4km,22.38974952697754,,Unspecified,2002-12-01T00:00:00.000Z,2002-12-31T14:29:58.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687061993-PODAAC,AQUA_MODIS.20030101_20030131.L3m.MO.SST4.sst4.4km,PODAAC,1,2020-01-30T17:25:52Z,2019-12-24T19:08:32.665Z,MODIS_AQUA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030101_20030131.L3m.MO.SST4.sst4.4km,22.988943099975586,,Unspecified,2003-01-01T00:00:00.000Z,2003-01-31T14:05:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687061244-PODAAC,AQUA_MODIS.20030201_20030228.L3m.MO.SST4.sst4.4km,PODAAC,1,2020-01-30T17:25:12Z,2019-12-24T14:31:46.314Z,MODIS_AQUA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030201_20030228.L3m.MO.SST4.sst4.4km,22.879024505615234,,Unspecified,2003-02-01T00:00:00.000Z,2003-02-28T14:19:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687064526-PODAAC,AQUA_MODIS.20030301_20030331.L3m.MO.SST4.sst4.4km,PODAAC,1,2020-01-30T17:27:40Z,2019-12-24T14:32:44.103Z,MODIS_AQUA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030301_20030331.L3m.MO.SST4.sst4.4km,22.589241981506348,,Unspecified,2003-03-01T00:00:00.000Z,2003-03-31T15:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687063922-PODAAC,AQUA_MODIS.20030401_20030430.L3m.MO.SST4.sst4.4km,PODAAC,1,2020-01-30T17:27:10Z,2019-12-24T16:51:36.172Z,MODIS_AQUA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030401_20030430.L3m.MO.SST4.sst4.4km,22.587733268737793,,Unspecified,2003-04-01T00:00:00.000Z,2003-04-30T14:14:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
