cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1651267113-PODAAC,A20021852002192.L3m_8D_SST_sst_4km,PODAAC,1,2019-11-04T20:47:57Z,2017-09-05T07:48:01.753Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_4KM_DAYTIME_V2014.0,A20021852002192.L3m_8D_SST_sst_4km,19.28672218322754,,Unspecified,2002-07-04T00:00:00.000Z,2002-07-12T02:20:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651267001-PODAAC,A20021932002200.L3m_8D_SST_sst_4km,PODAAC,1,2019-11-04T20:47:21Z,2017-09-05T18:31:40.424Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_4KM_DAYTIME_V2014.0,A20021932002200.L3m_8D_SST_sst_4km,19.44564151763916,,Unspecified,2002-07-12T00:00:00.000Z,2002-07-20T02:35:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651267891-PODAAC,A20022012002208.L3m_8D_SST_sst_4km,PODAAC,1,2019-11-04T20:49:26Z,2017-09-05T18:32:09.610Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_4KM_DAYTIME_V2014.0,A20022012002208.L3m_8D_SST_sst_4km,19.549323081970215,,Unspecified,2002-07-20T00:00:00.000Z,2002-07-28T02:20:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651268145-PODAAC,A20022092002216.L3m_8D_SST_sst_4km,PODAAC,1,2019-11-04T20:49:41Z,2017-09-05T18:23:27.473Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_4KM_DAYTIME_V2014.0,A20022092002216.L3m_8D_SST_sst_4km,11.561203002929688,,Unspecified,2002-07-28T00:00:00.000Z,2002-07-29T19:40:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651267696-PODAAC,A20022172002224.L3m_8D_SST_sst_4km,PODAAC,1,2019-11-04T20:49:18Z,2017-09-05T18:38:20.361Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_4KM_DAYTIME_V2014.0,A20022172002224.L3m_8D_SST_sst_4km,18.725186347961426,,Unspecified,2002-08-05T00:00:00.000Z,2002-08-13T02:20:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651267005-PODAAC,A20022252002232.L3m_8D_SST_sst_4km,PODAAC,1,2019-11-04T20:47:23Z,2017-09-05T17:35:00.471Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_4KM_DAYTIME_V2014.0,A20022252002232.L3m_8D_SST_sst_4km,19.466768264770508,,Unspecified,2002-08-13T00:00:00.000Z,2002-08-21T02:35:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651268054-PODAAC,A20022332002240.L3m_8D_SST_sst_4km,PODAAC,1,2019-11-04T20:49:35Z,2017-09-05T18:17:56.300Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_4KM_DAYTIME_V2014.0,A20022332002240.L3m_8D_SST_sst_4km,19.75522232055664,,Unspecified,2002-08-21T00:00:00.000Z,2002-08-29T02:20:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651267801-PODAAC,A20022412002248.L3m_8D_SST_sst_4km,PODAAC,1,2019-11-04T20:49:22Z,2017-09-05T18:01:37.995Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_4KM_DAYTIME_V2014.0,A20022412002248.L3m_8D_SST_sst_4km,19.808783531188965,,Unspecified,2002-08-29T00:00:00.000Z,2002-09-06T02:35:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651266997-PODAAC,A20022492002256.L3m_8D_SST_sst_4km,PODAAC,1,2019-11-04T20:47:20Z,2017-09-05T18:21:23.051Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_4KM_DAYTIME_V2014.0,A20022492002256.L3m_8D_SST_sst_4km,19.959075927734375,,Unspecified,2002-09-06T00:00:00.000Z,2002-09-14T02:20:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651267276-PODAAC,A20022572002264.L3m_8D_SST_sst_4km,PODAAC,1,2019-11-04T20:48:49Z,2017-09-05T18:32:01.246Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_4KM_DAYTIME_V2014.0,A20022572002264.L3m_8D_SST_sst_4km,19.659667015075684,,Unspecified,2002-09-14T00:00:00.000Z,2002-09-22T02:35:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
