cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1687160142-PODAAC,AQUA_MODIS.20020704_20020711.L3m.8D.NSST.sst.9km,PODAAC,1,2020-01-30T20:50:01Z,2019-12-26T15:09:41.254Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020704_20020711.L3m.8D.NSST.sst.9km,7.1442975997924805,,Unspecified,2002-07-04T00:00:00.000Z,2002-07-11T14:55:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687157859-PODAAC,AQUA_MODIS.20020712_20020719.L3m.8D.NSST.sst.9km,PODAAC,1,2020-01-30T20:41:03Z,2019-12-26T15:10:36.026Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020712_20020719.L3m.8D.NSST.sst.9km,7.178891181945801,,Unspecified,2002-07-12T00:00:00.000Z,2002-07-19T14:45:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687158867-PODAAC,AQUA_MODIS.20020720_20020727.L3m.8D.NSST.sst.9km,PODAAC,1,2020-01-30T20:48:37Z,2019-12-26T15:09:28.591Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020720_20020727.L3m.8D.NSST.sst.9km,7.230348587036133,,Unspecified,2002-07-20T00:00:00.000Z,2002-07-27T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687158156-PODAAC,AQUA_MODIS.20020728_20020804.L3m.8D.NSST.sst.9km,PODAAC,1,2020-01-30T20:44:16Z,2019-12-26T17:52:10.590Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020728_20020804.L3m.8D.NSST.sst.9km,6.1151885986328125,,Unspecified,2002-07-28T00:00:00.000Z,2002-07-29T20:14:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687157941-PODAAC,AQUA_MODIS.20020805_20020812.L3m.8D.NSST.sst.9km,PODAAC,1,2020-01-30T20:41:57Z,2019-12-26T18:48:00.650Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020805_20020812.L3m.8D.NSST.sst.9km,7.158529281616211,,Unspecified,2002-08-05T00:00:00.000Z,2002-08-12T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687157745-PODAAC,AQUA_MODIS.20020813_20020820.L3m.8D.NSST.sst.9km,PODAAC,1,2020-01-30T20:40:50Z,2019-12-26T15:08:01.887Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020813_20020820.L3m.8D.NSST.sst.9km,7.457135200500488,,Unspecified,2002-08-13T00:00:00.000Z,2002-08-20T14:45:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687159941-PODAAC,AQUA_MODIS.20020821_20020828.L3m.8D.NSST.sst.9km,PODAAC,1,2020-01-30T20:49:53Z,2019-12-26T19:20:04.750Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020821_20020828.L3m.8D.NSST.sst.9km,7.518954277038574,,Unspecified,2002-08-21T00:00:00.000Z,2002-08-28T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687156564-PODAAC,AQUA_MODIS.20020829_20020905.L3m.8D.NSST.sst.9km,PODAAC,1,2020-01-30T20:39:24Z,2019-12-26T15:09:08.157Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020829_20020905.L3m.8D.NSST.sst.9km,7.598609924316406,,Unspecified,2002-08-29T00:00:00.000Z,2002-09-05T14:44:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687158465-PODAAC,AQUA_MODIS.20020906_20020913.L3m.8D.NSST.sst.9km,PODAAC,1,2020-01-30T20:45:55Z,2019-12-26T18:16:42.348Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020906_20020913.L3m.8D.NSST.sst.9km,7.621789932250977,,Unspecified,2002-09-06T00:00:00.000Z,2002-09-13T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687158868-PODAAC,AQUA_MODIS.20020914_20020921.L3m.8D.NSST.sst.9km,PODAAC,1,2020-01-30T20:48:39Z,2019-12-26T15:09:57.929Z,MODIS_AQUA_L3_SST_THERMAL_8DAY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020914_20020921.L3m.8D.NSST.sst.9km,7.593602180480957,,Unspecified,2002-09-14T00:00:00.000Z,2002-09-21T14:44:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
