cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1687056785-PODAAC,AQUA_MODIS.20020101_20021231.L3m.YR.SST.sst.4km,PODAAC,1,2020-01-30T17:18:42Z,2020-01-06T09:31:02.753Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_DAYTIME_V2019.0,AQUA_MODIS.20020101_20021231.L3m.YR.SST.sst.4km,25.670647621154785,,Unspecified,2002-01-01T00:00:00.000Z,2003-01-01T02:49:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056782-PODAAC,AQUA_MODIS.20030101_20031231.L3m.YR.SST.sst.4km,PODAAC,1,2020-01-30T17:18:41Z,2020-01-06T09:32:42.883Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_DAYTIME_V2019.0,AQUA_MODIS.20030101_20031231.L3m.YR.SST.sst.4km,25.90382671356201,,Unspecified,2003-01-01T00:00:00.000Z,2004-01-01T02:24:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056773-PODAAC,AQUA_MODIS.20040101_20041231.L3m.YR.SST.sst.4km,PODAAC,1,2020-01-30T17:18:37Z,2020-01-06T09:31:02.937Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_DAYTIME_V2019.0,AQUA_MODIS.20040101_20041231.L3m.YR.SST.sst.4km,25.736082077026367,,Unspecified,2004-01-01T00:00:00.000Z,2005-01-01T02:34:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056801-PODAAC,AQUA_MODIS.20050101_20051231.L3m.YR.SST.sst.4km,PODAAC,1,2020-01-30T17:18:47Z,2020-01-06T09:33:32.019Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_DAYTIME_V2019.0,AQUA_MODIS.20050101_20051231.L3m.YR.SST.sst.4km,25.93388271331787,,Unspecified,2005-01-01T00:00:00.000Z,2006-01-01T02:09:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056779-PODAAC,AQUA_MODIS.20060101_20061231.L3m.YR.SST.sst.4km,PODAAC,1,2020-01-30T17:18:39Z,2020-01-06T09:31:30.256Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_DAYTIME_V2019.0,AQUA_MODIS.20060101_20061231.L3m.YR.SST.sst.4km,25.96854591369629,,Unspecified,2006-01-01T00:00:00.000Z,2007-01-01T03:00:01.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056788-PODAAC,AQUA_MODIS.20070101_20071231.L3m.YR.SST.sst.4km,PODAAC,1,2020-01-30T17:18:43Z,2020-01-06T09:31:09.293Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_DAYTIME_V2019.0,AQUA_MODIS.20070101_20071231.L3m.YR.SST.sst.4km,26.023286819458008,,Unspecified,2007-01-01T00:00:00.000Z,2008-01-01T02:39:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056794-PODAAC,AQUA_MODIS.20080101_20081231.L3m.YR.SST.sst.4km,PODAAC,1,2020-01-30T17:18:46Z,2020-01-06T09:32:49.280Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_DAYTIME_V2019.0,AQUA_MODIS.20080101_20081231.L3m.YR.SST.sst.4km,25.755651473999023,,Unspecified,2008-01-01T00:00:00.000Z,2009-01-01T02:54:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056753-PODAAC,AQUA_MODIS.20090101_20091231.L3m.YR.SST.sst.4km,PODAAC,1,2020-01-30T17:18:29Z,2020-01-06T09:12:28.206Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_DAYTIME_V2019.0,AQUA_MODIS.20090101_20091231.L3m.YR.SST.sst.4km,25.763062477111816,,Unspecified,2009-01-01T00:00:00.000Z,2010-01-01T02:29:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056770-PODAAC,AQUA_MODIS.20100101_20101231.L3m.YR.SST.sst.4km,PODAAC,1,2020-01-30T17:18:35Z,2020-01-06T09:15:45.741Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_DAYTIME_V2019.0,AQUA_MODIS.20100101_20101231.L3m.YR.SST.sst.4km,26.0360050201416,,Unspecified,2010-01-01T00:00:00.000Z,2011-01-01T02:09:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056776-PODAAC,AQUA_MODIS.20110101_20111231.L3m.YR.SST.sst.4km,PODAAC,1,2020-01-30T17:18:38Z,2020-01-06T09:15:40.345Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_DAYTIME_V2019.0,AQUA_MODIS.20110101_20111231.L3m.YR.SST.sst.4km,25.82367706298828,,Unspecified,2011-01-01T00:00:00.000Z,2012-01-01T02:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056810-PODAAC,AQUA_MODIS.20120101_20121231.L3m.YR.SST.sst.4km,PODAAC,1,2020-01-30T17:18:50Z,2020-01-06T09:10:26.848Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_DAYTIME_V2019.0,AQUA_MODIS.20120101_20121231.L3m.YR.SST.sst.4km,25.809555053710938,,Unspecified,2012-01-01T00:00:00.000Z,2013-01-01T02:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056805-PODAAC,AQUA_MODIS.20130101_20131231.L3m.YR.SST.sst.4km,PODAAC,1,2020-01-30T17:18:48Z,2020-01-06T09:13:50.113Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_DAYTIME_V2019.0,AQUA_MODIS.20130101_20131231.L3m.YR.SST.sst.4km,25.956523895263672,,Unspecified,2013-01-01T00:00:00.000Z,2014-01-01T02:44:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056767-PODAAC,AQUA_MODIS.20140101_20141231.L3m.YR.SST.sst.4km,PODAAC,1,2020-01-30T17:18:34Z,2020-01-06T09:11:49.423Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_DAYTIME_V2019.0,AQUA_MODIS.20140101_20141231.L3m.YR.SST.sst.4km,25.907560348510742,,Unspecified,2014-01-01T00:00:00.000Z,2015-01-01T02:20:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056746-PODAAC,AQUA_MODIS.20150101_20151231.L3m.YR.SST.sst.4km,PODAAC,1,2020-01-30T17:18:28Z,2020-01-06T09:11:55.429Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_DAYTIME_V2019.0,AQUA_MODIS.20150101_20151231.L3m.YR.SST.sst.4km,25.8331937789917,,Unspecified,2015-01-01T00:00:00.000Z,2016-01-01T02:05:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056758-PODAAC,AQUA_MODIS.20160101_20161231.L3m.YR.SST.sst.4km,PODAAC,1,2020-01-30T17:18:31Z,2020-01-06T09:14:36.251Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_DAYTIME_V2019.0,AQUA_MODIS.20160101_20161231.L3m.YR.SST.sst.4km,25.95594596862793,,Unspecified,2016-01-01T00:00:00.000Z,2017-01-01T02:09:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056760-PODAAC,AQUA_MODIS.20170101_20171231.L3m.YR.SST.sst.4km,PODAAC,1,2020-01-30T17:18:33Z,2020-01-06T09:15:29.075Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_DAYTIME_V2019.0,AQUA_MODIS.20170101_20171231.L3m.YR.SST.sst.4km,25.94087028503418,,Unspecified,2017-01-01T00:00:00.000Z,2018-01-01T02:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056791-PODAAC,AQUA_MODIS.20180101_20181231.L3m.YR.SST.sst.4km,PODAAC,1,2020-01-30T17:18:45Z,2020-01-06T09:10:38.784Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_DAYTIME_V2019.0,AQUA_MODIS.20180101_20181231.L3m.YR.SST.sst.4km,25.822691917419434,,Unspecified,2018-01-01T00:00:00.000Z,2019-01-01T02:34:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
