cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1687056876-PODAAC,AQUA_MODIS.20020101_20021231.L3m.YR.NSST.sst.4km,PODAAC,1,2020-01-30T17:19:11Z,2020-01-06T09:31:35.166Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020101_20021231.L3m.YR.NSST.sst.4km,23.196331024169922,,Unspecified,2002-01-01T00:00:00.000Z,2002-12-31T14:29:58.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056880-PODAAC,AQUA_MODIS.20030101_20031231.L3m.YR.NSST.sst.4km,PODAAC,1,2020-01-30T17:19:12Z,2020-01-06T09:31:35.695Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030101_20031231.L3m.YR.NSST.sst.4km,24.1895809173584,,Unspecified,2003-01-01T00:00:00.000Z,2003-12-31T14:09:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056872-PODAAC,AQUA_MODIS.20040101_20041231.L3m.YR.NSST.sst.4km,PODAAC,1,2020-01-30T17:19:09Z,2020-01-06T09:32:23.193Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20040101_20041231.L3m.YR.NSST.sst.4km,24.073179244995117,,Unspecified,2004-01-01T00:00:00.000Z,2004-12-31T14:20:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056906-PODAAC,AQUA_MODIS.20050101_20051231.L3m.YR.NSST.sst.4km,PODAAC,1,2020-01-30T17:19:17Z,2020-01-06T09:34:23.486Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20050101_20051231.L3m.YR.NSST.sst.4km,24.279017448425293,,Unspecified,2005-01-01T00:00:00.000Z,2005-12-31T13:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056868-PODAAC,AQUA_MODIS.20060101_20061231.L3m.YR.NSST.sst.4km,PODAAC,1,2020-01-30T17:19:08Z,2020-01-06T09:32:30.598Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20060101_20061231.L3m.YR.NSST.sst.4km,24.357531547546387,,Unspecified,2006-01-01T00:00:00.000Z,2006-12-31T14:50:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056864-PODAAC,AQUA_MODIS.20070101_20071231.L3m.YR.NSST.sst.4km,PODAAC,1,2020-01-30T17:19:06Z,2020-01-06T09:32:08.884Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20070101_20071231.L3m.YR.NSST.sst.4km,24.428153038024902,,Unspecified,2007-01-01T00:00:00.000Z,2007-12-31T14:24:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056883-PODAAC,AQUA_MODIS.20080101_20081231.L3m.YR.NSST.sst.4km,PODAAC,1,2020-01-30T17:19:13Z,2020-01-06T09:34:00.107Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20080101_20081231.L3m.YR.NSST.sst.4km,23.9099063873291,,Unspecified,2008-01-01T00:00:00.000Z,2008-12-31T14:40:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056840-PODAAC,AQUA_MODIS.20090101_20091231.L3m.YR.NSST.sst.4km,PODAAC,1,2020-01-30T17:18:58Z,2020-01-06T09:14:42.785Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20090101_20091231.L3m.YR.NSST.sst.4km,23.994861602783203,,Unspecified,2009-01-01T00:00:00.000Z,2009-12-31T14:14:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056831-PODAAC,AQUA_MODIS.20100101_20101231.L3m.YR.NSST.sst.4km,PODAAC,1,2020-01-30T17:18:55Z,2020-01-06T09:12:19.127Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20100101_20101231.L3m.YR.NSST.sst.4km,24.483657836914062,,Unspecified,2010-01-01T00:00:00.000Z,2010-12-31T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687056860-PODAAC,AQUA_MODIS.20110101_20111231.L3m.YR.NSST.sst.4km,PODAAC,1,2020-01-30T17:19:05Z,2020-01-06T09:14:04.979Z,MODIS_AQUA_L3_SST_THERMAL_ANNUAL_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20110101_20111231.L3m.YR.NSST.sst.4km,24.240309715270996,,Unspecified,2011-01-01T00:00:00.000Z,2011-12-31T14:39:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
