cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1651659907-PODAAC,A2002185.L3m_DAY_SST_sst_9km,PODAAC,1,2019-11-05T07:06:57Z,2017-09-04T06:09:18.855Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_DAYTIME_V2014.0,A2002185.L3m_DAY_SST_sst_9km,3.7569751739501953,,Unspecified,2002-07-04T00:00:00.000Z,2002-07-05T02:15:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651829195-PODAAC,A2002186.L3m_DAY_SST_sst_9km,PODAAC,1,2019-11-05T07:49:01Z,2017-09-04T05:12:29.831Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_DAYTIME_V2014.0,A2002186.L3m_DAY_SST_sst_9km,3.7260894775390625,,Unspecified,2002-07-05T00:00:00.000Z,2002-07-06T02:55:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651890769-PODAAC,A2002187.L3m_DAY_SST_sst_9km,PODAAC,1,2019-11-05T08:04:50Z,2017-09-04T04:22:05.116Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_DAYTIME_V2014.0,A2002187.L3m_DAY_SST_sst_9km,3.6585330963134766,,Unspecified,2002-07-06T00:00:00.000Z,2002-07-07T03:00:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651835376-PODAAC,A2002188.L3m_DAY_SST_sst_9km,PODAAC,1,2019-11-05T07:50:34Z,2017-09-04T04:38:13.959Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_DAYTIME_V2014.0,A2002188.L3m_DAY_SST_sst_9km,3.691807746887207,,Unspecified,2002-07-07T00:00:00.000Z,2002-07-08T02:45:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651933302-PODAAC,A2002189.L3m_DAY_SST_sst_9km,PODAAC,1,2019-11-05T08:15:38Z,2017-09-04T04:13:04.814Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_DAYTIME_V2014.0,A2002189.L3m_DAY_SST_sst_9km,3.7738723754882812,,Unspecified,2002-07-08T00:00:00.000Z,2002-07-09T02:50:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651929886-PODAAC,A2002190.L3m_DAY_SST_sst_9km,PODAAC,1,2019-11-05T08:14:45Z,2017-09-04T05:49:59.601Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_DAYTIME_V2014.0,A2002190.L3m_DAY_SST_sst_9km,3.7883548736572266,,Unspecified,2002-07-09T00:00:00.000Z,2002-07-10T02:30:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651656871-PODAAC,A2002191.L3m_DAY_SST_sst_9km,PODAAC,1,2019-11-05T07:06:13Z,2017-09-04T04:49:38.194Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_DAYTIME_V2014.0,A2002191.L3m_DAY_SST_sst_9km,3.837367057800293,,Unspecified,2002-07-10T00:00:00.000Z,2002-07-11T02:40:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651937353-PODAAC,A2002192.L3m_DAY_SST_sst_9km,PODAAC,1,2019-11-05T08:16:40Z,2017-09-04T05:31:06.058Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_DAYTIME_V2014.0,A2002192.L3m_DAY_SST_sst_9km,3.547527313232422,,Unspecified,2002-07-11T00:00:00.000Z,2002-07-12T02:20:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651866003-PODAAC,A2002193.L3m_DAY_SST_sst_9km,PODAAC,1,2019-11-05T07:58:14Z,2017-09-04T04:59:53.741Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_DAYTIME_V2014.0,A2002193.L3m_DAY_SST_sst_9km,3.7313337326049805,,Unspecified,2002-07-12T00:00:00.000Z,2002-07-13T03:00:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651746268-PODAAC,A2002194.L3m_DAY_SST_sst_9km,PODAAC,1,2019-11-05T07:28:23Z,2017-09-04T05:34:17.824Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_DAYTIME_V2014.0,A2002194.L3m_DAY_SST_sst_9km,3.7534713745117188,,Unspecified,2002-07-13T00:00:00.000Z,2002-07-14T02:05:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
