cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1687538300-PODAAC,AQUA_MODIS.20020704.L3m.DAY.NSST.sst.9km,PODAAC,1,2020-01-31T12:00:55Z,2020-01-13T10:17:15.009Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020704.L3m.DAY.NSST.sst.9km,3.5881214141845703,,Unspecified,2002-07-04T00:00:00.000Z,2002-07-04T14:54:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687508706-PODAAC,AQUA_MODIS.20020705.L3m.DAY.NSST.sst.9km,PODAAC,1,2020-01-31T10:46:23Z,2020-01-13T09:48:34.791Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020705.L3m.DAY.NSST.sst.9km,4.554758071899414,,Unspecified,2002-07-05T00:00:00.000Z,2002-07-05T14:34:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687543660-PODAAC,AQUA_MODIS.20020706.L3m.DAY.NSST.sst.9km,PODAAC,1,2020-01-31T12:18:47Z,2020-01-13T09:58:41.795Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020706.L3m.DAY.NSST.sst.9km,4.492646217346191,,Unspecified,2002-07-06T00:00:00.000Z,2002-07-06T14:44:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687517990-PODAAC,AQUA_MODIS.20020707.L3m.DAY.NSST.sst.9km,PODAAC,1,2020-01-31T11:10:42Z,2020-01-13T09:53:14.699Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020707.L3m.DAY.NSST.sst.9km,4.488746643066406,,Unspecified,2002-07-07T00:00:00.000Z,2002-07-07T14:19:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687526810-PODAAC,AQUA_MODIS.20020708.L3m.DAY.NSST.sst.9km,PODAAC,1,2020-01-31T11:35:34Z,2020-01-13T09:52:23.210Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020708.L3m.DAY.NSST.sst.9km,4.49114990234375,,Unspecified,2002-07-08T00:00:00.000Z,2002-07-08T14:35:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687508717-PODAAC,AQUA_MODIS.20020709.L3m.DAY.NSST.sst.9km,PODAAC,1,2020-01-31T10:46:29Z,2020-01-13T09:49:43.327Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020709.L3m.DAY.NSST.sst.9km,4.48091983795166,,Unspecified,2002-07-09T00:00:00.000Z,2002-07-09T14:10:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687538026-PODAAC,AQUA_MODIS.20020710.L3m.DAY.NSST.sst.9km,PODAAC,1,2020-01-31T11:59:31Z,2020-01-13T09:56:34.541Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020710.L3m.DAY.NSST.sst.9km,4.522353172302246,,Unspecified,2002-07-10T00:00:00.000Z,2002-07-10T14:54:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687537238-PODAAC,AQUA_MODIS.20020711.L3m.DAY.NSST.sst.9km,PODAAC,1,2020-01-31T11:57:09Z,2020-01-13T09:51:09.055Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020711.L3m.DAY.NSST.sst.9km,4.274166107177734,,Unspecified,2002-07-11T00:00:00.000Z,2002-07-11T14:55:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687543656-PODAAC,AQUA_MODIS.20020712.L3m.DAY.NSST.sst.9km,PODAAC,1,2020-01-31T12:18:46Z,2020-01-13T09:56:56.467Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020712.L3m.DAY.NSST.sst.9km,4.169188499450684,,Unspecified,2002-07-12T00:00:00.000Z,2002-07-12T14:39:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687496745-PODAAC,AQUA_MODIS.20020713.L3m.DAY.NSST.sst.9km,PODAAC,1,2020-01-31T10:10:02Z,2020-01-13T09:54:03.310Z,MODIS_AQUA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020713.L3m.DAY.NSST.sst.9km,4.538702011108398,,Unspecified,2002-07-13T00:00:00.000Z,2002-07-13T14:50:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
