cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1651224007-PODAAC,A20021822002212.L3m_MO_NSST_sst_4km,PODAAC,1,2019-11-04T19:17:14Z,2017-09-08T01:40:15.353Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_4KM_NIGHTTIME_V2014.0,A20021822002212.L3m_MO_NSST_sst_4km,22.161680221557617,,Unspecified,2002-07-01T00:00:00.000Z,2002-07-29T20:15:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651223929-PODAAC,A20022132002243.L3m_MO_NSST_sst_4km,PODAAC,1,2019-11-04T19:17:06Z,2017-09-08T00:37:16.250Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_4KM_NIGHTTIME_V2014.0,A20022132002243.L3m_MO_NSST_sst_4km,22.950608253479004,,Unspecified,2002-08-01T00:00:00.000Z,2002-08-31T14:25:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651223931-PODAAC,A20022442002273.L3m_MO_NSST_sst_4km,PODAAC,1,2019-11-04T19:17:07Z,2017-09-07T23:36:59.307Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_4KM_NIGHTTIME_V2014.0,A20022442002273.L3m_MO_NSST_sst_4km,22.732216835021973,,Unspecified,2002-09-01T00:00:00.000Z,2002-09-30T14:40:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651223981-PODAAC,A20022742002304.L3m_MO_NSST_sst_4km,PODAAC,1,2019-11-04T19:17:12Z,2019-08-13T04:32:21.834Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_4KM_NIGHTTIME_V2014.0,A20022742002304.L3m_MO_NSST_sst_4km,22.37256622314453,,Unspecified,2002-10-01T00:00:00.000Z,2002-10-31T15:00:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651223935-PODAAC,A20023052002334.L3m_MO_NSST_sst_4km,PODAAC,1,2019-11-04T19:17:09Z,2017-09-08T00:11:20.777Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_4KM_NIGHTTIME_V2014.0,A20023052002334.L3m_MO_NSST_sst_4km,22.404613494873047,,Unspecified,2002-11-01T00:00:00.000Z,2002-11-30T15:00:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651223960-PODAAC,A20023352002365.L3m_MO_NSST_sst_4km,PODAAC,1,2019-11-04T19:17:11Z,2017-09-08T01:25:49.561Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_4KM_NIGHTTIME_V2014.0,A20023352002365.L3m_MO_NSST_sst_4km,22.535496711730957,,Unspecified,2002-12-01T00:00:00.000Z,2002-12-31T14:30:03.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651224200-PODAAC,A20030012003031.L3m_MO_NSST_sst_4km,PODAAC,1,2019-11-04T19:18:10Z,2017-09-07T22:53:30.066Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_4KM_NIGHTTIME_V2014.0,A20030012003031.L3m_MO_NSST_sst_4km,23.19185161590576,,Unspecified,2003-01-01T00:00:00.000Z,2003-01-31T14:05:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651224224-PODAAC,A20030322003059.L3m_MO_NSST_sst_4km,PODAAC,1,2019-11-04T19:18:14Z,2017-09-07T23:58:19.276Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_4KM_NIGHTTIME_V2014.0,A20030322003059.L3m_MO_NSST_sst_4km,23.108854293823242,,Unspecified,2003-02-01T00:00:00.000Z,2003-02-28T14:20:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651224236-PODAAC,A20030602003090.L3m_MO_NSST_sst_4km,PODAAC,1,2019-11-04T19:18:19Z,2017-09-07T23:00:21.796Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_4KM_NIGHTTIME_V2014.0,A20030602003090.L3m_MO_NSST_sst_4km,22.791486740112305,,Unspecified,2003-03-01T00:00:00.000Z,2003-03-31T15:00:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651224233-PODAAC,A20030912003120.L3m_MO_NSST_sst_4km,PODAAC,1,2019-11-04T19:18:18Z,2017-09-08T01:31:27.605Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_4KM_NIGHTTIME_V2014.0,A20030912003120.L3m_MO_NSST_sst_4km,22.791388511657715,,Unspecified,2003-04-01T00:00:00.000Z,2003-04-30T14:15:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
