cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1687081468-PODAAC,AQUA_MODIS.20020701_20020731.L3m.MO.SST.sst.9km,PODAAC,1,2020-01-30T17:46:54Z,2019-12-24T15:41:11.150Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,AQUA_MODIS.20020701_20020731.L3m.MO.SST.sst.9km,8.118094444274902,,Unspecified,2002-07-01T00:00:00.000Z,2002-07-29T19:40:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687078365-PODAAC,AQUA_MODIS.20020801_20020831.L3m.MO.SST.sst.9km,PODAAC,1,2020-01-30T17:45:21Z,2019-12-24T16:18:09.164Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,AQUA_MODIS.20020801_20020831.L3m.MO.SST.sst.9km,8.11699104309082,,Unspecified,2002-08-01T00:00:00.000Z,2002-09-01T02:50:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687081563-PODAAC,AQUA_MODIS.20020901_20020930.L3m.MO.SST.sst.9km,PODAAC,1,2020-01-30T17:46:59Z,2019-12-24T15:08:08.823Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,AQUA_MODIS.20020901_20020930.L3m.MO.SST.sst.9km,7.747012138366699,,Unspecified,2002-09-01T00:00:00.000Z,2002-10-01T02:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687078170-PODAAC,AQUA_MODIS.20021001_20021031.L3m.MO.SST.sst.9km,PODAAC,1,2020-01-30T17:45:05Z,2019-12-24T15:43:58.829Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,AQUA_MODIS.20021001_20021031.L3m.MO.SST.sst.9km,7.542278289794922,,Unspecified,2002-10-01T00:00:00.000Z,2002-11-01T02:05:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687078656-PODAAC,AQUA_MODIS.20021101_20021130.L3m.MO.SST.sst.9km,PODAAC,1,2020-01-30T17:45:36Z,2019-12-24T15:10:00.263Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,AQUA_MODIS.20021101_20021130.L3m.MO.SST.sst.9km,7.473542213439941,,Unspecified,2002-11-01T00:00:00.000Z,2002-12-01T02:09:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687081551-PODAAC,AQUA_MODIS.20021201_20021231.L3m.MO.SST.sst.9km,PODAAC,1,2020-01-30T17:46:58Z,2019-12-24T15:07:10.268Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,AQUA_MODIS.20021201_20021231.L3m.MO.SST.sst.9km,7.574267387390137,,Unspecified,2002-12-01T00:00:00.000Z,2003-01-01T02:49:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687076771-PODAAC,AQUA_MODIS.20030101_20030131.L3m.MO.SST.sst.9km,PODAAC,1,2020-01-30T17:42:44Z,2019-12-24T16:51:17.186Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,AQUA_MODIS.20030101_20030131.L3m.MO.SST.sst.9km,7.626349449157715,,Unspecified,2003-01-01T00:00:00.000Z,2003-02-01T02:14:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687080728-PODAAC,AQUA_MODIS.20030201_20030228.L3m.MO.SST.sst.9km,PODAAC,1,2020-01-30T17:46:30Z,2019-12-24T14:33:47.581Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,AQUA_MODIS.20030201_20030228.L3m.MO.SST.sst.9km,7.510964393615723,,Unspecified,2003-02-01T00:00:00.000Z,2003-03-01T02:35:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687077610-PODAAC,AQUA_MODIS.20030301_20030331.L3m.MO.SST.sst.9km,PODAAC,1,2020-01-30T17:44:20Z,2019-12-24T14:32:57.453Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,AQUA_MODIS.20030301_20030331.L3m.MO.SST.sst.9km,7.467547416687012,,Unspecified,2003-03-01T00:00:00.000Z,2003-04-01T02:24:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687081222-PODAAC,AQUA_MODIS.20030401_20030430.L3m.MO.SST.sst.9km,PODAAC,1,2020-01-30T17:46:45Z,2019-12-24T15:42:26.601Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,AQUA_MODIS.20030401_20030430.L3m.MO.SST.sst.9km,7.460962295532227,,Unspecified,2003-04-01T00:00:00.000Z,2003-05-01T02:35:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687078276-PODAAC,AQUA_MODIS.20030501_20030531.L3m.MO.SST.sst.9km,PODAAC,1,2020-01-30T17:45:14Z,2019-12-24T14:34:05.707Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,AQUA_MODIS.20030501_20030531.L3m.MO.SST.sst.9km,7.529807090759277,,Unspecified,2003-05-01T00:00:00.000Z,2003-06-01T02:55:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687077969-PODAAC,AQUA_MODIS.20030601_20030630.L3m.MO.SST.sst.9km,PODAAC,1,2020-01-30T17:44:49Z,2019-12-24T14:32:31.446Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,AQUA_MODIS.20030601_20030630.L3m.MO.SST.sst.9km,7.90255069732666,,Unspecified,2003-06-01T00:00:00.000Z,2003-07-01T02:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687080328-PODAAC,AQUA_MODIS.20030701_20030731.L3m.MO.SST.sst.9km,PODAAC,1,2020-01-30T17:46:19Z,2019-12-24T15:40:58.445Z,MODIS_AQUA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,AQUA_MODIS.20030701_20030731.L3m.MO.SST.sst.9km,8.079060554504395,,Unspecified,2003-07-01T00:00:00.000Z,2003-08-01T02:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
