cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1651409707-PODAAC,T20000572000064.L3m_8D_SST4_sst4_9km,PODAAC,1,2019-11-05T00:23:10Z,2017-09-01T19:47:59.605Z,MODIS_TERRA_L3_SST_MID-IR_8DAY_9KM_NIGHTTIME_V2014.0,T20000572000064.L3m_8D_SST4_sst4_9km,15.7798490524292,,Unspecified,2000-02-26T00:00:00.000Z,2000-03-04T11:35:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651409666-PODAAC,T20000652000072.L3m_8D_SST4_sst4_9km,PODAAC,1,2019-11-05T00:22:56Z,2017-09-01T21:18:47.588Z,MODIS_TERRA_L3_SST_MID-IR_8DAY_9KM_NIGHTTIME_V2014.0,T20000652000072.L3m_8D_SST4_sst4_9km,15.719796180725098,,Unspecified,2000-03-05T00:00:00.000Z,2000-03-12T11:50:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651409784-PODAAC,T20000732000080.L3m_8D_SST4_sst4_9km,PODAAC,1,2019-11-05T00:23:36Z,2017-09-01T18:07:59.996Z,MODIS_TERRA_L3_SST_MID-IR_8DAY_9KM_NIGHTTIME_V2014.0,T20000732000080.L3m_8D_SST4_sst4_9km,15.618803977966309,,Unspecified,2000-03-13T00:00:00.000Z,2000-03-20T11:35:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651409727-PODAAC,T20000812000088.L3m_8D_SST4_sst4_9km,PODAAC,1,2019-11-05T00:23:17Z,2017-09-01T11:46:55.904Z,MODIS_TERRA_L3_SST_MID-IR_8DAY_9KM_NIGHTTIME_V2014.0,T20000812000088.L3m_8D_SST4_sst4_9km,15.754890441894531,,Unspecified,2000-03-21T00:00:00.000Z,2000-03-28T11:55:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651409703-PODAAC,T20000892000096.L3m_8D_SST4_sst4_9km,PODAAC,1,2019-11-05T00:23:09Z,2017-09-01T21:46:49.410Z,MODIS_TERRA_L3_SST_MID-IR_8DAY_9KM_NIGHTTIME_V2014.0,T20000892000096.L3m_8D_SST4_sst4_9km,15.98257064819336,,Unspecified,2000-03-29T00:00:00.000Z,2000-04-05T10:35:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651409792-PODAAC,T20000972000104.L3m_8D_SST4_sst4_9km,PODAAC,1,2019-11-05T00:23:39Z,2017-09-01T14:45:13.658Z,MODIS_TERRA_L3_SST_MID-IR_8DAY_9KM_NIGHTTIME_V2014.0,T20000972000104.L3m_8D_SST4_sst4_9km,15.967978477478027,,Unspecified,2000-04-06T00:00:00.000Z,2000-04-13T09:55:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651409769-PODAAC,T20001052000112.L3m_8D_SST4_sst4_9km,PODAAC,1,2019-11-05T00:23:31Z,2017-09-01T18:09:14.819Z,MODIS_TERRA_L3_SST_MID-IR_8DAY_9KM_NIGHTTIME_V2014.0,T20001052000112.L3m_8D_SST4_sst4_9km,15.924957275390625,,Unspecified,2000-04-14T00:00:00.000Z,2000-04-21T09:35:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651409901-PODAAC,T20001132000120.L3m_8D_SST4_sst4_9km,PODAAC,1,2019-11-05T00:24:16Z,2017-09-01T12:37:13.539Z,MODIS_TERRA_L3_SST_MID-IR_8DAY_9KM_NIGHTTIME_V2014.0,T20001132000120.L3m_8D_SST4_sst4_9km,14.777016639709473,,Unspecified,2000-04-22T00:00:00.000Z,2000-04-29T09:55:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651409736-PODAAC,T20001212000128.L3m_8D_SST4_sst4_9km,PODAAC,1,2019-11-05T00:23:19Z,2019-08-11T22:26:43.056Z,MODIS_TERRA_L3_SST_MID-IR_8DAY_9KM_NIGHTTIME_V2014.0,T20001212000128.L3m_8D_SST4_sst4_9km,15.630599021911621,,Unspecified,2000-04-30T00:00:00.000Z,2000-05-07T09:20:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651409809-PODAAC,T20001292000136.L3m_8D_SST4_sst4_9km,PODAAC,1,2019-11-05T00:23:44Z,2017-09-01T20:39:04.108Z,MODIS_TERRA_L3_SST_MID-IR_8DAY_9KM_NIGHTTIME_V2014.0,T20001292000136.L3m_8D_SST4_sst4_9km,15.619479179382324,,Unspecified,2000-05-08T00:00:00.000Z,2000-05-15T09:55:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
