cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1687060493-PODAAC,TERRA_MODIS.20000101_20001231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:42Z,2020-01-30T00:01:50.231Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20000101_20001231.L3m.YR.SST4.sst4.4km,23.893010139465332,,Unspecified,2000-01-01T00:00:00.000Z,2000-12-31T11:45:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060222-PODAAC,TERRA_MODIS.20010101_20011231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:31Z,2020-01-30T00:00:18.281Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20010101_20011231.L3m.YR.SST4.sst4.4km,24.140161514282227,,Unspecified,2001-01-01T00:00:00.000Z,2001-12-31T11:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060619-PODAAC,TERRA_MODIS.20020101_20021231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:47Z,2020-01-29T23:52:47.436Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20020101_20021231.L3m.YR.SST4.sst4.4km,24.192625045776367,,Unspecified,2002-01-01T00:00:00.000Z,2002-12-31T11:39:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060054-PODAAC,TERRA_MODIS.20030101_20031231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:23Z,2020-01-29T23:54:42.573Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20030101_20031231.L3m.YR.SST4.sst4.4km,24.201461791992188,,Unspecified,2003-01-01T00:00:00.000Z,2003-12-31T11:40:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060082-PODAAC,TERRA_MODIS.20040101_20041231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:25Z,2020-01-29T23:55:21.213Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20040101_20041231.L3m.YR.SST4.sst4.4km,24.082144737243652,,Unspecified,2004-01-01T00:00:00.000Z,2004-12-31T11:50:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060296-PODAAC,TERRA_MODIS.20050101_20051231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:34Z,2020-01-29T23:54:09.249Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20050101_20051231.L3m.YR.SST4.sst4.4km,24.312639236450195,,Unspecified,2005-01-01T00:00:00.000Z,2005-12-31T11:19:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060426-PODAAC,TERRA_MODIS.20060101_20061231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:39Z,2020-01-29T23:53:14.120Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20060101_20061231.L3m.YR.SST4.sst4.4km,24.411027908325195,,Unspecified,2006-01-01T00:00:00.000Z,2006-12-31T11:55:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060588-PODAAC,TERRA_MODIS.20070101_20071231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:46Z,2020-01-30T00:00:46.522Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20070101_20071231.L3m.YR.SST4.sst4.4km,24.459765434265137,,Unspecified,2007-01-01T00:00:00.000Z,2007-12-31T11:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687059985-PODAAC,TERRA_MODIS.20080101_20081231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:21Z,2020-01-29T23:52:08.380Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20080101_20081231.L3m.YR.SST4.sst4.4km,24.007325172424316,,Unspecified,2008-01-01T00:00:00.000Z,2008-12-31T11:39:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060023-PODAAC,TERRA_MODIS.20090101_20091231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:22Z,2020-01-29T23:54:26.275Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20090101_20091231.L3m.YR.SST4.sst4.4km,24.052912712097168,,Unspecified,2009-01-01T00:00:00.000Z,2009-12-31T11:40:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060520-PODAAC,TERRA_MODIS.20100101_20101231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:43Z,2020-01-29T23:58:00.328Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20100101_20101231.L3m.YR.SST4.sst4.4km,24.503119468688965,,Unspecified,2010-01-01T00:00:00.000Z,2010-12-31T11:10:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060555-PODAAC,TERRA_MODIS.20110101_20111231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:44Z,2020-01-30T00:00:31.501Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20110101_20111231.L3m.YR.SST4.sst4.4km,24.301905632019043,,Unspecified,2011-01-01T00:00:00.000Z,2011-12-31T11:40:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060151-PODAAC,TERRA_MODIS.20120101_20121231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:28Z,2020-01-30T00:01:24.135Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20120101_20121231.L3m.YR.SST4.sst4.4km,24.14901828765869,,Unspecified,2012-01-01T00:00:00.000Z,2012-12-31T11:54:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060191-PODAAC,TERRA_MODIS.20130101_20131231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:29Z,2020-01-30T00:00:07.207Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20130101_20131231.L3m.YR.SST4.sst4.4km,24.283690452575684,,Unspecified,2013-01-01T00:00:00.000Z,2013-12-31T11:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060391-PODAAC,TERRA_MODIS.20140101_20141231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:38Z,2020-01-29T23:58:40.993Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20140101_20141231.L3m.YR.SST4.sst4.4km,24.17433738708496,,Unspecified,2014-01-01T00:00:00.000Z,2014-12-31T11:25:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060453-PODAAC,TERRA_MODIS.20150101_20151231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:40Z,2020-01-30T00:01:40.676Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20150101_20151231.L3m.YR.SST4.sst4.4km,24.145030975341797,,Unspecified,2015-01-01T00:00:00.000Z,2015-12-31T11:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060263-PODAAC,TERRA_MODIS.20160101_20161231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:32Z,2020-01-29T23:55:27.540Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20160101_20161231.L3m.YR.SST4.sst4.4km,24.33512020111084,,Unspecified,2016-01-01T00:00:00.000Z,2016-12-31T11:09:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060364-PODAAC,TERRA_MODIS.20170101_20171231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:36Z,2020-01-29T23:58:35.078Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20170101_20171231.L3m.YR.SST4.sst4.4km,24.5383939743042,,Unspecified,2017-01-01T00:00:00.000Z,2017-12-31T11:44:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060327-PODAAC,TERRA_MODIS.20180101_20181231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:35Z,2020-01-29T23:57:30.613Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20180101_20181231.L3m.YR.SST4.sst4.4km,24.322845458984375,,Unspecified,2018-01-01T00:00:00.000Z,2018-12-31T11:45:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687060121-PODAAC,TERRA_MODIS.20190101_20191231.L3m.YR.SST4.sst4.4km,PODAAC,1,2020-01-30T17:22:26Z,2020-01-29T23:55:38.053Z,MODIS_TERRA_L3_SST_MID-IR_ANNUAL_4KM_NIGHTTIME_V2019.0,TERRA_MODIS.20190101_20191231.L3m.YR.SST4.sst4.4km,24.64240264892578,,Unspecified,2019-01-01T00:00:00.000Z,2019-12-31T11:14:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
