cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1652493304-PODAAC,T2000056.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:33:03Z,2017-09-01T13:52:23.579Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000056.L3m_DAY_SST4_sst4_9km,10.728950500488281,,Unspecified,2000-02-25T00:00:00.000Z,2000-02-25T10:45:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652492498-PODAAC,T2000057.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:31:11Z,2019-08-11T22:25:34.268Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000057.L3m_DAY_SST4_sst4_9km,11.500326156616211,,Unspecified,2000-02-26T00:00:00.000Z,2000-02-26T11:30:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652491952-PODAAC,T2000058.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:29:15Z,2017-09-01T05:53:17.526Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000058.L3m_DAY_SST4_sst4_9km,11.641754150390625,,Unspecified,2000-02-27T00:00:00.000Z,2000-02-27T11:40:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652491632-PODAAC,T2000059.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:27:14Z,2017-09-01T05:53:50.179Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000059.L3m_DAY_SST4_sst4_9km,11.486153602600098,,Unspecified,2000-02-28T00:00:00.000Z,2000-02-28T11:15:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652491836-PODAAC,T2000060.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:28:50Z,2017-09-01T18:46:36.518Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000060.L3m_DAY_SST4_sst4_9km,11.48635482788086,,Unspecified,2000-02-29T00:00:00.000Z,2000-02-29T12:00:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652490357-PODAAC,T2000061.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:23:10Z,2017-09-01T19:11:18.999Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000061.L3m_DAY_SST4_sst4_9km,11.675790786743164,,Unspecified,2000-03-01T00:00:00.000Z,2000-03-01T12:00:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652492492-PODAAC,T2000062.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:31:09Z,2017-09-01T05:43:07.385Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000062.L3m_DAY_SST4_sst4_9km,11.217089653015137,,Unspecified,2000-03-02T00:00:00.000Z,2000-03-02T11:50:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652493350-PODAAC,T2000063.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:33:13Z,2017-09-01T18:13:56.312Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000063.L3m_DAY_SST4_sst4_9km,11.538357734680176,,Unspecified,2000-03-03T00:00:00.000Z,2000-03-03T11:55:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652491893-PODAAC,T2000064.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:29:03Z,2017-09-01T06:34:39.721Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000064.L3m_DAY_SST4_sst4_9km,11.715164184570312,,Unspecified,2000-03-04T00:00:00.000Z,2000-03-04T11:35:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652493859-PODAAC,T2000065.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:34:59Z,2017-09-04T20:36:52.655Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000065.L3m_DAY_SST4_sst4_9km,11.712722778320312,,Unspecified,2000-03-05T00:00:00.000Z,2000-03-05T11:45:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652492311-PODAAC,T2000066.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:30:29Z,2017-09-01T18:24:01.454Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000066.L3m_DAY_SST4_sst4_9km,11.661195755004883,,Unspecified,2000-03-06T00:00:00.000Z,2000-03-06T11:25:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652492834-PODAAC,T2000067.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:31:46Z,2017-09-01T18:48:42.303Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000067.L3m_DAY_SST4_sst4_9km,11.697096824645996,,Unspecified,2000-03-07T00:00:00.000Z,2000-03-07T11:40:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652489402-PODAAC,T2000068.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:20:31Z,2017-09-01T19:05:49.627Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000068.L3m_DAY_SST4_sst4_9km,11.652337074279785,,Unspecified,2000-03-08T00:00:00.000Z,2000-03-08T12:00:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652493898-PODAAC,T2000069.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:35:08Z,2017-09-01T05:45:27.561Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000069.L3m_DAY_SST4_sst4_9km,11.509847640991211,,Unspecified,2000-03-09T00:00:00.000Z,2000-03-09T11:55:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652491737-PODAAC,T2000070.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:28:28Z,2017-09-01T18:52:33.917Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000070.L3m_DAY_SST4_sst4_9km,11.74072551727295,,Unspecified,2000-03-10T00:00:00.000Z,2000-03-10T11:47:56.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652492217-PODAAC,T2000071.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:30:09Z,2017-09-01T05:41:30.720Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000071.L3m_DAY_SST4_sst4_9km,11.64633846282959,,Unspecified,2000-03-11T00:00:00.000Z,2000-03-11T11:40:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652491808-PODAAC,T2000072.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:28:44Z,2017-09-01T05:42:49.432Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000072.L3m_DAY_SST4_sst4_9km,11.669650077819824,,Unspecified,2000-03-12T00:00:00.000Z,2000-03-12T11:50:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652490148-PODAAC,T2000073.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:22:26Z,2017-09-04T20:37:51.102Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000073.L3m_DAY_SST4_sst4_9km,11.59426212310791,,Unspecified,2000-03-13T00:00:00.000Z,2000-03-13T11:30:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652489396-PODAAC,T2000074.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:20:25Z,2019-08-11T22:25:55.325Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000074.L3m_DAY_SST4_sst4_9km,11.136751174926758,,Unspecified,2000-03-14T00:00:00.000Z,2000-03-14T11:40:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652493884-PODAAC,T2000075.L3m_DAY_SST4_sst4_9km,PODAAC,1,2019-11-05T20:35:05Z,2019-08-11T22:25:50.226Z,MODIS_TERRA_L3_SST_MID-IR_DAILY_9KM_NIGHTTIME_V2014.0,T2000075.L3m_DAY_SST4_sst4_9km,11.498891830444336,,Unspecified,2000-03-15T00:00:00.000Z,2000-03-15T11:15:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
