cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1654703930-PODAAC,T20000322000060.L3m_MO_SST4_sst4_4km.nc,PODAAC,4,2019-11-15T13:00:21Z,2019-11-14T08:23:01.342Z,MODIS_TERRA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2014.0,T20000322000060.L3m_MO_SST4_sst4_4km.nc,55.06779861450195,,Unspecified,2000-02-24T09:45:05.000Z,2000-02-29T12:00:04.000Z,-89.979,89.979,-179.979,179.979,"POLYGON ((179.979 -89.979, 179.979 89.979, -179.979 89.979, -179.979 -89.979, 179.979 -89.979))"
granule,G1651245190-PODAAC,T20000612000091.L3m_MO_SST4_sst4_4km,PODAAC,1,2019-11-04T19:54:43Z,2017-09-07T22:53:28.421Z,MODIS_TERRA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2014.0,T20000612000091.L3m_MO_SST4_sst4_4km,63.67379283905029,,Unspecified,2000-03-01T00:00:00.000Z,2000-03-31T11:15:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651245017-PODAAC,T20000922000121.L3m_MO_SST4_sst4_4km,PODAAC,1,2019-11-04T19:54:36Z,2017-09-07T22:34:43.896Z,MODIS_TERRA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2014.0,T20000922000121.L3m_MO_SST4_sst4_4km,63.881792068481445,,Unspecified,2000-04-01T00:00:00.000Z,2000-04-30T10:25:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651245048-PODAAC,T20001222000152.L3m_MO_SST4_sst4_4km,PODAAC,1,2019-11-04T19:54:38Z,2017-09-08T00:11:13.096Z,MODIS_TERRA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2014.0,T20001222000152.L3m_MO_SST4_sst4_4km,63.703856468200684,,Unspecified,2000-05-01T00:00:00.000Z,2000-05-31T07:40:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651245119-PODAAC,T20001532000182.L3m_MO_SST4_sst4_4km,PODAAC,1,2019-11-04T19:54:40Z,2018-09-14T07:11:27.098Z,MODIS_TERRA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2014.0,T20001532000182.L3m_MO_SST4_sst4_4km,63.148698806762695,,Unspecified,2000-06-01T00:00:00.000Z,2000-06-30T10:00:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651245288-PODAAC,T20001832000213.L3m_MO_SST4_sst4_4km,PODAAC,1,2019-11-04T19:54:47Z,2017-09-07T23:19:07.429Z,MODIS_TERRA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2014.0,T20001832000213.L3m_MO_SST4_sst4_4km,62.815369606018066,,Unspecified,2000-07-01T00:00:00.000Z,2000-07-31T09:30:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651245087-PODAAC,T20002142000244.L3m_MO_SST4_sst4_4km,PODAAC,1,2019-11-04T19:54:39Z,2017-09-08T01:31:13.475Z,MODIS_TERRA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2014.0,T20002142000244.L3m_MO_SST4_sst4_4km,63.071340560913086,,Unspecified,2000-08-01T00:00:00.000Z,2000-08-31T10:00:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651245370-PODAAC,T20002452000274.L3m_MO_SST4_sst4_4km,PODAAC,1,2019-11-04T19:54:51Z,2017-09-07T22:01:37.755Z,MODIS_TERRA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2014.0,T20002452000274.L3m_MO_SST4_sst4_4km,64.122145652771,,Unspecified,2000-09-01T00:00:00.000Z,2000-09-30T09:20:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651245343-PODAAC,T20002752000305.L3m_MO_SST4_sst4_4km,PODAAC,1,2019-11-04T19:54:50Z,2017-09-08T01:53:52.673Z,MODIS_TERRA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2014.0,T20002752000305.L3m_MO_SST4_sst4_4km,63.89163398742676,,Unspecified,2000-10-01T00:00:00.000Z,2000-10-31T10:45:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651245155-PODAAC,T20003062000335.L3m_MO_SST4_sst4_4km,PODAAC,1,2019-11-04T19:54:42Z,2017-09-07T22:44:37.471Z,MODIS_TERRA_L3_SST_MID-IR_MONTHLY_4KM_NIGHTTIME_V2014.0,T20003062000335.L3m_MO_SST4_sst4_4km,63.32557964324951,,Unspecified,2000-11-01T00:00:00.000Z,2000-11-30T11:55:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
