cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1651349446-PODAAC,T20000572000064.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:43:24Z,2017-09-01T20:35:15.772Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20000572000064.L3m_8D_NSST_sst_4km,22.700078010559082,,Unspecified,2000-02-26T00:00:00.000Z,2000-03-04T11:35:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651349897-PODAAC,T20000652000072.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:44:02Z,2017-09-01T20:53:52.451Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20000652000072.L3m_8D_NSST_sst_4km,22.423521041870117,,Unspecified,2000-03-05T00:00:00.000Z,2000-03-12T11:50:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651350335-PODAAC,T20000732000080.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:44:27Z,2017-09-01T13:27:55.326Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20000732000080.L3m_8D_NSST_sst_4km,22.100576400756836,,Unspecified,2000-03-13T00:00:00.000Z,2000-03-20T11:35:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651349463-PODAAC,T20000812000088.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:43:25Z,2017-09-01T11:46:20.961Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20000812000088.L3m_8D_NSST_sst_4km,22.401740074157715,,Unspecified,2000-03-21T00:00:00.000Z,2000-03-28T11:55:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651349935-PODAAC,T20000892000096.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:44:08Z,2017-09-01T12:34:41.806Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20000892000096.L3m_8D_NSST_sst_4km,22.89399814605713,,Unspecified,2000-03-29T00:00:00.000Z,2000-04-05T11:35:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651350055-PODAAC,T20000972000104.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:44:20Z,2017-09-01T11:46:56.526Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20000972000104.L3m_8D_NSST_sst_4km,22.941991806030273,,Unspecified,2000-04-06T00:00:00.000Z,2000-04-13T11:55:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651349781-PODAAC,T20001052000112.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:43:52Z,2017-09-01T20:34:48.853Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20001052000112.L3m_8D_NSST_sst_4km,22.74010181427002,,Unspecified,2000-04-14T00:00:00.000Z,2000-04-21T11:35:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651349483-PODAAC,T20001132000120.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:43:28Z,2017-09-01T17:27:19.777Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20001132000120.L3m_8D_NSST_sst_4km,57.23805332183838,,Unspecified,2000-04-22T00:00:00.000Z,2000-04-29T09:55:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651349653-PODAAC,T20001212000128.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:43:44Z,2017-09-01T11:40:30.988Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20001212000128.L3m_8D_NSST_sst_4km,22.36872959136963,,Unspecified,2000-04-30T00:00:00.000Z,2000-05-07T11:20:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651349789-PODAAC,T20001292000136.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:43:53Z,2017-09-01T11:40:58.455Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20001292000136.L3m_8D_NSST_sst_4km,22.41314125061035,,Unspecified,2000-05-08T00:00:00.000Z,2000-05-15T11:55:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651349961-PODAAC,T20001372000144.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:44:12Z,2017-09-01T20:12:14.026Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20001372000144.L3m_8D_NSST_sst_4km,22.52485752105713,,Unspecified,2000-05-16T00:00:00.000Z,2000-05-23T11:20:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651349994-PODAAC,T20001452000152.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:44:16Z,2017-09-01T11:41:06.775Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20001452000152.L3m_8D_NSST_sst_4km,22.122328758239746,,Unspecified,2000-05-24T00:00:00.000Z,2000-05-31T10:40:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651349244-PODAAC,T20001532000160.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:42:53Z,2017-09-01T17:21:36.883Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20001532000160.L3m_8D_NSST_sst_4km,22.24135398864746,,Unspecified,2000-06-01T00:00:00.000Z,2000-06-08T11:20:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651349944-PODAAC,T20001612000168.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:44:09Z,2017-09-01T12:13:02.386Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20001612000168.L3m_8D_NSST_sst_4km,21.748367309570312,,Unspecified,2000-06-09T00:00:00.000Z,2000-06-16T11:55:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651349663-PODAAC,T20001692000176.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:43:45Z,2017-09-01T17:09:34.895Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20001692000176.L3m_8D_NSST_sst_4km,21.654935836791992,,Unspecified,2000-06-17T00:00:00.000Z,2000-06-24T11:20:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651349912-PODAAC,T20001772000184.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:44:05Z,2017-09-01T18:13:19.630Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20001772000184.L3m_8D_NSST_sst_4km,21.138962745666504,,Unspecified,2000-06-25T00:00:00.000Z,2000-07-02T11:55:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651350026-PODAAC,T20001852000192.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:44:17Z,2017-09-01T11:35:19.304Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20001852000192.L3m_8D_NSST_sst_4km,21.449934005737305,,Unspecified,2000-07-03T00:00:00.000Z,2000-07-10T11:20:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651349889-PODAAC,T20001932000200.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:44:01Z,2017-09-01T20:32:59.014Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20001932000200.L3m_8D_NSST_sst_4km,21.567439079284668,,Unspecified,2000-07-11T00:00:00.000Z,2000-07-18T11:50:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651349982-PODAAC,T20002012000208.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:44:15Z,2017-09-01T20:05:00.841Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20002012000208.L3m_8D_NSST_sst_4km,21.8681583404541,,Unspecified,2000-07-19T00:00:00.000Z,2000-07-26T11:20:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651350347-PODAAC,T20002092000216.L3m_8D_NSST_sst_4km,PODAAC,1,2019-11-04T22:44:29Z,2017-09-01T17:33:37.127Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_4KM_NIGHTTIME_V2014.0,T20002092000216.L3m_8D_NSST_sst_4km,21.930806159973145,,Unspecified,2000-07-27T00:00:00.000Z,2000-08-03T11:50:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
