cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1651375429-PODAAC,T20000492000056.L3m_8D_SST_sst_9km,PODAAC,1,2019-11-04T23:23:05Z,2017-09-07T03:58:04.709Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_9KM_DAYTIME_V2014.0,T20000492000056.L3m_8D_SST_sst_9km,3.475543975830078,,Unspecified,2000-02-18T00:00:00.000Z,2000-02-26T00:00:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651374184-PODAAC,T20000572000064.L3m_8D_SST_sst_9km,PODAAC,1,2019-11-04T23:21:48Z,2017-09-01T19:05:41.181Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_9KM_DAYTIME_V2014.0,T20000572000064.L3m_8D_SST_sst_9km,6.783908843994141,,Unspecified,2000-02-26T00:00:00.000Z,2000-03-04T23:55:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651373891-PODAAC,T20000652000072.L3m_8D_SST_sst_9km,PODAAC,1,2019-11-04T23:21:35Z,2017-09-01T20:25:21.895Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_9KM_DAYTIME_V2014.0,T20000652000072.L3m_8D_SST_sst_9km,6.628829002380371,,Unspecified,2000-03-05T00:00:00.000Z,2000-03-13T00:00:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651374468-PODAAC,T20000732000080.L3m_8D_SST_sst_9km,PODAAC,1,2019-11-04T23:22:19Z,2017-09-01T21:46:56.829Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_9KM_DAYTIME_V2014.0,T20000732000080.L3m_8D_SST_sst_9km,6.562491416931152,,Unspecified,2000-03-13T00:00:00.000Z,2000-03-20T23:55:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651373866-PODAAC,T20000812000088.L3m_8D_SST_sst_9km,PODAAC,1,2019-11-04T23:21:31Z,2017-09-01T11:46:48.837Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_9KM_DAYTIME_V2014.0,T20000812000088.L3m_8D_SST_sst_9km,6.6298065185546875,,Unspecified,2000-03-21T00:00:00.000Z,2000-03-29T00:00:03.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651373820-PODAAC,T20000892000096.L3m_8D_SST_sst_9km,PODAAC,1,2019-11-04T23:21:25Z,2017-09-01T14:41:56.894Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_9KM_DAYTIME_V2014.0,T20000892000096.L3m_8D_SST_sst_9km,6.727121353149414,,Unspecified,2000-03-29T00:00:00.000Z,2000-04-05T23:55:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651374311-PODAAC,T20000972000104.L3m_8D_SST_sst_9km,PODAAC,1,2019-11-04T23:22:04Z,2017-09-01T17:39:14.165Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_9KM_DAYTIME_V2014.0,T20000972000104.L3m_8D_SST_sst_9km,6.734687805175781,,Unspecified,2000-04-06T00:00:00.000Z,2000-04-14T00:00:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651375475-PODAAC,T20001052000112.L3m_8D_SST_sst_9km,PODAAC,1,2019-11-04T23:23:06Z,2017-09-01T18:29:23.355Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_9KM_DAYTIME_V2014.0,T20001052000112.L3m_8D_SST_sst_9km,6.562735557556152,,Unspecified,2000-04-14T00:00:00.000Z,2000-04-21T23:30:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651374362-PODAAC,T20001132000120.L3m_8D_SST_sst_9km,PODAAC,1,2019-11-04T23:22:12Z,2017-09-01T17:11:58.826Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_9KM_DAYTIME_V2014.0,T20001132000120.L3m_8D_SST_sst_9km,13.982248306274414,,Unspecified,2000-04-22T00:00:00.000Z,2000-04-29T22:00:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651373898-PODAAC,T20001212000128.L3m_8D_SST_sst_9km,PODAAC,1,2019-11-04T23:21:37Z,2017-09-01T17:29:57.176Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_9KM_DAYTIME_V2014.0,T20001212000128.L3m_8D_SST_sst_9km,6.453402519226074,,Unspecified,2000-04-30T00:00:00.000Z,2000-05-07T23:30:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651374710-PODAAC,T20001292000136.L3m_8D_SST_sst_9km,PODAAC,1,2019-11-04T23:22:22Z,2017-09-01T22:29:06.983Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_9KM_DAYTIME_V2014.0,T20001292000136.L3m_8D_SST_sst_9km,6.472965240478516,,Unspecified,2000-05-08T00:00:00.000Z,2000-05-16T00:00:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651374399-PODAAC,T20001372000144.L3m_8D_SST_sst_9km,PODAAC,1,2019-11-04T23:22:15Z,2017-09-01T19:00:00.402Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_9KM_DAYTIME_V2014.0,T20001372000144.L3m_8D_SST_sst_9km,6.442770004272461,,Unspecified,2000-05-16T00:00:00.000Z,2000-05-23T23:30:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651374236-PODAAC,T20001452000152.L3m_8D_SST_sst_9km,PODAAC,1,2019-11-04T23:21:52Z,2017-09-01T11:40:57.781Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_9KM_DAYTIME_V2014.0,T20001452000152.L3m_8D_SST_sst_9km,6.38616943359375,,Unspecified,2000-05-24T00:00:00.000Z,2000-06-01T00:00:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651374414-PODAAC,T20001532000160.L3m_8D_SST_sst_9km,PODAAC,1,2019-11-04T23:22:16Z,2017-09-01T20:59:46.857Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_9KM_DAYTIME_V2014.0,T20001532000160.L3m_8D_SST_sst_9km,6.471247673034668,,Unspecified,2000-06-01T00:00:00.000Z,2000-06-08T23:30:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651373612-PODAAC,T20001612000168.L3m_8D_SST_sst_9km,PODAAC,1,2019-11-04T23:20:51Z,2017-09-01T11:40:43.827Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_9KM_DAYTIME_V2014.0,T20001612000168.L3m_8D_SST_sst_9km,6.396709442138672,,Unspecified,2000-06-09T00:00:00.000Z,2000-06-16T23:00:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651374257-PODAAC,T20001692000176.L3m_8D_SST_sst_9km,PODAAC,1,2019-11-04T23:21:56Z,2017-09-01T11:40:37.856Z,MODIS_TERRA_L3_SST_THERMAL_8DAY_9KM_DAYTIME_V2014.0,T20001692000176.L3m_8D_SST_sst_9km,6.485568046569824,,Unspecified,2000-06-17T00:00:00.000Z,2000-06-24T23:30:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
