cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1651220040-PODAAC,T20000012000366.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:59:12Z,2017-09-03T00:09:20.656Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20000012000366.L3m_YR_SST_sst_9km,7.587468147277832,,Unspecified,2000-01-01T00:00:00.000Z,2000-12-31T23:35:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651219965-PODAAC,T20010012001365.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:58:54Z,2017-09-03T00:07:27.048Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20010012001365.L3m_YR_SST_sst_9km,7.64070987701416,,Unspecified,2001-01-01T00:00:00.000Z,2001-12-31T23:25:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651220013-PODAAC,T20020012002365.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:59:08Z,2017-09-03T00:10:52.333Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20020012002365.L3m_YR_SST_sst_9km,7.686457633972168,,Unspecified,2002-01-01T00:00:00.000Z,2002-12-31T23:55:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651219995-PODAAC,T20030012003365.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:59:00Z,2017-09-02T23:27:32.348Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20030012003365.L3m_YR_SST_sst_9km,7.607544898986816,,Unspecified,2003-01-01T00:00:00.000Z,2004-01-01T00:00:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651220004-PODAAC,T20040012004366.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:59:04Z,2017-09-02T23:31:59.367Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20040012004366.L3m_YR_SST_sst_9km,7.60269832611084,,Unspecified,2004-01-01T00:00:00.000Z,2004-12-31T23:40:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651220007-PODAAC,T20050012005365.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:59:05Z,2017-09-02T23:29:38.156Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20050012005365.L3m_YR_SST_sst_9km,7.721535682678223,,Unspecified,2005-01-01T00:00:00.000Z,2005-12-31T23:40:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651220001-PODAAC,T20060012006365.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:59:03Z,2017-09-02T23:29:16.998Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20060012006365.L3m_YR_SST_sst_9km,7.696249961853027,,Unspecified,2006-01-01T00:00:00.000Z,2006-12-31T23:10:07.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651220029-PODAAC,T20070012007365.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:59:11Z,2017-09-03T00:07:56.350Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20070012007365.L3m_YR_SST_sst_9km,7.728757858276367,,Unspecified,2007-01-01T00:00:00.000Z,2007-12-31T23:45:06.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651219992-PODAAC,T20080012008366.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:58:59Z,2017-09-02T23:32:04.746Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20080012008366.L3m_YR_SST_sst_9km,7.65669059753418,,Unspecified,2008-01-01T00:00:00.000Z,2008-12-31T23:55:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651219980-PODAAC,T20090012009365.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:58:57Z,2017-09-02T23:28:46.584Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20090012009365.L3m_YR_SST_sst_9km,7.671547889709473,,Unspecified,2009-01-01T00:00:00.000Z,2010-01-01T00:00:07.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651219966-PODAAC,T20100012010365.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:58:55Z,2017-09-03T00:11:31.722Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20100012010365.L3m_YR_SST_sst_9km,7.880115509033203,,Unspecified,2010-01-01T00:00:00.000Z,2010-12-31T23:30:07.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651220010-PODAAC,T20110012011365.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:59:07Z,2017-09-02T23:29:03.700Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20110012011365.L3m_YR_SST_sst_9km,7.78404426574707,,Unspecified,2011-01-01T00:00:00.000Z,2012-01-01T00:00:07.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651219969-PODAAC,T20120012012366.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:58:56Z,2017-09-02T23:31:25.477Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20120012012366.L3m_YR_SST_sst_9km,7.73561954498291,,Unspecified,2012-01-01T00:00:00.000Z,2012-12-31T23:10:07.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651219998-PODAAC,T20130012013365.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:59:01Z,2017-09-02T23:30:13.725Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20130012013365.L3m_YR_SST_sst_9km,7.667553901672363,,Unspecified,2013-01-01T00:00:00.000Z,2013-12-31T23:45:07.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651220016-PODAAC,T20140012014365.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:59:09Z,2017-09-02T23:28:14.261Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20140012014365.L3m_YR_SST_sst_9km,7.725889205932617,,Unspecified,2014-01-01T00:00:00.000Z,2014-12-31T23:50:08.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651219962-PODAAC,T20150012015365.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:58:52Z,2017-09-03T00:09:34.185Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20150012015365.L3m_YR_SST_sst_9km,7.667050361633301,,Unspecified,2015-01-01T00:00:00.000Z,2015-12-31T23:20:08.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651219955-PODAAC,T20160012016366.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:58:49Z,2019-08-12T00:46:27.687Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20160012016366.L3m_YR_SST_sst_9km,7.787942886352539,,Unspecified,2016-01-01T00:00:00.000Z,2016-12-31T23:30:08.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651220043-PODAAC,T20170012017365.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:59:14Z,2018-01-25T00:20:41.738Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20170012017365.L3m_YR_SST_sst_9km,7.6698760986328125,,Unspecified,2017-01-01T00:00:00.000Z,2017-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651219958-PODAAC,T20180012018365.L3m_YR_SST_sst_9km,PODAAC,1,2019-11-04T18:58:51Z,2019-01-26T05:40:30.562Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_DAYTIME_V2014.0,T20180012018365.L3m_YR_SST_sst_9km,7.708898544311523,,Unspecified,2018-01-01T00:00:00.000Z,2018-12-31T23:34:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
