cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1651220151-PODAAC,T20000012000366.L3m_YR_NSST_sst_9km,PODAAC,1,2019-11-04T18:59:43Z,2017-09-02T23:28:00.693Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_NIGHTTIME_V2014.0,T20000012000366.L3m_YR_NSST_sst_9km,7.333123207092285,,Unspecified,2000-01-01T00:00:00.000Z,2000-12-31T11:45:03.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651220101-PODAAC,T20010012001365.L3m_YR_NSST_sst_9km,PODAAC,1,2019-11-04T18:59:39Z,2017-09-03T00:07:09.352Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_NIGHTTIME_V2014.0,T20010012001365.L3m_YR_NSST_sst_9km,7.388710021972656,,Unspecified,2001-01-01T00:00:00.000Z,2001-12-31T12:00:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651220099-PODAAC,T20020012002365.L3m_YR_NSST_sst_9km,PODAAC,1,2019-11-04T18:59:38Z,2017-09-02T23:30:42.874Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_NIGHTTIME_V2014.0,T20020012002365.L3m_YR_NSST_sst_9km,7.448948860168457,,Unspecified,2002-01-01T00:00:00.000Z,2002-12-31T11:40:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651220076-PODAAC,T20030012003365.L3m_YR_NSST_sst_9km,PODAAC,1,2019-11-04T18:59:27Z,2017-09-03T00:09:23.892Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_NIGHTTIME_V2014.0,T20030012003365.L3m_YR_NSST_sst_9km,7.406859397888184,,Unspecified,2003-01-01T00:00:00.000Z,2003-12-31T11:40:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651220117-PODAAC,T20040012004366.L3m_YR_NSST_sst_9km,PODAAC,1,2019-11-04T18:59:42Z,2017-09-03T00:09:38.873Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_NIGHTTIME_V2014.0,T20040012004366.L3m_YR_NSST_sst_9km,7.387068748474121,,Unspecified,2004-01-01T00:00:00.000Z,2004-12-31T11:50:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651220089-PODAAC,T20050012005365.L3m_YR_NSST_sst_9km,PODAAC,1,2019-11-04T18:59:34Z,2017-09-02T23:31:54.339Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_NIGHTTIME_V2014.0,T20050012005365.L3m_YR_NSST_sst_9km,7.471609115600586,,Unspecified,2005-01-01T00:00:00.000Z,2005-12-31T11:20:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651220073-PODAAC,T20060012006365.L3m_YR_NSST_sst_9km,PODAAC,1,2019-11-04T18:59:26Z,2017-09-03T00:10:14.081Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_NIGHTTIME_V2014.0,T20060012006365.L3m_YR_NSST_sst_9km,7.479856491088867,,Unspecified,2006-01-01T00:00:00.000Z,2006-12-31T11:55:06.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651220081-PODAAC,T20070012007365.L3m_YR_NSST_sst_9km,PODAAC,1,2019-11-04T18:59:30Z,2017-09-02T23:27:45.609Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_NIGHTTIME_V2014.0,T20070012007365.L3m_YR_NSST_sst_9km,7.520185470581055,,Unspecified,2007-01-01T00:00:00.000Z,2007-12-31T12:00:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651220093-PODAAC,T20080012008366.L3m_YR_NSST_sst_9km,PODAAC,1,2019-11-04T18:59:35Z,2017-09-02T23:31:40.617Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_NIGHTTIME_V2014.0,T20080012008366.L3m_YR_NSST_sst_9km,7.3837690353393555,,Unspecified,2008-01-01T00:00:00.000Z,2008-12-31T11:40:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651220070-PODAAC,T20090012009365.L3m_YR_NSST_sst_9km,PODAAC,1,2019-11-04T18:59:24Z,2017-09-03T00:11:09.851Z,MODIS_TERRA_L3_SST_THERMAL_ANNUAL_9KM_NIGHTTIME_V2014.0,T20090012009365.L3m_YR_NSST_sst_9km,7.408147811889648,,Unspecified,2009-01-01T00:00:00.000Z,2009-12-31T11:40:07.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
