cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1696508595-PODAAC,TERRA_MODIS.20000225.L3m.DAY.SST.sst.4km,PODAAC,1,2020-02-20T21:54:23Z,2020-02-19T11:11:19.021Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_4KM_DAYTIME_V2019.0,TERRA_MODIS.20000225.L3m.DAY.SST.sst.4km,8.349906921386719,,Unspecified,2000-02-25T00:00:00.000Z,2000-02-25T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1696556021-PODAAC,TERRA_MODIS.20000226.L3m.DAY.SST.sst.4km,PODAAC,1,2020-02-20T23:10:15Z,2020-02-19T09:24:07.135Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_4KM_DAYTIME_V2019.0,TERRA_MODIS.20000226.L3m.DAY.SST.sst.4km,11.458091735839844,,Unspecified,2000-02-26T00:00:00.000Z,2000-02-26T23:49:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1696548023-PODAAC,TERRA_MODIS.20000227.L3m.DAY.SST.sst.4km,PODAAC,1,2020-02-20T22:58:31Z,2020-02-19T11:18:56.933Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_4KM_DAYTIME_V2019.0,TERRA_MODIS.20000227.L3m.DAY.SST.sst.4km,10.945894241333008,,Unspecified,2000-02-27T00:00:00.000Z,2000-02-28T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1696532644-PODAAC,TERRA_MODIS.20000228.L3m.DAY.SST.sst.4km,PODAAC,1,2020-02-20T22:36:32Z,2020-02-19T12:15:01.092Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_4KM_DAYTIME_V2019.0,TERRA_MODIS.20000228.L3m.DAY.SST.sst.4km,10.147549629211426,,Unspecified,2000-02-28T00:00:00.000Z,2000-02-28T23:40:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1696538398-PODAAC,TERRA_MODIS.20000302.L3m.DAY.SST.sst.4km,PODAAC,1,2020-02-20T22:42:42Z,2020-02-19T11:36:28.963Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_4KM_DAYTIME_V2019.0,TERRA_MODIS.20000302.L3m.DAY.SST.sst.4km,10.998846054077148,,Unspecified,2000-03-02T00:00:00.000Z,2000-03-02T23:39:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1696545432-PODAAC,TERRA_MODIS.20000303.L3m.DAY.SST.sst.4km,PODAAC,1,2020-02-20T22:55:17Z,2020-02-19T10:26:07.333Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_4KM_DAYTIME_V2019.0,TERRA_MODIS.20000303.L3m.DAY.SST.sst.4km,11.27825927734375,,Unspecified,2000-03-03T00:00:00.000Z,2000-03-03T23:14:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1696518539-PODAAC,TERRA_MODIS.20000304.L3m.DAY.SST.sst.4km,PODAAC,1,2020-02-20T22:11:35Z,2020-02-19T13:39:59.545Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_4KM_DAYTIME_V2019.0,TERRA_MODIS.20000304.L3m.DAY.SST.sst.4km,11.431902885437012,,Unspecified,2000-03-04T00:00:00.000Z,2000-03-04T23:54:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1696520252-PODAAC,TERRA_MODIS.20000308.L3m.DAY.SST.sst.4km,PODAAC,1,2020-02-20T22:15:05Z,2020-02-19T10:14:17.548Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_4KM_DAYTIME_V2019.0,TERRA_MODIS.20000308.L3m.DAY.SST.sst.4km,10.511329650878906,,Unspecified,2000-03-08T00:00:00.000Z,2000-03-08T23:29:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1696517824-PODAAC,TERRA_MODIS.20000310.L3m.DAY.SST.sst.4km,PODAAC,1,2020-02-20T22:10:17Z,2020-02-19T09:18:48.378Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_4KM_DAYTIME_V2019.0,TERRA_MODIS.20000310.L3m.DAY.SST.sst.4km,10.395956993103027,,Unspecified,2000-03-10T00:00:00.000Z,2000-03-10T23:19:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1696548034-PODAAC,TERRA_MODIS.20000311.L3m.DAY.SST.sst.4km,PODAAC,1,2020-02-20T22:58:33Z,2020-02-19T11:23:28.699Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_4KM_DAYTIME_V2019.0,TERRA_MODIS.20000311.L3m.DAY.SST.sst.4km,11.210905075073242,,Unspecified,2000-03-11T00:00:00.000Z,2000-03-11T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
