cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1652383463-PODAAC,T2000056.L3m_DAY_NSST_sst_9km,PODAAC,1,2019-11-05T17:29:06Z,2017-09-01T18:23:52.920Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2014.0,T2000056.L3m_DAY_NSST_sst_9km,3.2633237838745117,,Unspecified,2000-02-25T00:00:00.000Z,2000-02-25T10:45:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652394213-PODAAC,T2000057.L3m_DAY_NSST_sst_9km,PODAAC,1,2019-11-05T17:38:38Z,2019-08-11T22:27:50.660Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2014.0,T2000057.L3m_DAY_NSST_sst_9km,4.293430328369141,,Unspecified,2000-02-26T00:00:00.000Z,2000-02-26T11:30:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652380679-PODAAC,T2000058.L3m_DAY_NSST_sst_9km,PODAAC,1,2019-11-05T17:27:38Z,2017-09-01T05:52:24.214Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2014.0,T2000058.L3m_DAY_NSST_sst_9km,4.539702415466309,,Unspecified,2000-02-27T00:00:00.000Z,2000-02-27T11:40:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652391401-PODAAC,T2000059.L3m_DAY_NSST_sst_9km,PODAAC,1,2019-11-05T17:36:12Z,2017-09-01T05:43:34.323Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2014.0,T2000059.L3m_DAY_NSST_sst_9km,4.383180618286133,,Unspecified,2000-02-28T00:00:00.000Z,2000-02-28T11:15:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652387231-PODAAC,T2000060.L3m_DAY_NSST_sst_9km,PODAAC,1,2019-11-05T17:32:21Z,2019-08-11T22:27:24.468Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2014.0,T2000060.L3m_DAY_NSST_sst_9km,4.363430023193359,,Unspecified,2000-02-29T00:00:00.000Z,2000-02-29T12:00:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652388893-PODAAC,T2000061.L3m_DAY_NSST_sst_9km,PODAAC,1,2019-11-05T17:33:45Z,2017-09-01T21:50:08.299Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2014.0,T2000061.L3m_DAY_NSST_sst_9km,4.555335998535156,,Unspecified,2000-03-01T00:00:00.000Z,2000-03-01T12:00:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652381837-PODAAC,T2000062.L3m_DAY_NSST_sst_9km,PODAAC,1,2019-11-05T17:27:56Z,2017-09-01T05:39:44.742Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2014.0,T2000062.L3m_DAY_NSST_sst_9km,3.9920654296875,,Unspecified,2000-03-02T00:00:00.000Z,2000-03-02T11:50:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652392692-PODAAC,T2000063.L3m_DAY_NSST_sst_9km,PODAAC,1,2019-11-05T17:37:24Z,2017-09-01T05:43:15.621Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2014.0,T2000063.L3m_DAY_NSST_sst_9km,4.36082649230957,,Unspecified,2000-03-03T00:00:00.000Z,2000-03-03T11:55:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652387574-PODAAC,T2000064.L3m_DAY_NSST_sst_9km,PODAAC,1,2019-11-05T17:32:39Z,2017-09-01T05:39:57.694Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2014.0,T2000064.L3m_DAY_NSST_sst_9km,4.584514617919922,,Unspecified,2000-03-04T00:00:00.000Z,2000-03-04T11:35:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1652390260-PODAAC,T2000065.L3m_DAY_NSST_sst_9km,PODAAC,1,2019-11-05T17:34:59Z,2017-09-04T20:35:41.371Z,MODIS_TERRA_L3_SST_THERMAL_DAILY_9KM_NIGHTTIME_V2014.0,T2000065.L3m_DAY_NSST_sst_9km,4.572152137756348,,Unspecified,2000-03-05T00:00:00.000Z,2000-03-05T11:45:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
