cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1689009904-PODAAC,TERRA_MODIS.20000301_20000331.L3m.MO.SST.sst.9km,PODAAC,1,2020-02-05T13:14:08Z,2020-02-04T16:38:13.973Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,TERRA_MODIS.20000301_20000331.L3m.MO.SST.sst.9km,7.429886817932129,,Unspecified,2000-03-01T00:00:00.000Z,2000-03-31T23:39:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1689012939-PODAAC,TERRA_MODIS.20000401_20000430.L3m.MO.SST.sst.9km,PODAAC,1,2020-02-05T13:18:48Z,2020-02-04T17:29:05.810Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,TERRA_MODIS.20000401_20000430.L3m.MO.SST.sst.9km,7.364190101623535,,Unspecified,2000-04-01T00:00:00.000Z,2000-04-30T23:24:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1689009998-PODAAC,TERRA_MODIS.20000501_20000531.L3m.MO.SST.sst.9km,PODAAC,1,2020-02-05T13:14:19Z,2020-02-04T17:22:50.439Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,TERRA_MODIS.20000501_20000531.L3m.MO.SST.sst.9km,7.44767951965332,,Unspecified,2000-05-01T00:00:00.000Z,2000-05-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1689010478-PODAAC,TERRA_MODIS.20000601_20000630.L3m.MO.SST.sst.9km,PODAAC,1,2020-02-05T13:15:15Z,2020-02-04T18:30:16.929Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,TERRA_MODIS.20000601_20000630.L3m.MO.SST.sst.9km,7.856170654296875,,Unspecified,2000-06-01T00:00:00.000Z,2000-06-30T23:14:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1689012492-PODAAC,TERRA_MODIS.20000701_20000731.L3m.MO.SST.sst.9km,PODAAC,1,2020-02-05T13:17:59Z,2020-02-04T17:10:14.660Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,TERRA_MODIS.20000701_20000731.L3m.MO.SST.sst.9km,8.028141021728516,,Unspecified,2000-07-01T00:00:00.000Z,2000-07-31T23:45:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1689012300-PODAAC,TERRA_MODIS.20000801_20000831.L3m.MO.SST.sst.9km,PODAAC,1,2020-02-05T13:17:39Z,2020-02-04T16:56:28.414Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,TERRA_MODIS.20000801_20000831.L3m.MO.SST.sst.9km,8.039761543273926,,Unspecified,2000-08-01T00:00:00.000Z,2000-08-31T23:30:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1689013038-PODAAC,TERRA_MODIS.20000901_20000930.L3m.MO.SST.sst.9km,PODAAC,1,2020-02-05T13:19:01Z,2020-02-04T18:01:37.952Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,TERRA_MODIS.20000901_20000930.L3m.MO.SST.sst.9km,7.636087417602539,,Unspecified,2000-09-01T00:00:00.000Z,2000-09-30T23:45:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1689009951-PODAAC,TERRA_MODIS.20001001_20001031.L3m.MO.SST.sst.9km,PODAAC,1,2020-02-05T13:14:14Z,2020-02-04T16:44:16.354Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,TERRA_MODIS.20001001_20001031.L3m.MO.SST.sst.9km,7.516900062561035,,Unspecified,2000-10-01T00:00:00.000Z,2000-11-01T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1689011461-PODAAC,TERRA_MODIS.20001101_20001130.L3m.MO.SST.sst.9km,PODAAC,1,2020-02-05T13:16:06Z,2020-02-04T16:42:51.749Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,TERRA_MODIS.20001101_20001130.L3m.MO.SST.sst.9km,7.415255546569824,,Unspecified,2000-11-01T00:00:00.000Z,2000-11-30T23:10:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1689010691-PODAAC,TERRA_MODIS.20001201_20001231.L3m.MO.SST.sst.9km,PODAAC,1,2020-02-05T13:15:34Z,2020-02-04T18:35:24.428Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_DAYTIME_V2019.0,TERRA_MODIS.20001201_20001231.L3m.MO.SST.sst.9km,7.513723373413086,,Unspecified,2000-12-01T00:00:00.000Z,2000-12-31T23:35:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
