cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1654703905-PODAAC,T20000322000060.L3m_MO_NSST_sst_9km.nc,PODAAC,3,2019-11-14T12:59:37Z,2019-11-13T20:38:19.848Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_NIGHTTIME_V2014.0,T20000322000060.L3m_MO_NSST_sst_9km.nc,6.950498580932617,,Unspecified,2000-02-24T10:45:05.000Z,2000-02-29T12:00:04.000Z,-89.958,89.958,-179.958,179.958,"POLYGON ((179.958 -89.958, 179.958 89.958, -179.958 89.958, -179.958 -89.958, 179.958 -89.958))"
granule,G1651239721-PODAAC,T20000612000091.L3m_MO_NSST_sst_9km,PODAAC,1,2019-11-04T19:49:18Z,2017-09-08T00:41:27.233Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_NIGHTTIME_V2014.0,T20000612000091.L3m_MO_NSST_sst_9km,6.973523139953613,,Unspecified,2000-03-01T00:00:00.000Z,2000-03-31T11:15:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651239636-PODAAC,T20000922000121.L3m_MO_NSST_sst_9km,PODAAC,1,2019-11-04T19:49:12Z,2017-09-07T23:19:02.377Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_NIGHTTIME_V2014.0,T20000922000121.L3m_MO_NSST_sst_9km,6.941115379333496,,Unspecified,2000-04-01T00:00:00.000Z,2000-04-30T11:25:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651239688-PODAAC,T20001222000152.L3m_MO_NSST_sst_9km,PODAAC,1,2019-11-04T19:49:16Z,2017-09-08T01:24:31.704Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_NIGHTTIME_V2014.0,T20001222000152.L3m_MO_NSST_sst_9km,6.940155982971191,,Unspecified,2000-05-01T00:00:00.000Z,2000-05-31T10:40:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651239652-PODAAC,T20001532000182.L3m_MO_NSST_sst_9km,PODAAC,1,2019-11-04T19:49:13Z,2017-09-07T21:56:33.400Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_NIGHTTIME_V2014.0,T20001532000182.L3m_MO_NSST_sst_9km,6.832465171813965,,Unspecified,2000-06-01T00:00:00.000Z,2000-06-30T12:00:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651239736-PODAAC,T20001832000213.L3m_MO_NSST_sst_9km,PODAAC,1,2019-11-04T19:49:20Z,2017-09-07T22:10:58.172Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_NIGHTTIME_V2014.0,T20001832000213.L3m_MO_NSST_sst_9km,6.775599479675293,,Unspecified,2000-07-01T00:00:00.000Z,2000-07-31T11:30:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651243731-PODAAC,T20002142000244.L3m_MO_NSST_sst_9km,PODAAC,1,2019-11-04T19:53:40Z,2017-09-08T01:18:17.011Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_NIGHTTIME_V2014.0,T20002142000244.L3m_MO_NSST_sst_9km,7.232522010803223,,Unspecified,2000-08-01T00:00:00.000Z,2000-08-31T12:00:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651239513-PODAAC,T20002452000274.L3m_MO_NSST_sst_9km,PODAAC,1,2019-11-04T19:49:04Z,2017-09-07T21:45:14.106Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_NIGHTTIME_V2014.0,T20002452000274.L3m_MO_NSST_sst_9km,6.9936113357543945,,Unspecified,2000-09-01T00:00:00.000Z,2000-09-30T11:20:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651243764-PODAAC,T20002752000305.L3m_MO_NSST_sst_9km,PODAAC,1,2019-11-04T19:53:42Z,2017-09-07T23:33:00.655Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_NIGHTTIME_V2014.0,T20002752000305.L3m_MO_NSST_sst_9km,6.9658708572387695,,Unspecified,2000-10-01T00:00:00.000Z,2000-10-31T11:45:05.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1651239617-PODAAC,T20003062000335.L3m_MO_NSST_sst_9km,PODAAC,1,2019-11-04T19:49:10Z,2017-09-07T23:29:48.107Z,MODIS_TERRA_L3_SST_THERMAL_MONTHLY_9KM_NIGHTTIME_V2014.0,T20003062000335.L3m_MO_NSST_sst_9km,6.865754127502441,,Unspecified,2000-11-01T00:00:00.000Z,2000-11-30T11:55:04.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
