cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1713092232-LANCEMODIS,LANCEMODIS:980671036,LANCEMODIS,1,2020-03-29T23:23:22Z,2020-03-29T23:22:57.688Z,MYD00F,LANCEMODIS:980671036,0.0003662109375,,Unspecified,2020-03-29T22:10:00.000Z,2020-03-29T22:15:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092233-LANCEMODIS,LANCEMODIS:980671038,LANCEMODIS,1,2020-03-29T23:23:22Z,2020-03-29T23:22:57.688Z,MYD00F,LANCEMODIS:980671038,112.617050170898,,Unspecified,2020-03-29T22:10:00.000Z,2020-03-29T22:15:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092266-LANCEMODIS,LANCEMODIS:980671076,LANCEMODIS,1,2020-03-29T23:23:45Z,2020-03-29T23:23:27.929Z,MYD00F,LANCEMODIS:980671076,0.0003662109375,,Unspecified,2020-03-29T22:15:00.000Z,2020-03-29T22:20:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092267-LANCEMODIS,LANCEMODIS:980671078,LANCEMODIS,1,2020-03-29T23:23:45Z,2020-03-29T23:23:27.929Z,MYD00F,LANCEMODIS:980671078,176.754547119141,,Unspecified,2020-03-29T22:15:00.000Z,2020-03-29T22:20:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092236-LANCEMODIS,LANCEMODIS:980671044,LANCEMODIS,1,2020-03-29T23:23:23Z,2020-03-29T23:23:14.298Z,MYD00F,LANCEMODIS:980671044,0.0003662109375,,Unspecified,2020-03-29T22:20:00.000Z,2020-03-29T22:25:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092237-LANCEMODIS,LANCEMODIS:980671046,LANCEMODIS,1,2020-03-29T23:23:23Z,2020-03-29T23:23:14.298Z,MYD00F,LANCEMODIS:980671046,376.842910766602,,Unspecified,2020-03-29T22:20:00.000Z,2020-03-29T22:25:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092242-LANCEMODIS,LANCEMODIS:980671056,LANCEMODIS,1,2020-03-29T23:23:23Z,2020-03-29T23:23:16.252Z,MYD00F,LANCEMODIS:980671056,0.0003662109375,,Unspecified,2020-03-29T22:25:00.000Z,2020-03-29T22:30:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092243-LANCEMODIS,LANCEMODIS:980671058,LANCEMODIS,1,2020-03-29T23:23:23Z,2020-03-29T23:23:16.252Z,MYD00F,LANCEMODIS:980671058,376.842910766602,,Unspecified,2020-03-29T22:25:00.000Z,2020-03-29T22:30:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092280-LANCEMODIS,LANCEMODIS:980671109,LANCEMODIS,1,2020-03-29T23:24:06Z,2020-03-29T23:23:58.635Z,MYD00F,LANCEMODIS:980671109,0.0003662109375,,Unspecified,2020-03-29T22:30:00.000Z,2020-03-29T22:35:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092281-LANCEMODIS,LANCEMODIS:980671111,LANCEMODIS,1,2020-03-29T23:24:06Z,2020-03-29T23:23:58.635Z,MYD00F,LANCEMODIS:980671111,376.842910766602,,Unspecified,2020-03-29T22:30:00.000Z,2020-03-29T22:35:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092276-LANCEMODIS,LANCEMODIS:980671097,LANCEMODIS,1,2020-03-29T23:24:05Z,2020-03-29T23:23:53.580Z,MYD00F,LANCEMODIS:980671097,0.0003662109375,,Unspecified,2020-03-29T22:35:00.000Z,2020-03-29T22:40:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092286-LANCEMODIS,LANCEMODIS:980671099,LANCEMODIS,1,2020-03-29T23:24:17Z,2020-03-29T23:23:53.580Z,MYD00F,LANCEMODIS:980671099,376.842910766602,,Unspecified,2020-03-29T22:35:00.000Z,2020-03-29T22:40:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092279-LANCEMODIS,LANCEMODIS:980671105,LANCEMODIS,1,2020-03-29T23:24:06Z,2020-03-29T23:23:58.619Z,MYD00F,LANCEMODIS:980671105,0.0003662109375,,Unspecified,2020-03-29T22:40:00.000Z,2020-03-29T22:45:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092285-LANCEMODIS,LANCEMODIS:980671107,LANCEMODIS,1,2020-03-29T23:24:17Z,2020-03-29T23:23:58.619Z,MYD00F,LANCEMODIS:980671107,376.842910766602,,Unspecified,2020-03-29T22:40:00.000Z,2020-03-29T22:45:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092274-LANCEMODIS,LANCEMODIS:980671093,LANCEMODIS,1,2020-03-29T23:24:05Z,2020-03-29T23:23:49.965Z,MYD00F,LANCEMODIS:980671093,0.0003662109375,,Unspecified,2020-03-29T22:45:00.000Z,2020-03-29T22:50:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092275-LANCEMODIS,LANCEMODIS:980671095,LANCEMODIS,1,2020-03-29T23:24:05Z,2020-03-29T23:23:49.965Z,MYD00F,LANCEMODIS:980671095,376.904136657715,,Unspecified,2020-03-29T22:45:00.000Z,2020-03-29T22:50:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092277-LANCEMODIS,LANCEMODIS:980671101,LANCEMODIS,1,2020-03-29T23:24:06Z,2020-03-29T23:23:56.423Z,MYD00F,LANCEMODIS:980671101,0.0003662109375,,Unspecified,2020-03-29T22:50:00.000Z,2020-03-29T22:55:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092278-LANCEMODIS,LANCEMODIS:980671103,LANCEMODIS,1,2020-03-29T23:24:06Z,2020-03-29T23:23:56.423Z,MYD00F,LANCEMODIS:980671103,376.855155944824,,Unspecified,2020-03-29T22:50:00.000Z,2020-03-29T22:55:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092282-LANCEMODIS,LANCEMODIS:980671113,LANCEMODIS,1,2020-03-29T23:24:06Z,2020-03-29T23:24:00.267Z,MYD00F,LANCEMODIS:980671113,0.0003662109375,,Unspecified,2020-03-29T22:55:00.000Z,2020-03-29T23:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092283-LANCEMODIS,LANCEMODIS:980671115,LANCEMODIS,1,2020-03-29T23:24:06Z,2020-03-29T23:24:00.267Z,MYD00F,LANCEMODIS:980671115,376.904136657715,,Unspecified,2020-03-29T22:55:00.000Z,2020-03-29T23:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713108335-LANCEMODIS,LANCEMODIS:980712307,LANCEMODIS,1,2020-03-30T01:17:07Z,2020-03-30T01:16:52.578Z,MYD00F,LANCEMODIS:980712307,0.0003662109375,,Unspecified,2020-03-29T23:00:00.000Z,2020-03-29T23:05:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
