cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1713093371-LANCEMODIS,LANCEMODIS:980674892,LANCEMODIS,1,2020-03-29T23:33:29Z,2020-03-29T23:33:08.308Z,MYD35_L2,LANCEMODIS:980674892,2.35346984863281,,Night,2020-03-29T22:10:00.000Z,2020-03-29T22:15:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713093392-LANCEMODIS,LANCEMODIS:980675203,LANCEMODIS,1,2020-03-29T23:33:51Z,2020-03-29T23:33:32.454Z,MYD35_L2,LANCEMODIS:980675203,3.52510452270508,,Both,2020-03-29T22:15:00.000Z,2020-03-29T22:20:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713093398-LANCEMODIS,LANCEMODIS:980675388,LANCEMODIS,1,2020-03-29T23:34:32Z,2020-03-29T23:34:02.652Z,MYD35_L2,LANCEMODIS:980675388,12.5466814041138,,Day,2020-03-29T22:20:00.000Z,2020-03-29T22:25:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713093034-LANCEMODIS,LANCEMODIS:980673332,LANCEMODIS,1,2020-03-29T23:29:54Z,2020-03-29T23:29:39.934Z,MYD35_L2,LANCEMODIS:980673332,12.5368461608887,,Day,2020-03-29T22:25:00.000Z,2020-03-29T22:30:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092972-LANCEMODIS,LANCEMODIS:980672708,LANCEMODIS,1,2020-03-29T23:28:07Z,2020-03-29T23:27:52.613Z,MYD35_L2,LANCEMODIS:980672708,12.4789266586304,,Day,2020-03-29T22:30:00.000Z,2020-03-29T22:35:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713092963-LANCEMODIS,LANCEMODIS:980672650,LANCEMODIS,1,2020-03-29T23:28:06Z,2020-03-29T23:27:45.392Z,MYD35_L2,LANCEMODIS:980672650,13.8513174057007,,Day,2020-03-29T22:35:00.000Z,2020-03-29T22:40:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713106622-LANCEMODIS,LANCEMODIS:980710989,LANCEMODIS,1,2020-03-30T01:06:35Z,2020-03-30T01:06:18.670Z,MYD35_L2,LANCEMODIS:980710989,12.6192455291748,,Day,2020-03-29T22:40:00.000Z,2020-03-29T22:45:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713106619-LANCEMODIS,LANCEMODIS:980710976,LANCEMODIS,1,2020-03-30T01:06:35Z,2020-03-30T01:06:16.018Z,MYD35_L2,LANCEMODIS:980710976,12.3459014892578,,Day,2020-03-29T22:45:00.000Z,2020-03-29T22:50:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713108667-LANCEMODIS,LANCEMODIS:980713654,LANCEMODIS,1,2020-03-30T01:21:05Z,2020-03-30T01:20:58.866Z,MYD35_L2,LANCEMODIS:980713654,12.0712862014771,,Day,2020-03-29T22:50:00.000Z,2020-03-29T22:55:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1713108731-LANCEMODIS,LANCEMODIS:980714192,LANCEMODIS,1,2020-03-30T01:21:49Z,2020-03-30T01:21:37.065Z,MYD35_L2,LANCEMODIS:980714192,12.7868957519531,,Day,2020-03-29T22:55:00.000Z,2020-03-29T23:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
