cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1714621374-LANCEMODIS,LANCEMODIS:981806353,LANCEMODIS,1,2020-03-31T16:30:20Z,2020-03-31T16:29:54.686Z,MYDTBGD,LANCEMODIS:981806353,2.19183254241943,,Unspecified,2020-03-30T00:00:00.000Z,2020-03-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1714622615-LANCEMODIS,LANCEMODIS:981806501,LANCEMODIS,1,2020-03-31T16:30:45Z,2020-03-31T16:30:17.536Z,MYDTBGD,LANCEMODIS:981806501,2.79722881317139,,Unspecified,2020-03-30T00:00:00.000Z,2020-03-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1714622785-LANCEMODIS,LANCEMODIS:981806591,LANCEMODIS,1,2020-03-31T16:30:47Z,2020-03-31T16:30:23.016Z,MYDTBGD,LANCEMODIS:981806591,2.774582862854,,Unspecified,2020-03-30T00:00:00.000Z,2020-03-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1714623621-LANCEMODIS,LANCEMODIS:981806733,LANCEMODIS,1,2020-03-31T16:31:03Z,2020-03-31T16:30:37.005Z,MYDTBGD,LANCEMODIS:981806733,7.04128265380859,,Unspecified,2020-03-30T00:00:00.000Z,2020-03-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1714623724-LANCEMODIS,LANCEMODIS:981806855,LANCEMODIS,1,2020-03-31T16:31:05Z,2020-03-31T16:30:38.797Z,MYDTBGD,LANCEMODIS:981806855,4.80274868011475,,Unspecified,2020-03-30T00:00:00.000Z,2020-03-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1714623817-LANCEMODIS,LANCEMODIS:981806918,LANCEMODIS,1,2020-03-31T16:31:06Z,2020-03-31T16:30:45.260Z,MYDTBGD,LANCEMODIS:981806918,4.98338508605957,,Unspecified,2020-03-30T00:00:00.000Z,2020-03-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1714623866-LANCEMODIS,LANCEMODIS:981808600,LANCEMODIS,1,2020-03-31T16:31:07Z,2020-03-31T16:30:49.570Z,MYDTBGD,LANCEMODIS:981808600,2.45139122009277,,Unspecified,2020-03-30T00:00:00.000Z,2020-03-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1714623971-LANCEMODIS,LANCEMODIS:981808675,LANCEMODIS,1,2020-03-31T16:31:09Z,2020-03-31T16:30:56.102Z,MYDTBGD,LANCEMODIS:981808675,3.19967937469482,,Unspecified,2020-03-30T00:00:00.000Z,2020-03-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1714625050-LANCEMODIS,LANCEMODIS:981808741,LANCEMODIS,1,2020-03-31T16:31:30Z,2020-03-31T16:31:04.755Z,MYDTBGD,LANCEMODIS:981808741,3.03399848937988,,Unspecified,2020-03-30T00:00:00.000Z,2020-03-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1714625076-LANCEMODIS,LANCEMODIS:981808788,LANCEMODIS,1,2020-03-31T16:31:31Z,2020-03-31T16:31:13.877Z,MYDTBGD,LANCEMODIS:981808788,5.57136726379395,,Unspecified,2020-03-30T00:00:00.000Z,2020-03-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
