cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1649091604-LAADS,LAADS:4352466990,LAADS,1,2019-10-30T07:39:58Z,2018-12-18T04:45:08.896Z,S3B_SL_1_RBT,LAADS:4352466990,443.164672851562,,Both,2018-11-17T16:29:49.000Z,2018-11-17T16:32:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649091602-LAADS,LAADS:4352466988,LAADS,1,2019-10-30T07:39:58Z,2018-12-18T04:45:02.537Z,S3B_SL_1_RBT,LAADS:4352466988,480.974702835083,,Both,2018-11-17T16:32:49.000Z,2018-11-17T16:35:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089503-LAADS,LAADS:4351877299,LAADS,1,2019-10-30T07:37:43Z,2018-12-17T15:32:55.722Z,S3B_SL_1_RBT,LAADS:4351877299,494.121505737305,,Both,2018-11-17T16:35:49.000Z,2018-11-17T16:38:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649091614-LAADS,LAADS:4352467612,LAADS,1,2019-10-30T07:39:58Z,2018-12-18T04:45:43.691Z,S3B_SL_1_RBT,LAADS:4352467612,505.986095428467,,Both,2018-11-17T16:38:49.000Z,2018-11-17T16:41:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089500-LAADS,LAADS:4351877257,LAADS,1,2019-10-30T07:37:43Z,2018-12-17T15:32:30.555Z,S3B_SL_1_RBT,LAADS:4351877257,525.344295501709,,Both,2018-11-17T16:41:49.000Z,2018-11-17T16:44:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089509-LAADS,LAADS:4351877501,LAADS,1,2019-10-30T07:37:44Z,2018-12-17T15:33:01.999Z,S3B_SL_1_RBT,LAADS:4351877501,536.119327545166,,Both,2018-11-17T16:44:49.000Z,2018-11-17T16:47:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089501-LAADS,LAADS:4351877297,LAADS,1,2019-10-30T07:37:43Z,2018-12-17T15:32:55.458Z,S3B_SL_1_RBT,LAADS:4351877297,546.978372573853,,Both,2018-11-17T16:47:49.000Z,2018-11-17T16:50:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089508-LAADS,LAADS:4351877502,LAADS,1,2019-10-30T07:37:44Z,2018-12-17T15:33:02.002Z,S3B_SL_1_RBT,LAADS:4351877502,550.406910896301,,Both,2018-11-17T16:50:49.000Z,2018-11-17T16:53:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649091611-LAADS,LAADS:4352467611,LAADS,1,2019-10-30T07:39:58Z,2018-12-18T04:45:43.082Z,S3B_SL_1_RBT,LAADS:4352467611,551.452793121338,,Both,2018-11-17T16:53:49.000Z,2018-11-17T16:56:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089511-LAADS,LAADS:4351877503,LAADS,1,2019-10-30T07:37:45Z,2018-12-17T15:33:02.012Z,S3B_SL_1_RBT,LAADS:4351877503,492.378414154053,,Both,2018-11-17T16:56:49.000Z,2018-11-17T16:59:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649091610-LAADS,LAADS:4352467438,LAADS,1,2019-10-30T07:39:58Z,2018-12-18T04:45:34.603Z,S3B_SL_1_RBT,LAADS:4352467438,513.000080108643,,Both,2018-11-17T16:59:49.000Z,2018-11-17T17:02:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649091613-LAADS,LAADS:4352467437,LAADS,1,2019-10-30T07:39:58Z,2018-12-18T04:45:32.267Z,S3B_SL_1_RBT,LAADS:4352467437,514.26508140564,,Both,2018-11-17T17:02:49.000Z,2018-11-17T17:05:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089507-LAADS,LAADS:4351877504,LAADS,1,2019-10-30T07:37:44Z,2018-12-17T15:33:02.881Z,S3B_SL_1_RBT,LAADS:4351877504,517.930335044861,,Both,2018-11-17T17:05:49.000Z,2018-11-17T17:08:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649091615-LAADS,LAADS:4352467613,LAADS,1,2019-10-30T07:39:59Z,2018-12-18T04:45:51.497Z,S3B_SL_1_RBT,LAADS:4352467613,515.057587623596,,Both,2018-11-17T17:08:49.000Z,2018-11-17T17:11:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649091607-LAADS,LAADS:4352466991,LAADS,1,2019-10-30T07:39:58Z,2018-12-18T04:45:11.583Z,S3B_SL_1_RBT,LAADS:4352466991,519.0328540802,,Both,2018-11-17T17:11:49.000Z,2018-11-17T17:14:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089530-LAADS,LAADS:4351877965,LAADS,1,2019-10-30T07:37:46Z,2018-12-17T15:33:48.012Z,S3B_SL_1_RBT,LAADS:4351877965,531.502462387085,,Both,2018-11-17T17:14:49.000Z,2018-11-17T17:17:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089527-LAADS,LAADS:4351877888,LAADS,1,2019-10-30T07:37:45Z,2018-12-17T15:33:37.223Z,S3B_SL_1_RBT,LAADS:4351877888,536.075981140137,,Both,2018-11-17T17:17:49.000Z,2018-11-17T17:20:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089529-LAADS,LAADS:4351877963,LAADS,1,2019-10-30T07:37:46Z,2018-12-17T15:33:42.046Z,S3B_SL_1_RBT,LAADS:4351877963,529.874147415161,,Both,2018-11-17T17:20:49.000Z,2018-11-17T17:23:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089518-LAADS,LAADS:4351877679,LAADS,1,2019-10-30T07:37:45Z,2018-12-17T15:33:19.457Z,S3B_SL_1_RBT,LAADS:4351877679,535.94452381134,,Both,2018-11-17T17:23:49.000Z,2018-11-17T17:26:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089524-LAADS,LAADS:4351877685,LAADS,1,2019-10-30T07:37:45Z,2018-12-17T15:33:28.571Z,S3B_SL_1_RBT,LAADS:4351877685,525.105172157288,,Both,2018-11-17T17:26:49.000Z,2018-11-17T17:29:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089525-LAADS,LAADS:4351877887,LAADS,1,2019-10-30T07:37:45Z,2018-12-17T15:33:37.199Z,S3B_SL_1_RBT,LAADS:4351877887,510.832023620605,,Both,2018-11-17T17:29:49.000Z,2018-11-17T17:32:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089517-LAADS,LAADS:4351877678,LAADS,1,2019-10-30T07:37:45Z,2018-12-17T15:33:15.701Z,S3B_SL_1_RBT,LAADS:4351877678,490.594422340393,,Both,2018-11-17T17:32:49.000Z,2018-11-17T17:35:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089512-LAADS,LAADS:4351877674,LAADS,1,2019-10-30T07:37:45Z,2018-12-17T15:33:06.574Z,S3B_SL_1_RBT,LAADS:4351877674,479.003633499146,,Both,2018-11-17T17:35:49.000Z,2018-11-17T17:38:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089526-LAADS,LAADS:4351877886,LAADS,1,2019-10-30T07:37:45Z,2018-12-17T15:33:37.198Z,S3B_SL_1_RBT,LAADS:4351877886,439.075263977051,,Both,2018-11-17T17:38:49.000Z,2018-11-17T17:41:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089513-LAADS,LAADS:4351877676,LAADS,1,2019-10-30T07:37:45Z,2018-12-17T15:33:13.517Z,S3B_SL_1_RBT,LAADS:4351877676,408.571575164795,,Both,2018-11-17T17:41:49.000Z,2018-11-17T17:44:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1649089514-LAADS,LAADS:4351877675,LAADS,1,2019-10-30T07:37:45Z,2018-12-17T15:33:08.601Z,S3B_SL_1_RBT,LAADS:4351877675,403.165232658386,,Both,2018-11-17T17:44:49.000Z,2018-11-17T17:47:49.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
