cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1653702894-PODAAC,20171215000000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,PODAAC,4,2019-11-18T20:00:37Z,2019-05-22T18:37:18.932Z,ABI_G16-STAR-L2P-v2.70,20171215000000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,45.3432731628418,,Unspecified,2017-12-15T00:00:41.000Z,2017-12-15T00:11:18.000Z,-81.149,81.147,-156.195,6.199,"POLYGON ((6.199 -81.149, 6.199 81.14700000000001, -156.195 81.14700000000001, -156.195 -81.149, 6.199 -81.149))"
granule,G1653677737-PODAAC,20171215010000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,PODAAC,3,2019-11-18T19:06:46Z,2019-05-22T18:11:35.183Z,ABI_G16-STAR-L2P-v2.70,20171215010000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,44.680349349975586,,Unspecified,2017-12-15T01:00:41.000Z,2017-12-15T01:11:18.000Z,-81.149,81.147,-156.195,6.199,"POLYGON ((6.199 -81.149, 6.199 81.14700000000001, -156.195 81.14700000000001, -156.195 -81.149, 6.199 -81.149))"
granule,G1653675673-PODAAC,20171215020000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,PODAAC,3,2019-11-18T19:02:40Z,2019-05-22T17:56:52.781Z,ABI_G16-STAR-L2P-v2.70,20171215020000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,43.93567180633545,,Unspecified,2017-12-15T02:00:41.000Z,2017-12-15T02:11:18.000Z,-81.149,81.147,-156.195,6.199,"POLYGON ((6.199 -81.149, 6.199 81.14700000000001, -156.195 81.14700000000001, -156.195 -81.149, 6.199 -81.149))"
granule,G1653706820-PODAAC,20171215030000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,PODAAC,4,2019-11-18T20:07:33Z,2019-05-22T18:52:41.340Z,ABI_G16-STAR-L2P-v2.70,20171215030000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,43.20429515838623,,Unspecified,2017-12-15T03:00:41.000Z,2017-12-15T03:11:18.000Z,-81.149,81.147,-156.195,6.199,"POLYGON ((6.199 -81.149, 6.199 81.14700000000001, -156.195 81.14700000000001, -156.195 -81.149, 6.199 -81.149))"
granule,G1653702911-PODAAC,20171215040000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,PODAAC,4,2019-11-18T20:00:49Z,2019-05-22T18:41:50.608Z,ABI_G16-STAR-L2P-v2.70,20171215040000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,42.40749549865723,,Unspecified,2017-12-15T04:00:41.000Z,2017-12-15T04:11:18.000Z,-81.149,81.147,-156.195,6.199,"POLYGON ((6.199 -81.149, 6.199 81.14700000000001, -156.195 81.14700000000001, -156.195 -81.149, 6.199 -81.149))"
granule,G1653683698-PODAAC,20171215050000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,PODAAC,3,2019-11-18T19:17:38Z,2019-05-22T17:00:05.922Z,ABI_G16-STAR-L2P-v2.70,20171215050000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,41.842960357666016,,Unspecified,2017-12-15T05:00:41.000Z,2017-12-15T05:11:18.000Z,-81.149,81.147,-156.195,6.199,"POLYGON ((6.199 -81.149, 6.199 81.14700000000001, -156.195 81.14700000000001, -156.195 -81.149, 6.199 -81.149))"
granule,G1653749112-PODAAC,20171215060000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,PODAAC,3,2019-11-18T22:21:24Z,2019-05-22T18:07:59.243Z,ABI_G16-STAR-L2P-v2.70,20171215060000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,41.48959255218506,,Unspecified,2017-12-15T06:00:41.000Z,2017-12-15T06:11:18.000Z,-81.149,81.147,-156.195,6.199,"POLYGON ((6.199 -81.149, 6.199 81.14700000000001, -156.195 81.14700000000001, -156.195 -81.149, 6.199 -81.149))"
granule,G1653749104-PODAAC,20171215070000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,PODAAC,3,2019-11-18T22:21:18Z,2019-05-22T18:03:47.038Z,ABI_G16-STAR-L2P-v2.70,20171215070000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,40.962687492370605,,Unspecified,2017-12-15T07:00:41.000Z,2017-12-15T07:11:18.000Z,-81.149,81.147,-156.195,6.199,"POLYGON ((6.199 -81.149, 6.199 81.14700000000001, -156.195 81.14700000000001, -156.195 -81.149, 6.199 -81.149))"
granule,G1653677586-PODAAC,20171215080000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,PODAAC,3,2019-11-18T19:06:38Z,2019-05-22T18:08:16.711Z,ABI_G16-STAR-L2P-v2.70,20171215080000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,40.58439922332764,,Unspecified,2017-12-15T08:00:41.000Z,2017-12-15T08:11:18.000Z,-81.149,81.147,-156.195,6.199,"POLYGON ((6.199 -81.149, 6.199 81.14700000000001, -156.195 81.14700000000001, -156.195 -81.149, 6.199 -81.149))"
granule,G1653679603-PODAAC,20171215090000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,PODAAC,3,2019-11-18T19:10:43Z,2019-05-22T18:20:05.817Z,ABI_G16-STAR-L2P-v2.70,20171215090000-STAR-L2P_GHRSST-SSTsubskin-ABI_G16-ACSPO_V2.70-v02.0-fv01.0.nc,40.53520584106445,,Unspecified,2017-12-15T09:00:41.000Z,2017-12-15T09:11:18.000Z,-81.149,81.147,-156.195,6.199,"POLYGON ((6.199 -81.149, 6.199 81.14700000000001, -156.195 81.14700000000001, -156.195 -81.149, 6.199 -81.149))"
