cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1658485455-PODAAC,20080401-ABOM-L4HRfnd-AUS-v01-fv01_0-RAMSSA_09km.nc,PODAAC,1,2019-11-20T20:47:51Z,2008-06-01T18:10:01.000Z,ABOM-L4HRfnd-AUS-RAMSSA_09km,20080401-ABOM-L4HRfnd-AUS-v01-fv01_0-RAMSSA_09km.nc,0.0,,Unspecified,2008-04-01T00:00:00.000Z,2008-04-02T00:00:00.000Z,-70.0,20.0,60.0,180.0,"POLYGON ((180 -70, 180 20, 60 20, 60 -70, 180 -70))"
granule,G1658485460-PODAAC,20080401-ABOM-L4HRfnd-AUS-v01-fv02_0-RAMSSA_09km.nc,PODAAC,1,2019-11-20T20:47:52Z,2008-06-01T18:15:01.000Z,ABOM-L4HRfnd-AUS-RAMSSA_09km,20080401-ABOM-L4HRfnd-AUS-v01-fv02_0-RAMSSA_09km.nc,0.0,,Unspecified,2008-04-01T00:00:00.000Z,2008-04-02T00:00:00.000Z,-70.0,20.0,60.0,180.0,"POLYGON ((180 -70, 180 20, 60 20, 60 -70, 180 -70))"
granule,G1658485465-PODAAC,20080402-ABOM-L4HRfnd-AUS-v01-fv01_0-RAMSSA_09km.nc,PODAAC,1,2019-11-20T20:47:54Z,2008-06-01T18:15:01.000Z,ABOM-L4HRfnd-AUS-RAMSSA_09km,20080402-ABOM-L4HRfnd-AUS-v01-fv01_0-RAMSSA_09km.nc,0.0,,Unspecified,2008-04-02T00:00:00.000Z,2008-04-03T00:00:00.000Z,-70.0,20.0,60.0,180.0,"POLYGON ((180 -70, 180 20, 60 20, 60 -70, 180 -70))"
granule,G1658485469-PODAAC,20080402-ABOM-L4HRfnd-AUS-v01-fv02_0-RAMSSA_09km.nc,PODAAC,1,2019-11-20T20:47:55Z,2008-06-01T18:15:02.000Z,ABOM-L4HRfnd-AUS-RAMSSA_09km,20080402-ABOM-L4HRfnd-AUS-v01-fv02_0-RAMSSA_09km.nc,0.0,,Unspecified,2008-04-02T00:00:00.000Z,2008-04-03T00:00:00.000Z,-70.0,20.0,60.0,180.0,"POLYGON ((180 -70, 180 20, 60 20, 60 -70, 180 -70))"
granule,G1658485476-PODAAC,20080403-ABOM-L4HRfnd-AUS-v01-fv01_0-RAMSSA_09km.nc,PODAAC,1,2019-11-20T20:47:57Z,2008-06-01T18:15:02.000Z,ABOM-L4HRfnd-AUS-RAMSSA_09km,20080403-ABOM-L4HRfnd-AUS-v01-fv01_0-RAMSSA_09km.nc,0.0,,Unspecified,2008-04-03T00:00:00.000Z,2008-04-04T00:00:00.000Z,-70.0,20.0,60.0,180.0,"POLYGON ((180 -70, 180 20, 60 20, 60 -70, 180 -70))"
granule,G1658485481-PODAAC,20080403-ABOM-L4HRfnd-AUS-v01-fv02_0-RAMSSA_09km.nc,PODAAC,1,2019-11-20T20:47:58Z,2008-06-01T18:15:02.000Z,ABOM-L4HRfnd-AUS-RAMSSA_09km,20080403-ABOM-L4HRfnd-AUS-v01-fv02_0-RAMSSA_09km.nc,0.0,,Unspecified,2008-04-03T00:00:00.000Z,2008-04-04T00:00:00.000Z,-70.0,20.0,60.0,180.0,"POLYGON ((180 -70, 180 20, 60 20, 60 -70, 180 -70))"
granule,G1658485489-PODAAC,20080404-ABOM-L4HRfnd-AUS-v01-fv01_0-RAMSSA_09km.nc,PODAAC,1,2019-11-20T20:47:59Z,2008-06-01T18:15:03.000Z,ABOM-L4HRfnd-AUS-RAMSSA_09km,20080404-ABOM-L4HRfnd-AUS-v01-fv01_0-RAMSSA_09km.nc,0.0,,Unspecified,2008-04-04T00:00:00.000Z,2008-04-05T00:00:00.000Z,-70.0,20.0,60.0,180.0,"POLYGON ((180 -70, 180 20, 60 20, 60 -70, 180 -70))"
granule,G1658485493-PODAAC,20080404-ABOM-L4HRfnd-AUS-v01-fv02_0-RAMSSA_09km.nc,PODAAC,1,2019-11-20T20:48:01Z,2008-06-01T18:15:03.000Z,ABOM-L4HRfnd-AUS-RAMSSA_09km,20080404-ABOM-L4HRfnd-AUS-v01-fv02_0-RAMSSA_09km.nc,0.0,,Unspecified,2008-04-04T00:00:00.000Z,2008-04-05T00:00:00.000Z,-70.0,20.0,60.0,180.0,"POLYGON ((180 -70, 180 20, 60 20, 60 -70, 180 -70))"
granule,G1658485499-PODAAC,20080405-ABOM-L4HRfnd-AUS-v01-fv01_0-RAMSSA_09km.nc,PODAAC,1,2019-11-20T20:48:02Z,2008-06-01T18:15:03.000Z,ABOM-L4HRfnd-AUS-RAMSSA_09km,20080405-ABOM-L4HRfnd-AUS-v01-fv01_0-RAMSSA_09km.nc,0.0,,Unspecified,2008-04-05T00:00:00.000Z,2008-04-06T00:00:00.000Z,-70.0,20.0,60.0,180.0,"POLYGON ((180 -70, 180 20, 60 20, 60 -70, 180 -70))"
granule,G1658485504-PODAAC,20080405-ABOM-L4HRfnd-AUS-v01-fv02_0-RAMSSA_09km.nc,PODAAC,1,2019-11-20T20:48:03Z,2008-06-01T18:15:04.000Z,ABOM-L4HRfnd-AUS-RAMSSA_09km,20080405-ABOM-L4HRfnd-AUS-v01-fv02_0-RAMSSA_09km.nc,0.0,,Unspecified,2008-04-05T00:00:00.000Z,2008-04-06T00:00:00.000Z,-70.0,20.0,60.0,180.0,"POLYGON ((180 -70, 180 20, 60 20, 60 -70, 180 -70))"
