cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1658854350-PODAAC,20120702232136-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00675-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T15:19:32Z,2017-09-28T22:46:25.215Z,AMSR2-REMSS-L2P-v8a,20120702232136-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00675-v02.0-fv01.0.nc,1.8171100616455078,,Unspecified,2012-07-02T23:21:36.000Z,2012-07-03T00:09:36.000Z,-89.37,84.13,-141.67,101.75,"POLYGON ((101.75 -89.37, 101.75 84.13, -141.67 84.13, -141.67 -89.37, 101.75 -89.37))"
granule,G1659010840-PODAAC,20120703001040-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00676-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T21:04:36Z,2017-09-29T02:50:35.285Z,AMSR2-REMSS-L2P-v8a,20120703001040-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00676-v02.0-fv01.0.nc,5.387172698974609,,Unspecified,2012-07-03T00:10:40.000Z,2012-07-03T01:49:52.000Z,-89.37,89.15,-179.99,180.0,"POLYGON ((180 -89.37, 180 89.15000000000001, -179.99 89.15000000000001, -179.99 -89.37, 180 -89.37))"
granule,G1658864961-PODAAC,20120703014848-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00677-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T15:40:28Z,2017-09-28T23:57:16.333Z,AMSR2-REMSS-L2P-v8a,20120703014848-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00677-v02.0-fv01.0.nc,5.955438613891602,,Unspecified,2012-07-03T01:48:48.000Z,2012-07-03T03:28:00.000Z,-89.37,89.15,-179.99,180.0,"POLYGON ((180 -89.37, 180 89.15000000000001, -179.99 89.15000000000001, -179.99 -89.37, 180 -89.37))"
granule,G1658859952-PODAAC,20120703032800-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00678-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T15:31:19Z,2017-09-28T23:25:56.797Z,AMSR2-REMSS-L2P-v8a,20120703032800-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00678-v02.0-fv01.0.nc,5.237277030944824,,Unspecified,2012-07-03T03:28:00.000Z,2012-07-03T05:07:12.000Z,-89.37,89.15,-179.99,180.0,"POLYGON ((180 -89.37, 180 89.15000000000001, -179.99 89.15000000000001, -179.99 -89.37, 180 -89.37))"
granule,G1658952266-PODAAC,20120703050712-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00679-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T19:01:51Z,2017-09-29T00:17:06.831Z,AMSR2-REMSS-L2P-v8a,20120703050712-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00679-v02.0-fv01.0.nc,4.850269317626953,,Unspecified,2012-07-03T05:07:12.000Z,2012-07-03T06:46:24.000Z,-89.37,89.16,-179.99,180.0,"POLYGON ((180 -89.37, 180 89.16, -179.99 89.16, -179.99 -89.37, 180 -89.37))"
granule,G1658856464-PODAAC,20120703064520-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00680-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T15:24:13Z,2017-09-28T23:02:31.398Z,AMSR2-REMSS-L2P-v8a,20120703064520-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00680-v02.0-fv01.0.nc,4.951333045959473,,Unspecified,2012-07-03T06:45:20.000Z,2012-07-03T08:24:32.000Z,-89.37,89.16,-179.99,180.0,"POLYGON ((180 -89.37, 180 89.16, -179.99 89.16, -179.99 -89.37, 180 -89.37))"
granule,G1658958195-PODAAC,20120703082432-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00681-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T19:14:28Z,2017-09-29T01:00:58.389Z,AMSR2-REMSS-L2P-v8a,20120703082432-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00681-v02.0-fv01.0.nc,5.012151718139648,,Unspecified,2012-07-03T08:24:32.000Z,2012-07-03T10:03:44.000Z,-89.37,89.16,-179.99,180.0,"POLYGON ((180 -89.37, 180 89.16, -179.99 89.16, -179.99 -89.37, 180 -89.37))"
granule,G1658955723-PODAAC,20120703100344-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00682-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T19:09:32Z,2017-09-29T00:44:57.404Z,AMSR2-REMSS-L2P-v8a,20120703100344-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00682-v02.0-fv01.0.nc,5.0822038650512695,,Unspecified,2012-07-03T10:03:44.000Z,2012-07-03T11:42:56.000Z,-89.37,89.15,-179.99,180.0,"POLYGON ((180 -89.37, 180 89.15000000000001, -179.99 89.15000000000001, -179.99 -89.37, 180 -89.37))"
granule,G1658854975-PODAAC,20120703114152-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00683-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T15:20:53Z,2017-09-28T22:50:43.872Z,AMSR2-REMSS-L2P-v8a,20120703114152-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00683-v02.0-fv01.0.nc,4.850508689880371,,Unspecified,2012-07-03T11:41:52.000Z,2012-07-03T13:21:04.000Z,-89.37,89.15,-179.99,180.0,"POLYGON ((180 -89.37, 180 89.15000000000001, -179.99 89.15000000000001, -179.99 -89.37, 180 -89.37))"
granule,G1659015290-PODAAC,20120703132104-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00684-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T21:12:49Z,2017-09-29T03:19:30.089Z,AMSR2-REMSS-L2P-v8a,20120703132104-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00684-v02.0-fv01.0.nc,5.405320167541504,,Unspecified,2012-07-03T13:21:04.000Z,2012-07-03T15:00:16.000Z,-89.37,89.15,-179.99,180.0,"POLYGON ((180 -89.37, 180 89.15000000000001, -179.99 89.15000000000001, -179.99 -89.37, 180 -89.37))"
granule,G1659012943-PODAAC,20120703150016-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00685-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T21:08:19Z,2017-09-29T03:03:02.010Z,AMSR2-REMSS-L2P-v8a,20120703150016-REMSS-L2P_GHRSST-SSTsubskin-AMSR2-L2B_v08_r00685-v02.0-fv01.0.nc,5.532681465148926,,Unspecified,2012-07-03T15:00:16.000Z,2012-07-03T16:39:28.000Z,-89.37,89.15,-179.99,180.0,"POLYGON ((180 -89.37, 180 89.15000000000001, -179.99 89.15000000000001, -179.99 -89.37, 180 -89.37))"
