cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1658538395-PODAAC,20120702000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120702v8-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:00:18Z,2017-12-01T02:44:47.915Z,AMSR2-REMSS-L3U-v8a,20120702000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120702v8-v02.0-fv01.0.nc,0.4265422821044922,,Unspecified,2012-07-02T23:24:00.000Z,2012-07-02T23:59:44.000Z,-89.875,89.875,-179.875,179.875,"POLYGON ((179.875 -89.875, 179.875 89.875, -179.875 89.875, -179.875 -89.875, 179.875 -89.875))"
granule,G1658537413-PODAAC,20120703000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120703v8-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T22:57:28Z,2017-09-14T02:15:15.999Z,AMSR2-REMSS-L3U-v8a,20120703000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120703v8-v02.0-fv01.0.nc,4.417585372924805,,Unspecified,2012-07-03T00:00:00.000Z,2012-07-04T00:00:00.000Z,-89.875,89.875,-179.875,179.875,"POLYGON ((179.875 -89.875, 179.875 89.875, -179.875 89.875, -179.875 -89.875, 179.875 -89.875))"
granule,G1658545586-PODAAC,20120704000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120704v8-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:18:58Z,2017-09-14T02:58:00.623Z,AMSR2-REMSS-L3U-v8a,20120704000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120704v8-v02.0-fv01.0.nc,4.323253631591797,,Unspecified,2012-07-04T00:00:00.000Z,2012-07-05T00:00:00.000Z,-89.875,89.875,-179.875,179.875,"POLYGON ((179.875 -89.875, 179.875 89.875, -179.875 89.875, -179.875 -89.875, 179.875 -89.875))"
granule,G1658537749-PODAAC,20120705000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120705v8-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T22:58:38Z,2017-09-14T01:19:16.710Z,AMSR2-REMSS-L3U-v8a,20120705000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120705v8-v02.0-fv01.0.nc,4.412335395812988,,Unspecified,2012-07-05T00:00:00.000Z,2012-07-06T00:00:00.000Z,-89.875,89.875,-179.875,179.875,"POLYGON ((179.875 -89.875, 179.875 89.875, -179.875 89.875, -179.875 -89.875, 179.875 -89.875))"
granule,G1658549733-PODAAC,20120706000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120706v8-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:29:14Z,2017-09-14T01:27:48.808Z,AMSR2-REMSS-L3U-v8a,20120706000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120706v8-v02.0-fv01.0.nc,4.347770690917969,,Unspecified,2012-07-06T00:00:00.000Z,2012-07-07T00:00:00.000Z,-89.875,89.875,-179.875,179.875,"POLYGON ((179.875 -89.875, 179.875 89.875, -179.875 89.875, -179.875 -89.875, 179.875 -89.875))"
granule,G1658535515-PODAAC,20120707000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120707v8-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T22:53:55Z,2017-12-01T02:21:39.798Z,AMSR2-REMSS-L3U-v8a,20120707000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120707v8-v02.0-fv01.0.nc,4.377068519592285,,Unspecified,2012-07-07T00:00:00.000Z,2012-07-07T23:54:00.000Z,-89.875,89.875,-179.875,179.875,"POLYGON ((179.875 -89.875, 179.875 89.875, -179.875 89.875, -179.875 -89.875, 179.875 -89.875))"
granule,G1658545786-PODAAC,20120708000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120708v8-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:19:42Z,2017-09-14T02:03:41.437Z,AMSR2-REMSS-L3U-v8a,20120708000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120708v8-v02.0-fv01.0.nc,4.411955833435059,,Unspecified,2012-07-08T00:00:00.000Z,2012-07-09T00:00:00.000Z,-89.875,89.875,-179.875,179.875,"POLYGON ((179.875 -89.875, 179.875 89.875, -179.875 89.875, -179.875 -89.875, 179.875 -89.875))"
granule,G1658545606-PODAAC,20120709000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120709v8-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:19:03Z,2017-09-14T03:01:39.290Z,AMSR2-REMSS-L3U-v8a,20120709000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120709v8-v02.0-fv01.0.nc,4.360692977905273,,Unspecified,2012-07-09T00:00:00.000Z,2012-07-10T00:00:00.000Z,-89.875,89.875,-179.875,179.875,"POLYGON ((179.875 -89.875, 179.875 89.875, -179.875 89.875, -179.875 -89.875, 179.875 -89.875))"
granule,G1658547877-PODAAC,20120710000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120710v8-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:24:47Z,2017-09-14T03:13:59.501Z,AMSR2-REMSS-L3U-v8a,20120710000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120710v8-v02.0-fv01.0.nc,4.442451477050781,,Unspecified,2012-07-10T00:00:00.000Z,2012-07-11T00:00:00.000Z,-89.875,89.875,-179.875,179.875,"POLYGON ((179.875 -89.875, 179.875 89.875, -179.875 89.875, -179.875 -89.875, 179.875 -89.875))"
granule,G1658539700-PODAAC,20120711000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120711v8-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:02:56Z,2017-09-14T01:55:33.282Z,AMSR2-REMSS-L3U-v8a,20120711000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120711v8-v02.0-fv01.0.nc,4.311394691467285,,Unspecified,2012-07-11T00:00:00.000Z,2012-07-12T00:00:00.000Z,-89.875,89.875,-179.875,179.875,"POLYGON ((179.875 -89.875, 179.875 89.875, -179.875 89.875, -179.875 -89.875, 179.875 -89.875))"
granule,G1658551829-PODAAC,20120712000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120712v8-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:34:33Z,2017-09-14T02:42:37.868Z,AMSR2-REMSS-L3U-v8a,20120712000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120712v8-v02.0-fv01.0.nc,4.390164375305176,,Unspecified,2012-07-12T00:00:00.000Z,2012-07-13T00:00:00.000Z,-89.875,89.875,-179.875,179.875,"POLYGON ((179.875 -89.875, 179.875 89.875, -179.875 89.875, -179.875 -89.875, 179.875 -89.875))"
granule,G1658540015-PODAAC,20120713000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120713v8-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:04:05Z,2017-09-14T02:15:25.069Z,AMSR2-REMSS-L3U-v8a,20120713000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120713v8-v02.0-fv01.0.nc,4.318137168884277,,Unspecified,2012-07-13T00:00:00.000Z,2012-07-14T00:00:00.000Z,-89.875,89.875,-179.875,179.875,"POLYGON ((179.875 -89.875, 179.875 89.875, -179.875 89.875, -179.875 -89.875, 179.875 -89.875))"
granule,G1658547511-PODAAC,20120714000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120714v8-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:23:53Z,2017-09-14T03:17:47.183Z,AMSR2-REMSS-L3U-v8a,20120714000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120714v8-v02.0-fv01.0.nc,4.405353546142578,,Unspecified,2012-07-14T00:00:00.000Z,2012-07-15T00:00:00.000Z,-89.875,89.875,-179.875,179.875,"POLYGON ((179.875 -89.875, 179.875 89.875, -179.875 89.875, -179.875 -89.875, 179.875 -89.875))"
granule,G1658546219-PODAAC,20120715000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120715v8-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:20:58Z,2017-09-14T02:03:22.164Z,AMSR2-REMSS-L3U-v8a,20120715000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120715v8-v02.0-fv01.0.nc,4.406196594238281,,Unspecified,2012-07-15T00:00:00.000Z,2012-07-16T00:00:00.000Z,-89.875,89.875,-179.875,179.875,"POLYGON ((179.875 -89.875, 179.875 89.875, -179.875 89.875, -179.875 -89.875, 179.875 -89.875))"
granule,G1658542290-PODAAC,20120716000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120716v8-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:10:24Z,2017-09-14T03:37:12.090Z,AMSR2-REMSS-L3U-v8a,20120716000000-REMSS-L3U_GHRSST-SSTsubskin-AMSR2-f34_20120716v8-v02.0-fv01.0.nc,4.362401008605957,,Unspecified,2012-07-16T00:00:00.000Z,2012-07-17T00:00:00.000Z,-89.875,89.875,-179.875,179.875,"POLYGON ((179.875 -89.875, 179.875 89.875, -179.875 89.875, -179.875 -89.875, 179.875 -89.875))"
