cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1655500700-PODAAC,20130924103401-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,PODAAC,1,2019-11-13T00:04:08Z,2013-09-25T20:31:04.727Z,AVHRR18_G-NAVO-L2P-v1.0,20130924103401-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,38.39380741119385,,Unspecified,2013-09-24T10:34:01.000Z,2013-09-24T12:29:00.000Z,-89.747,89.696,-180.0,180.0,"POLYGON ((180 -89.747, 180 89.696, -180 89.696, -180 -89.747, 180 -89.747))"
granule,G1655460987-PODAAC,20130926150921-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,PODAAC,1,2019-11-12T22:52:05Z,2013-09-26T18:54:34.656Z,AVHRR18_G-NAVO-L2P-v1.0,20130926150921-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,38.440670013427734,,Unspecified,2013-09-26T15:09:21.000Z,2013-09-26T17:04:20.000Z,-89.751,89.695,-180.0,180.0,"POLYGON ((180 -89.751, 180 89.69499999999999, -180 89.69499999999999, -180 -89.751, 180 -89.751))"
granule,G1655461010-PODAAC,20130926165848-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,PODAAC,1,2019-11-12T22:52:06Z,2013-09-26T18:54:35.282Z,AVHRR18_G-NAVO-L2P-v1.0,20130926165848-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,26.198266983032227,,Unspecified,2013-09-26T16:58:48.000Z,2013-09-26T18:22:35.000Z,-89.75,89.694,-180.0,180.0,"POLYGON ((180 -89.75, 180 89.694, -180 89.694, -180 -89.75, 180 -89.75))"
granule,G1655500568-PODAAC,20130926181651-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,PODAAC,1,2019-11-13T00:03:32Z,2013-09-26T23:05:05.057Z,AVHRR18_G-NAVO-L2P-v1.0,20130926181651-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,38.25807762145996,,Unspecified,2013-09-26T18:16:51.000Z,2013-09-26T20:11:50.000Z,-89.749,89.695,-180.0,180.0,"POLYGON ((180 -89.749, 180 89.69499999999999, -180 89.69499999999999, -180 -89.749, 180 -89.749))"
granule,G1655501055-PODAAC,20130926200606-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,PODAAC,1,2019-11-13T00:05:25Z,2013-09-26T23:05:14.967Z,AVHRR18_G-NAVO-L2P-v1.0,20130926200606-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,35.043063163757324,,Unspecified,2013-09-26T20:06:06.000Z,2013-09-26T21:53:25.000Z,-89.749,89.696,-180.0,179.999,"POLYGON ((179.999 -89.749, 179.999 89.696, -180 89.696, -180 -89.749, 179.999 -89.749))"
granule,G1655500959-PODAAC,20130926214741-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,PODAAC,1,2019-11-13T00:05:08Z,2013-09-27T03:38:06.295Z,AVHRR18_G-NAVO-L2P-v1.0,20130926214741-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,38.49667167663574,,Unspecified,2013-09-26T21:47:41.000Z,2013-09-26T23:42:40.000Z,-89.749,89.697,-180.0,179.999,"POLYGON ((179.999 -89.749, 179.999 89.697, -180 89.697, -180 -89.749, 179.999 -89.749))"
granule,G1655500967-PODAAC,20130926233656-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,PODAAC,1,2019-11-13T00:05:10Z,2013-09-27T03:38:01.451Z,AVHRR18_G-NAVO-L2P-v1.0,20130926233656-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,38.546539306640625,,Unspecified,2013-09-26T23:36:56.000Z,2013-09-27T01:31:55.000Z,-89.749,89.696,-180.0,180.0,"POLYGON ((180 -89.749, 180 89.696, -180 89.696, -180 -89.749, 180 -89.749))"
granule,G1655500963-PODAAC,20130927012611-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,PODAAC,1,2019-11-13T00:05:09Z,2013-09-27T03:38:01.542Z,AVHRR18_G-NAVO-L2P-v1.0,20130927012611-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,30.651668548583984,,Unspecified,2013-09-27T01:26:11.000Z,2013-09-27T02:58:05.000Z,-89.75,89.696,-180.0,180.0,"POLYGON ((180 -89.75, 180 89.696, -180 89.696, -180 -89.75, 180 -89.75))"
granule,G1655462236-PODAAC,20130927025221-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,PODAAC,1,2019-11-12T22:53:20Z,2013-09-27T09:21:13.646Z,AVHRR18_G-NAVO-L2P-v1.0,20130927025221-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,38.153133392333984,,Unspecified,2013-09-27T02:52:21.000Z,2013-09-27T04:47:19.000Z,-89.75,89.695,-180.0,180.0,"POLYGON ((180 -89.75, 180 89.69499999999999, -180 89.69499999999999, -180 -89.75, 180 -89.75))"
granule,G1655462251-PODAAC,20130927044136-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,PODAAC,1,2019-11-12T22:53:21Z,2013-09-27T09:21:19.741Z,AVHRR18_G-NAVO-L2P-v1.0,20130927044136-NAVO-L2P_GHRSST-SST1m-AVHRR18_G-v02.0-fv01.0.nc,38.29923057556152,,Unspecified,2013-09-27T04:41:36.000Z,2013-09-27T06:36:35.000Z,-89.751,89.696,-180.0,180.0,"POLYGON ((180 -89.751, 180 89.696, -180 89.696, -180 -89.751, 180 -89.751))"
