cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1653197429-PODAAC,19810901120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T22:06:55Z,2016-03-30T19:00:50.276Z,AVHRR_OI-NCEI-L4-GLOB-v2.0,19810901120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,1.0188732147216797,,Unspecified,1981-09-01T00:00:00.000Z,1981-09-02T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653197433-PODAAC,19810902120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T22:06:56Z,2016-03-30T19:01:10.307Z,AVHRR_OI-NCEI-L4-GLOB-v2.0,19810902120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,1.0230026245117188,,Unspecified,1981-09-02T00:00:00.000Z,1981-09-03T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653188953-PODAAC,19810903120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T21:43:59Z,2016-03-30T19:08:59.594Z,AVHRR_OI-NCEI-L4-GLOB-v2.0,19810903120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,1.0228748321533203,,Unspecified,1981-09-03T00:00:00.000Z,1981-09-04T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653189119-PODAAC,19810904120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T21:45:17Z,2016-03-30T19:01:51.714Z,AVHRR_OI-NCEI-L4-GLOB-v2.0,19810904120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,1.0257301330566406,,Unspecified,1981-09-04T00:00:00.000Z,1981-09-05T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653188955-PODAAC,19810905120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T21:44:00Z,2016-03-30T19:09:28.458Z,AVHRR_OI-NCEI-L4-GLOB-v2.0,19810905120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,1.0226173400878906,,Unspecified,1981-09-05T00:00:00.000Z,1981-09-06T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653189121-PODAAC,19810906120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T21:45:19Z,2016-03-30T19:16:10.113Z,AVHRR_OI-NCEI-L4-GLOB-v2.0,19810906120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,1.018967628479004,,Unspecified,1981-09-06T00:00:00.000Z,1981-09-07T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653188951-PODAAC,19810907120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T21:43:57Z,2016-03-30T19:01:36.761Z,AVHRR_OI-NCEI-L4-GLOB-v2.0,19810907120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,1.0173606872558594,,Unspecified,1981-09-07T00:00:00.000Z,1981-09-08T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653189123-PODAAC,19810908120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T21:45:20Z,2016-03-30T19:16:00.239Z,AVHRR_OI-NCEI-L4-GLOB-v2.0,19810908120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,1.018538475036621,,Unspecified,1981-09-08T00:00:00.000Z,1981-09-09T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653197441-PODAAC,19810909120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T22:06:58Z,2016-03-30T19:08:59.624Z,AVHRR_OI-NCEI-L4-GLOB-v2.0,19810909120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,1.016322135925293,,Unspecified,1981-09-09T00:00:00.000Z,1981-09-10T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653179020-PODAAC,19810910120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T20:47:45Z,2016-03-30T19:01:14.920Z,AVHRR_OI-NCEI-L4-GLOB-v2.0,19810910120000-NCEI-L4_GHRSST-SSTblend-AVHRR_OI-GLOB-v02.0-fv02.0.nc,1.018782615661621,,Unspecified,1981-09-10T00:00:00.000Z,1981-09-11T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
