cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1666594461-PODAAC,20130604102503-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_102503-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T18:01:54Z,2014-07-31T06:33:29.430Z,AVHRR_SST_METOP_A-OSISAF-L2P-v1.0,20130604102503-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_102503-v02.0-fv01.0.nc,2.8240203857421875,,Unspecified,2013-06-04T10:25:03.000Z,2013-06-04T10:28:03.000Z,62.852,84.292,-180.0,180.0,"POLYGON ((180 62.852, 180 84.292, -180 84.292, -180 62.852, 180 62.852))"
granule,G1666153167-PODAAC,20130604102803-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_102803-v02.0-fv01.0.nc,PODAAC,1,2019-12-09T19:20:18Z,2014-06-27T22:01:42.352Z,AVHRR_SST_METOP_A-OSISAF-L2P-v1.0,20130604102803-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_102803-v02.0-fv01.0.nc,2.9334449768066406,,Unspecified,2013-06-04T10:28:03.000Z,2013-06-04T10:31:03.000Z,67.709,89.994,-180.0,179.999,"POLYGON ((179.999 67.709, 179.999 89.994, -180 89.994, -180 67.709, 179.999 67.709))"
granule,G1666453406-PODAAC,20130604103103-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_103103-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T12:30:57Z,2014-07-21T17:14:48.710Z,AVHRR_SST_METOP_A-OSISAF-L2P-v1.0,20130604103103-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_103103-v02.0-fv01.0.nc,3.0445566177368164,,Unspecified,2013-06-04T10:31:03.000Z,2013-06-04T10:34:03.000Z,63.469,85.316,-59.053,61.706,"POLYGON ((61.706 63.469, 61.706 85.316, -59.053 85.316, -59.053 63.469, 61.706 63.469))"
granule,G1666358955-PODAAC,20130604103403-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_103403-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T07:07:05Z,2014-07-12T11:18:41.898Z,AVHRR_SST_METOP_A-OSISAF-L2P-v1.0,20130604103403-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_103403-v02.0-fv01.0.nc,3.239643096923828,,Unspecified,2013-06-04T10:34:03.000Z,2013-06-04T10:37:03.000Z,56.069,74.939,-33.764,37.596,"POLYGON ((37.596 56.069, 37.596 74.93899999999999, -33.764 74.93899999999999, -33.764 56.069, 37.596 56.069))"
granule,G1666188687-PODAAC,20130604103703-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_103703-v02.0-fv01.0.nc,PODAAC,1,2019-12-09T22:21:41Z,2014-07-01T03:36:28.962Z,AVHRR_SST_METOP_A-OSISAF-L2P-v1.0,20130604103703-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_103703-v02.0-fv01.0.nc,3.2364120483398438,,Unspecified,2013-06-04T10:37:03.000Z,2013-06-04T10:40:03.000Z,47.239,64.585,-28.954,21.853,"POLYGON ((21.853 47.239, 21.853 64.58499999999999, -28.954 64.58499999999999, -28.954 47.239, 21.853 47.239))"
granule,G1666551787-PODAAC,20130604104003-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_104003-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T16:24:11Z,2014-07-28T11:14:44.328Z,AVHRR_SST_METOP_A-OSISAF-L2P-v1.0,20130604104003-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_104003-v02.0-fv01.0.nc,3.376270294189453,,Unspecified,2013-06-04T10:40:03.000Z,2013-06-04T10:43:03.000Z,37.698,54.28,-28.072,11.806,"POLYGON ((11.806 37.698, 11.806 54.28, -28.072 54.28, -28.072 37.698, 11.806 37.698))"
granule,G1666370214-PODAAC,20130604104303-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_104303-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T07:47:11Z,2014-07-13T13:32:56.850Z,AVHRR_SST_METOP_A-OSISAF-L2P-v1.0,20130604104303-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_104303-v02.0-fv01.0.nc,2.3800134658813477,,Unspecified,2013-06-04T10:43:03.000Z,2013-06-04T10:46:03.000Z,27.773,44.007,-28.963,4.996,"POLYGON ((4.996 27.773, 4.996 44.007, -28.963 44.007, -28.963 27.773, 4.996 27.773))"
granule,G1664507637-PODAAC,20130604104603-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_104603-v02.0-fv01.0.nc,PODAAC,1,2019-12-05T21:57:28Z,2014-06-23T13:41:36.031Z,AVHRR_SST_METOP_A-OSISAF-L2P-v1.0,20130604104603-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_104603-v02.0-fv01.0.nc,2.8250160217285156,,Unspecified,2013-06-04T10:46:03.000Z,2013-06-04T10:49:03.000Z,17.628,33.688,-30.303,0.064,"POLYGON ((0.064 17.628, 0.064 33.688, -30.303 33.688, -30.303 17.628, 0.064 17.628))"
granule,G1666614122-PODAAC,20130604104903-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_104903-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T18:49:09Z,2014-08-01T14:32:06.438Z,AVHRR_SST_METOP_A-OSISAF-L2P-v1.0,20130604104903-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_104903-v02.0-fv01.0.nc,2.256119728088379,,Unspecified,2013-06-04T10:49:03.000Z,2013-06-04T10:52:03.000Z,7.357,23.338,-32.016,-3.707,"POLYGON ((-3.707 7.357, -3.707 23.338, -32.016 23.338, -32.016 7.357, -3.707 7.357))"
granule,G1666169847-PODAAC,20130604105203-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_105203-v02.0-fv01.0.nc,PODAAC,1,2019-12-09T20:36:40Z,2014-06-29T13:43:39.730Z,AVHRR_SST_METOP_A-OSISAF-L2P-v1.0,20130604105203-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_A-sstmgr_metop02_20130604_105203-v02.0-fv01.0.nc,2.8062963485717773,,Unspecified,2013-06-04T10:52:03.000Z,2013-06-04T10:55:03.000Z,-2.982,12.975,-34.107,-6.707,"POLYGON ((-6.707 -2.982, -6.707 12.975, -34.107 12.975, -34.107 -2.982, -6.707 -2.982))"
