cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1664422658-PODAAC,20160119080703-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_080703-v02.0-fv01.0.nc,PODAAC,1,2019-12-05T16:45:25Z,2016-01-29T15:37:17.308Z,AVHRR_SST_METOP_B-OSISAF-L2P-v1.0,20160119080703-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_080703-v02.0-fv01.0.nc,2.777750015258789,,Unspecified,2016-01-19T08:07:03.000Z,2016-01-19T08:10:03.000Z,-89.992,-66.162,-179.992,179.998,"POLYGON ((179.998 -89.992, 179.998 -66.16200000000001, -179.992 -66.16200000000001, -179.992 -89.992, 179.998 -89.992))"
granule,G1664431756-PODAAC,20160119081003-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_081003-v02.0-fv01.0.nc,PODAAC,1,2019-12-05T17:14:39Z,2016-01-30T00:01:01.576Z,AVHRR_SST_METOP_B-OSISAF-L2P-v1.0,20160119081003-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_081003-v02.0-fv01.0.nc,2.907032012939453,,Unspecified,2016-01-19T08:10:03.000Z,2016-01-19T08:13:03.000Z,-88.482,-64.787,-179.999,180.0,"POLYGON ((180 -88.482, 180 -64.78700000000001, -179.999 -64.78700000000001, -179.999 -88.482, 180 -88.482))"
granule,G1664397122-PODAAC,20160119081303-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_081303-v02.0-fv01.0.nc,PODAAC,1,2019-12-05T15:47:18Z,2016-01-29T00:40:40.004Z,AVHRR_SST_METOP_B-OSISAF-L2P-v1.0,20160119081303-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_081303-v02.0-fv01.0.nc,3.0008773803710938,,Unspecified,2016-01-19T08:13:03.000Z,2016-01-19T08:16:03.000Z,-78.148,-58.227,-179.999,180.0,"POLYGON ((180 -78.148, 180 -58.227, -179.999 -58.227, -179.999 -78.148, 180 -78.148))"
granule,G1664395176-PODAAC,20160119081603-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_081603-v02.0-fv01.0.nc,PODAAC,1,2019-12-05T15:39:35Z,2016-01-28T22:39:23.029Z,AVHRR_SST_METOP_B-OSISAF-L2P-v1.0,20160119081603-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_081603-v02.0-fv01.0.nc,3.3379058837890625,,Unspecified,2016-01-19T08:16:03.000Z,2016-01-19T08:19:03.000Z,-67.83,-49.866,-174.964,-117.882,"POLYGON ((-117.882 -67.83, -117.882 -49.866, -174.964 -49.866, -174.964 -67.83, -117.882 -67.83))"
granule,G1664399261-PODAAC,20160119081903-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_081903-v02.0-fv01.0.nc,PODAAC,1,2019-12-05T15:53:27Z,2016-01-29T02:13:08.222Z,AVHRR_SST_METOP_B-OSISAF-L2P-v1.0,20160119081903-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_081903-v02.0-fv01.0.nc,4.27864933013916,,Unspecified,2016-01-19T08:19:03.000Z,2016-01-19T08:22:03.000Z,-57.547,-40.605,-172.934,-129.427,"POLYGON ((-129.427 -57.547, -129.427 -40.605, -172.934 -40.605, -172.934 -57.547, -129.427 -57.547))"
granule,G1664424978-PODAAC,20160119082203-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_082203-v02.0-fv01.0.nc,PODAAC,1,2019-12-05T16:52:40Z,2016-01-29T17:31:47.637Z,AVHRR_SST_METOP_B-OSISAF-L2P-v1.0,20160119082203-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_082203-v02.0-fv01.0.nc,3.056748390197754,,Unspecified,2016-01-19T08:22:03.000Z,2016-01-19T08:25:03.000Z,-47.317,-30.861,-173.334,-137.151,"POLYGON ((-137.151 -47.317, -137.151 -30.861, -173.334 -30.861, -173.334 -47.317, -137.151 -47.317))"
granule,G1664416024-PODAAC,20160119082503-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_082503-v02.0-fv01.0.nc,PODAAC,1,2019-12-05T16:30:10Z,2016-01-29T11:38:07.861Z,AVHRR_SST_METOP_B-OSISAF-L2P-v1.0,20160119082503-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_082503-v02.0-fv01.0.nc,2.8863439559936523,,Unspecified,2016-01-19T08:25:03.000Z,2016-01-19T08:28:03.000Z,-37.044,-20.84,-174.465,-142.662,"POLYGON ((-142.662 -37.044, -142.662 -20.84, -174.465 -20.84, -174.465 -37.044, -142.662 -37.044))"
granule,G1664387700-PODAAC,20160119082803-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_082803-v02.0-fv01.0.nc,PODAAC,1,2019-12-05T15:10:55Z,2016-01-28T21:31:30.695Z,AVHRR_SST_METOP_B-OSISAF-L2P-v1.0,20160119082803-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_082803-v02.0-fv01.0.nc,2.289356231689453,,Unspecified,2016-01-19T08:28:03.000Z,2016-01-19T08:31:03.000Z,-26.722,-10.652,-175.991,-146.823,"POLYGON ((-146.823 -26.722, -146.823 -10.652, -175.991 -10.652, -175.991 -26.722, -146.823 -26.722))"
granule,G1664402192-PODAAC,20160119083103-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_083103-v02.0-fv01.0.nc,PODAAC,1,2019-12-05T15:54:23Z,2016-01-29T02:30:10.187Z,AVHRR_SST_METOP_B-OSISAF-L2P-v1.0,20160119083103-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_083103-v02.0-fv01.0.nc,3.4690237045288086,,Unspecified,2016-01-19T08:31:03.000Z,2016-01-19T08:34:03.000Z,-16.367,-0.366,-177.888,-150.102,"POLYGON ((-150.102 -16.367, -150.102 -0.366, -177.888 -0.366, -177.888 -16.367, -150.102 -16.367))"
granule,G1664425494-PODAAC,20160119083403-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_083403-v02.0-fv01.0.nc,PODAAC,1,2019-12-05T16:53:24Z,2016-01-29T17:47:36.452Z,AVHRR_SST_METOP_B-OSISAF-L2P-v1.0,20160119083403-OSISAF-L2P_GHRSST-SSTsubskin-AVHRR_SST_METOP_B-sstmgr_metop01_20160119_083403-v02.0-fv01.0.nc,2.792099952697754,,Unspecified,2016-01-19T08:34:03.000Z,2016-01-19T08:37:03.000Z,-6.002,9.974,-180.0,179.999,"POLYGON ((179.999 -6.002, 179.999 9.974, -180 9.974, -180 -6.002, 179.999 -6.002))"
