cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1653052602-PODAAC,20160101120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,PODAAC,1,2019-11-06T18:38:51Z,2016-01-22T18:12:55.162Z,CMC0.1deg-CMC-L4-GLOB-v3.0,20160101120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,7.112434387207031,,Unspecified,2016-01-01T00:00:00.000Z,2016-01-02T00:00:00.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653053252-PODAAC,20160102120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,PODAAC,1,2019-11-06T18:39:07Z,2016-01-22T18:12:53.184Z,CMC0.1deg-CMC-L4-GLOB-v3.0,20160102120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,7.113921165466309,,Unspecified,2016-01-02T00:00:00.000Z,2016-01-03T00:00:00.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653053204-PODAAC,20160103120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,PODAAC,1,2019-11-06T18:39:05Z,2016-01-22T18:12:52.233Z,CMC0.1deg-CMC-L4-GLOB-v3.0,20160103120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,7.105297088623047,,Unspecified,2016-01-03T00:00:00.000Z,2016-01-04T00:00:00.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653052600-PODAAC,20160104120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,PODAAC,1,2019-11-06T18:38:50Z,2016-01-22T18:12:50.906Z,CMC0.1deg-CMC-L4-GLOB-v3.0,20160104120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,7.092500686645508,,Unspecified,2016-01-04T00:00:00.000Z,2016-01-05T00:00:00.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653053566-PODAAC,20160105120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,PODAAC,1,2019-11-06T18:39:15Z,2016-01-22T18:12:50.084Z,CMC0.1deg-CMC-L4-GLOB-v3.0,20160105120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,7.099085807800293,,Unspecified,2016-01-05T00:00:00.000Z,2016-01-06T00:00:00.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653053686-PODAAC,20160106120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,PODAAC,1,2019-11-06T18:39:19Z,2016-01-22T18:12:51.506Z,CMC0.1deg-CMC-L4-GLOB-v3.0,20160106120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,7.091213226318359,,Unspecified,2016-01-06T00:00:00.000Z,2016-01-07T00:00:00.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653052606-PODAAC,20160107120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,PODAAC,1,2019-11-06T18:38:54Z,2016-01-22T18:12:48.478Z,CMC0.1deg-CMC-L4-GLOB-v3.0,20160107120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,7.075953483581543,,Unspecified,2016-01-07T00:00:00.000Z,2016-01-08T00:00:00.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653054528-PODAAC,20160108120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,PODAAC,1,2019-11-06T18:39:34Z,2016-01-22T18:12:56.003Z,CMC0.1deg-CMC-L4-GLOB-v3.0,20160108120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,7.064128875732422,,Unspecified,2016-01-08T00:00:00.000Z,2016-01-09T00:00:00.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653053037-PODAAC,20160109120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,PODAAC,1,2019-11-06T18:39:03Z,2016-01-22T18:12:57.471Z,CMC0.1deg-CMC-L4-GLOB-v3.0,20160109120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,7.047231674194336,,Unspecified,2016-01-09T00:00:00.000Z,2016-01-10T00:00:00.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653052662-PODAAC,20160110120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,PODAAC,1,2019-11-06T18:38:56Z,2016-01-22T23:07:25.750Z,CMC0.1deg-CMC-L4-GLOB-v3.0,20160110120000-CMC-L4_GHRSST-SSTfnd-CMC0.1deg-GLOB-v02.0-fv03.0.nc,7.051749229431152,,Unspecified,2016-01-10T00:00:00.000Z,2016-01-11T00:00:00.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
