cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1657571237-PODAAC,20140304000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140304v8.2-v02.0-fv01.0.nc,PODAAC,1,2019-11-18T19:17:07Z,2017-09-06T16:45:14.522Z,GMI-REMSS-L3U-v8.2a,20140304000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140304v8.2-v02.0-fv01.0.nc,1.2467412948608398,,Unspecified,2014-03-04T00:00:00.000Z,2014-03-05T00:00:00.000Z,-70.0,70.0,-179.875,179.875,"POLYGON ((179.875 -70, 179.875 70, -179.875 70, -179.875 -70, 179.875 -70))"
granule,G1657565443-PODAAC,20140305000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140305v8.2-v02.0-fv01.0.nc,PODAAC,1,2019-11-18T19:06:18Z,2017-09-06T16:49:40.931Z,GMI-REMSS-L3U-v8.2a,20140305000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140305v8.2-v02.0-fv01.0.nc,3.9920120239257812,,Unspecified,2014-03-05T00:00:00.000Z,2014-03-06T00:00:00.000Z,-70.0,70.0,-179.875,179.875,"POLYGON ((179.875 -70, 179.875 70, -179.875 70, -179.875 -70, 179.875 -70))"
granule,G1657563780-PODAAC,20140306000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140306v8.2-v02.0-fv01.0.nc,PODAAC,1,2019-11-18T19:03:19Z,2017-09-06T16:45:35.479Z,GMI-REMSS-L3U-v8.2a,20140306000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140306v8.2-v02.0-fv01.0.nc,3.9795150756835938,,Unspecified,2014-03-06T00:00:00.000Z,2014-03-07T00:00:00.000Z,-70.0,70.0,-179.875,179.875,"POLYGON ((179.875 -70, 179.875 70, -179.875 70, -179.875 -70, 179.875 -70))"
granule,G1657572185-PODAAC,20140307000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140307v8.2-v02.0-fv01.0.nc,PODAAC,1,2019-11-18T19:18:26Z,2017-09-06T16:51:04.183Z,GMI-REMSS-L3U-v8.2a,20140307000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140307v8.2-v02.0-fv01.0.nc,3.996676445007324,,Unspecified,2014-03-07T00:00:00.000Z,2014-03-08T00:00:00.000Z,-70.0,70.0,-179.875,179.875,"POLYGON ((179.875 -70, 179.875 70, -179.875 70, -179.875 -70, 179.875 -70))"
granule,G1657564340-PODAAC,20140308000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140308v8.2-v02.0-fv01.0.nc,PODAAC,1,2019-11-18T19:04:17Z,2017-09-06T16:43:25.214Z,GMI-REMSS-L3U-v8.2a,20140308000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140308v8.2-v02.0-fv01.0.nc,4.007861137390137,,Unspecified,2014-03-08T00:00:00.000Z,2014-03-09T00:00:00.000Z,-70.0,70.0,-179.875,179.875,"POLYGON ((179.875 -70, 179.875 70, -179.875 70, -179.875 -70, 179.875 -70))"
granule,G1657568926-PODAAC,20140309000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140309v8.2-v02.0-fv01.0.nc,PODAAC,1,2019-11-18T19:12:35Z,2017-09-06T16:57:36.803Z,GMI-REMSS-L3U-v8.2a,20140309000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140309v8.2-v02.0-fv01.0.nc,3.9882097244262695,,Unspecified,2014-03-09T00:00:00.000Z,2014-03-10T00:00:00.000Z,-70.0,70.0,-179.875,179.875,"POLYGON ((179.875 -70, 179.875 70, -179.875 70, -179.875 -70, 179.875 -70))"
granule,G1657563347-PODAAC,20140310000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140310v8.2-v02.0-fv01.0.nc,PODAAC,1,2019-11-18T19:02:35Z,2017-09-06T16:44:39.314Z,GMI-REMSS-L3U-v8.2a,20140310000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140310v8.2-v02.0-fv01.0.nc,4.007917404174805,,Unspecified,2014-03-10T00:00:00.000Z,2014-03-11T00:00:00.000Z,-70.0,70.0,-179.875,179.875,"POLYGON ((179.875 -70, 179.875 70, -179.875 70, -179.875 -70, 179.875 -70))"
granule,G1657571816-PODAAC,20140311000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140311v8.2-v02.0-fv01.0.nc,PODAAC,1,2019-11-18T19:17:34Z,2017-09-06T16:49:45.536Z,GMI-REMSS-L3U-v8.2a,20140311000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140311v8.2-v02.0-fv01.0.nc,3.9409618377685547,,Unspecified,2014-03-11T00:00:00.000Z,2014-03-12T00:00:00.000Z,-70.0,70.0,-179.875,179.875,"POLYGON ((179.875 -70, 179.875 70, -179.875 70, -179.875 -70, 179.875 -70))"
granule,G1657559869-PODAAC,20140312000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140312v8.2-v02.0-fv01.0.nc,PODAAC,1,2019-11-18T18:57:18Z,2017-12-01T00:44:23.742Z,GMI-REMSS-L3U-v8.2a,20140312000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140312v8.2-v02.0-fv01.0.nc,3.655379295349121,,Unspecified,2014-03-12T00:00:00.000Z,2014-03-12T21:48:00.000Z,-70.0,70.0,-179.875,179.875,"POLYGON ((179.875 -70, 179.875 70, -179.875 70, -179.875 -70, 179.875 -70))"
granule,G1657559101-PODAAC,20140314000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140314v8.2-v02.0-fv01.0.nc,PODAAC,1,2019-11-18T18:55:50Z,2017-12-01T00:43:15.409Z,GMI-REMSS-L3U-v8.2a,20140314000000-REMSS-L3U_GHRSST-SSTsubskin-GMI-f35_20140314v8.2-v02.0-fv01.0.nc,3.441464424133301,,Unspecified,2014-03-14T03:24:00.000Z,2014-03-14T23:59:44.000Z,-70.0,70.0,-179.875,179.875,"POLYGON ((179.875 -70, 179.875 70, -179.875 70, -179.875 -70, 179.875 -70))"
