cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1658082073-PODAAC,20100401000000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_000000-v02.0-fv01.0.nc,PODAAC,16,2020-03-18T20:38:07Z,2015-06-16T07:55:14.501Z,GOES13-OSISAF-L3C-v1.0,20100401000000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_000000-v02.0-fv01.0.nc,1.1056833267211914,,Unspecified,2010-04-01T00:00:00.000Z,2010-04-01T00:59:59.000Z,-60.0,60.0,-135.0,-15.0,"POLYGON ((-15 -60, -15 60, -135 60, -135 -60, -15 -60))"
granule,G1658087961-PODAAC,20100401010000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_010000-v02.0-fv01.0.nc,PODAAC,17,2020-03-19T11:57:56Z,2015-06-16T10:20:14.868Z,GOES13-OSISAF-L3C-v1.0,20100401010000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_010000-v02.0-fv01.0.nc,1.4583797454833984,,Unspecified,2010-04-01T01:00:00.000Z,2010-04-01T01:59:59.000Z,-60.0,60.0,-135.0,-15.0,"POLYGON ((-15 -60, -15 60, -135 60, -135 -60, -15 -60))"
granule,G1658086430-PODAAC,20100401020000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_020000-v02.0-fv01.0.nc,PODAAC,18,2020-03-19T10:56:15Z,2015-06-16T09:44:25.484Z,GOES13-OSISAF-L3C-v1.0,20100401020000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_020000-v02.0-fv01.0.nc,1.4852657318115234,,Unspecified,2010-04-01T02:00:00.000Z,2010-04-01T02:59:59.000Z,-60.0,60.0,-135.0,-15.0,"POLYGON ((-15 -60, -15 60, -135 60, -135 -60, -15 -60))"
granule,G1658085117-PODAAC,20100401030000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_030000-v02.0-fv01.0.nc,PODAAC,18,2020-03-19T08:58:20Z,2015-06-16T09:08:01.839Z,GOES13-OSISAF-L3C-v1.0,20100401030000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_030000-v02.0-fv01.0.nc,1.2524967193603516,,Unspecified,2010-04-01T03:00:00.000Z,2010-04-01T03:59:59.000Z,-60.0,60.0,-135.0,-15.0,"POLYGON ((-15 -60, -15 60, -135 60, -135 -60, -15 -60))"
granule,G1658088298-PODAAC,20100401040000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_040000-v02.0-fv01.0.nc,PODAAC,18,2020-03-19T11:58:57Z,2015-06-16T10:36:14.257Z,GOES13-OSISAF-L3C-v1.0,20100401040000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_040000-v02.0-fv01.0.nc,1.126032829284668,,Unspecified,2010-04-01T04:00:00.000Z,2010-04-01T04:59:59.000Z,-60.0,60.0,-135.0,-15.0,"POLYGON ((-15 -60, -15 60, -135 60, -135 -60, -15 -60))"
granule,G1658087033-PODAAC,20100401050000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_050000-v02.0-fv01.0.nc,PODAAC,18,2020-03-19T10:57:30Z,2015-06-16T10:00:33.108Z,GOES13-OSISAF-L3C-v1.0,20100401050000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_050000-v02.0-fv01.0.nc,0.32701587677001953,,Unspecified,2010-04-01T05:00:00.000Z,2010-04-01T05:59:59.000Z,-60.0,60.0,-135.0,-15.0,"POLYGON ((-15 -60, -15 60, -135 60, -135 -60, -15 -60))"
granule,G1658095613-PODAAC,20100401060000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_060000-v02.0-fv01.0.nc,PODAAC,17,2020-03-19T16:33:45Z,2015-06-16T14:15:04.544Z,GOES13-OSISAF-L3C-v1.0,20100401060000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_060000-v02.0-fv01.0.nc,0.32701587677001953,,Unspecified,2010-04-01T06:00:00.000Z,2010-04-01T06:59:59.000Z,-60.0,60.0,-135.0,-15.0,"POLYGON ((-15 -60, -15 60, -135 60, -135 -60, -15 -60))"
granule,G1658093496-PODAAC,20100401070000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_070000-v02.0-fv01.0.nc,PODAAC,17,2020-03-19T11:19:28Z,2015-06-16T13:20:50.292Z,GOES13-OSISAF-L3C-v1.0,20100401070000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_070000-v02.0-fv01.0.nc,1.3376035690307617,,Unspecified,2010-04-01T07:00:00.000Z,2010-04-01T07:59:59.000Z,-60.0,60.0,-135.0,-15.0,"POLYGON ((-15 -60, -15 60, -135 60, -135 -60, -15 -60))"
granule,G1658083613-PODAAC,20100401080000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_080000-v02.0-fv01.0.nc,PODAAC,18,2020-03-19T06:58:18Z,2015-06-16T08:32:38.325Z,GOES13-OSISAF-L3C-v1.0,20100401080000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_080000-v02.0-fv01.0.nc,1.249624252319336,,Unspecified,2010-04-01T08:00:00.000Z,2010-04-01T08:59:59.000Z,-60.0,60.0,-135.0,-15.0,"POLYGON ((-15 -60, -15 60, -135 60, -135 -60, -15 -60))"
granule,G1658093708-PODAAC,20100401090000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_090000-v02.0-fv01.0.nc,PODAAC,17,2020-03-19T10:23:35Z,2015-06-16T13:23:13.271Z,GOES13-OSISAF-L3C-v1.0,20100401090000-OSISAF-L3C_GHRSST-SSTsubskin-GOES13-ssteqc_goes13_20100401_090000-v02.0-fv01.0.nc,1.104135513305664,,Unspecified,2010-04-01T09:00:00.000Z,2010-04-01T09:59:59.000Z,-60.0,60.0,-135.0,-15.0,"POLYGON ((-15 -60, -15 60, -135 60, -135 -60, -15 -60))"
