cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1667976049-PODAAC,20130801130900-OSPO-L2P_GHRSST-SSTskin-GOES13-South-v02.0-fv01.0.nc,PODAAC,1,2019-12-13T01:21:50Z,2013-08-16T22:18:04.594Z,GOES13-OSPO-L2P-v1.0,20130801130900-OSPO-L2P_GHRSST-SSTskin-GOES13-South-v02.0-fv01.0.nc,14.736807823181152,,Unspecified,2013-08-01T13:09:00.000Z,2013-08-01T13:13:48.000Z,-45.86,-20.105,-150.327,-0.396,"POLYGON ((-0.396 -45.86, -0.396 -20.105, -150.327 -20.105, -150.327 -45.86, -0.396 -45.86))"
granule,G1666651948-PODAAC,20130801131500-OSPO-L2P_GHRSST-SSTskin-GOES13-North-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T20:23:30Z,2013-08-16T20:37:54.548Z,GOES13-OSPO-L2P-v1.0,20130801131500-OSPO-L2P_GHRSST-SSTskin-GOES13-North-v02.0-fv01.0.nc,41.940842628479004,,Unspecified,2013-08-01T13:15:00.000Z,2013-08-01T13:29:18.000Z,-19.583,66.213,-150.249,-0.039,"POLYGON ((-0.039 -19.583, -0.039 66.21299999999999, -150.249 66.21299999999999, -150.249 -19.583, -0.039 -19.583))"
granule,G1666651935-PODAAC,20130801133900-OSPO-L2P_GHRSST-SSTskin-GOES13-South-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T20:23:26Z,2013-08-16T20:37:38.412Z,GOES13-OSPO-L2P-v1.0,20130801133900-OSPO-L2P_GHRSST-SSTskin-GOES13-South-v02.0-fv01.0.nc,14.751913070678711,,Unspecified,2013-08-01T13:39:00.000Z,2013-08-01T13:43:48.000Z,-45.86,-20.105,-150.327,-0.396,"POLYGON ((-0.396 -45.86, -0.396 -20.105, -150.327 -20.105, -150.327 -45.86, -0.396 -45.86))"
granule,G1666652070-PODAAC,20130801134500-OSPO-L2P_GHRSST-SSTskin-GOES13-North-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T20:24:00Z,2013-08-16T20:55:08.365Z,GOES13-OSPO-L2P-v1.0,20130801134500-OSPO-L2P_GHRSST-SSTskin-GOES13-North-v02.0-fv01.0.nc,42.12706756591797,,Unspecified,2013-08-01T13:45:00.000Z,2013-08-01T13:59:18.000Z,-19.583,66.213,-150.249,-0.039,"POLYGON ((-0.039 -19.583, -0.039 66.21299999999999, -150.249 66.21299999999999, -150.249 -19.583, -0.039 -19.583))"
granule,G1666652167-PODAAC,20130801140900-OSPO-L2P_GHRSST-SSTskin-GOES13-South-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T20:24:25Z,2013-08-16T21:12:50.198Z,GOES13-OSPO-L2P-v1.0,20130801140900-OSPO-L2P_GHRSST-SSTskin-GOES13-South-v02.0-fv01.0.nc,14.739625930786133,,Unspecified,2013-08-01T14:09:00.000Z,2013-08-01T14:13:48.000Z,-45.86,-20.105,-150.327,-0.396,"POLYGON ((-0.396 -45.86, -0.396 -20.105, -150.327 -20.105, -150.327 -45.86, -0.396 -45.86))"
granule,G1666651997-PODAAC,20130801141500-OSPO-L2P_GHRSST-SSTskin-GOES13-North-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T20:23:45Z,2013-08-16T20:54:02.761Z,GOES13-OSPO-L2P-v1.0,20130801141500-OSPO-L2P_GHRSST-SSTskin-GOES13-North-v02.0-fv01.0.nc,42.25835609436035,,Unspecified,2013-08-01T14:15:00.000Z,2013-08-01T14:29:18.000Z,-19.583,66.213,-150.249,-0.039,"POLYGON ((-0.039 -19.583, -0.039 66.21299999999999, -150.249 66.21299999999999, -150.249 -19.583, -0.039 -19.583))"
granule,G1666651967-PODAAC,20130801143900-OSPO-L2P_GHRSST-SSTskin-GOES13-South-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T20:23:37Z,2013-08-16T20:38:19.228Z,GOES13-OSPO-L2P-v1.0,20130801143900-OSPO-L2P_GHRSST-SSTskin-GOES13-South-v02.0-fv01.0.nc,14.689106941223145,,Unspecified,2013-08-01T14:39:00.000Z,2013-08-01T14:43:48.000Z,-45.86,-20.105,-150.327,-0.396,"POLYGON ((-0.396 -45.86, -0.396 -20.105, -150.327 -20.105, -150.327 -45.86, -0.396 -45.86))"
granule,G1666651878-PODAAC,20130801144500-OSPO-L2P_GHRSST-SSTskin-GOES13-South-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T20:23:10Z,2013-08-16T20:21:49.799Z,GOES13-OSPO-L2P-v1.0,20130801144500-OSPO-L2P_GHRSST-SSTskin-GOES13-South-v02.0-fv01.0.nc,15.43877124786377,,Unspecified,2013-08-01T14:45:00.000Z,2013-08-01T14:49:48.000Z,-48.828,-20.105,-150.327,-0.396,"POLYGON ((-0.396 -48.828, -0.396 -20.105, -150.327 -20.105, -150.327 -48.828, -0.396 -48.828))"
granule,G1667976005-PODAAC,20130801144500-OSPO-L2P_GHRSST-SSTskin-GOES13-North-v02.0-fv01.0.nc,PODAAC,1,2019-12-13T01:21:42Z,2013-08-16T22:17:21.276Z,GOES13-OSPO-L2P-v1.0,20130801144500-OSPO-L2P_GHRSST-SSTskin-GOES13-North-v02.0-fv01.0.nc,42.42141342163086,,Unspecified,2013-08-01T14:45:00.000Z,2013-08-01T14:59:18.000Z,-19.424,66.213,-150.249,-0.039,"POLYGON ((-0.039 -19.424, -0.039 66.21299999999999, -150.249 66.21299999999999, -150.249 -19.424, -0.039 -19.424))"
granule,G1666652137-PODAAC,20130801151500-OSPO-L2P_GHRSST-SSTskin-GOES13-North-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T20:24:18Z,2013-08-16T21:11:51.869Z,GOES13-OSPO-L2P-v1.0,20130801151500-OSPO-L2P_GHRSST-SSTskin-GOES13-North-v02.0-fv01.0.nc,42.70406627655029,,Unspecified,2013-08-01T15:15:00.000Z,2013-08-01T15:29:18.000Z,-19.583,66.213,-150.249,-0.039,"POLYGON ((-0.039 -19.583, -0.039 66.21299999999999, -150.249 66.21299999999999, -150.249 -19.583, -0.039 -19.583))"
granule,G1667976062-PODAAC,20130801154500-OSPO-L2P_GHRSST-SSTskin-GOES13-North-v02.0-fv01.0.nc,PODAAC,1,2019-12-13T01:21:52Z,2013-08-16T22:18:28.903Z,GOES13-OSPO-L2P-v1.0,20130801154500-OSPO-L2P_GHRSST-SSTskin-GOES13-North-v02.0-fv01.0.nc,42.82050895690918,,Unspecified,2013-08-01T15:45:00.000Z,2013-08-01T15:59:18.000Z,-19.583,66.213,-150.249,-0.039,"POLYGON ((-0.039 -19.583, -0.039 66.21299999999999, -150.249 66.21299999999999, -150.249 -19.583, -0.039 -19.583))"
granule,G1667975926-PODAAC,20130801160900-OSPO-L2P_GHRSST-SSTskin-GOES13-South-v02.0-fv01.0.nc,PODAAC,1,2019-12-13T01:21:29Z,2013-08-16T22:01:42.560Z,GOES13-OSPO-L2P-v1.0,20130801160900-OSPO-L2P_GHRSST-SSTskin-GOES13-South-v02.0-fv01.0.nc,14.62802791595459,,Unspecified,2013-08-01T16:09:00.000Z,2013-08-01T16:13:48.000Z,-45.86,-20.105,-150.327,-0.396,"POLYGON ((-0.396 -45.86, -0.396 -20.105, -150.327 -20.105, -150.327 -45.86, -0.396 -45.86))"
granule,G1666652075-PODAAC,20130801161500-OSPO-L2P_GHRSST-SSTskin-GOES13-North-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T20:24:01Z,2013-08-16T20:55:08.801Z,GOES13-OSPO-L2P-v1.0,20130801161500-OSPO-L2P_GHRSST-SSTskin-GOES13-North-v02.0-fv01.0.nc,42.90300750732422,,Unspecified,2013-08-01T16:15:00.000Z,2013-08-01T16:29:18.000Z,-19.583,66.213,-150.249,-0.039,"POLYGON ((-0.039 -19.583, -0.039 66.21299999999999, -150.249 66.21299999999999, -150.249 -19.583, -0.039 -19.583))"
