cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1660201356-PODAAC,20160107113555-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160107_113555_17144-v02.0-fv01.0.nc,PODAAC,1,2019-11-24T22:36:41Z,2016-01-30T01:52:47.464Z,IASI_SST_METOP_B-OSISAF-L2P-v1.0,20160107113555-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160107_113555_17144-v02.0-fv01.0.nc,0.12061405181884766,,Unspecified,2016-01-07T11:35:55.000Z,2016-01-07T11:38:51.000Z,55.652,71.728,-36.124,12.677,"POLYGON ((12.677 55.652, 12.677 71.72799999999999, -36.124 71.72799999999999, -36.124 55.652, 12.677 55.652))"
granule,G1660195661-PODAAC,20160119072657-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_072657_17313-v02.0-fv01.0.nc,PODAAC,1,2019-11-24T22:06:26Z,2016-01-29T17:54:44.561Z,IASI_SST_METOP_B-OSISAF-L2P-v1.0,20160119072657-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_072657_17313-v02.0-fv01.0.nc,0.11787223815917969,,Unspecified,2016-01-19T07:26:57.000Z,2016-01-19T07:29:45.000Z,47.22,61.983,25.768,62.596,"POLYGON ((62.596 47.22, 62.596 61.983, 25.768 61.983, 25.768 47.22, 62.596 47.22))"
granule,G1660183713-PODAAC,20160119072953-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_072953_17313-v02.0-fv01.0.nc,PODAAC,1,2019-11-24T21:06:35Z,2016-01-29T02:02:02.984Z,IASI_SST_METOP_B-OSISAF-L2P-v1.0,20160119072953-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_072953_17313-v02.0-fv01.0.nc,0.11873626708984375,,Unspecified,2016-01-19T07:29:53.000Z,2016-01-19T07:32:49.000Z,37.097,51.813,24.342,54.094,"POLYGON ((54.094 37.097, 54.094 51.813, 24.342 51.813, 24.342 37.097, 54.094 37.097))"
granule,G1660188358-PODAAC,20160119073257-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_073257_17313-v02.0-fv01.0.nc,PODAAC,1,2019-11-24T21:28:40Z,2016-01-29T07:59:59.118Z,IASI_SST_METOP_B-OSISAF-L2P-v1.0,20160119073257-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_073257_17313-v02.0-fv01.0.nc,0.11921024322509766,,Unspecified,2016-01-19T07:32:57.000Z,2016-01-19T07:35:45.000Z,27.152,41.154,22.794,48.072,"POLYGON ((48.072 27.152, 48.072 41.154, 22.794 41.154, 22.794 27.152, 48.072 27.152))"
granule,G1660186172-PODAAC,20160119073553-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_073553_17313-v02.0-fv01.0.nc,PODAAC,1,2019-11-24T21:18:41Z,2016-01-29T05:11:13.812Z,IASI_SST_METOP_B-OSISAF-L2P-v1.0,20160119073553-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_073553_17313-v02.0-fv01.0.nc,0.11935234069824219,,Unspecified,2016-01-19T07:35:53.000Z,2016-01-19T07:38:49.000Z,16.6,30.932,20.983,43.838,"POLYGON ((43.838 16.6, 43.838 30.932, 20.983 30.932, 20.983 16.6, 43.838 16.6))"
granule,G1660191330-PODAAC,20160119073857-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_073857_17313-v02.0-fv01.0.nc,PODAAC,1,2019-11-24T21:42:56Z,2016-01-29T11:30:56.278Z,IASI_SST_METOP_B-OSISAF-L2P-v1.0,20160119073857-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_073857_17313-v02.0-fv01.0.nc,0.1181173324584961,,Unspecified,2016-01-19T07:38:57.000Z,2016-01-19T07:41:45.000Z,6.421,20.229,19.046,40.367,"POLYGON ((40.367 6.421, 40.367 20.229, 19.046 20.229, 19.046 6.421, 40.367 6.421))"
granule,G1660182310-PODAAC,20160119074153-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_074153_17313-v02.0-fv01.0.nc,PODAAC,1,2019-11-24T20:59:03Z,2016-01-29T00:02:38.894Z,IASI_SST_METOP_B-OSISAF-L2P-v1.0,20160119074153-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_074153_17313-v02.0-fv01.0.nc,0.11908245086669922,,Unspecified,2016-01-19T07:41:53.000Z,2016-01-19T07:44:49.000Z,-4.272,9.987,16.754,37.636,"POLYGON ((37.636 -4.272, 37.636 9.987, 16.754 9.987, 16.754 -4.272, 37.636 -4.272))"
granule,G1660203295-PODAAC,20160119074457-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_074457_17313-v02.0-fv01.0.nc,PODAAC,1,2019-11-24T22:47:30Z,2016-01-30T04:50:03.589Z,IASI_SST_METOP_B-OSISAF-L2P-v1.0,20160119074457-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_074457_17313-v02.0-fv01.0.nc,0.1182546615600586,,Unspecified,2016-01-19T07:44:57.000Z,2016-01-19T07:47:45.000Z,-14.512,-0.708,14.238,35.209,"POLYGON ((35.209 -14.512, 35.209 -0.708, 14.238 -0.708, 14.238 -14.512, 35.209 -14.512))"
granule,G1660194846-PODAAC,20160119074753-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_074753_17313-v02.0-fv01.0.nc,PODAAC,1,2019-11-24T22:01:51Z,2016-01-29T16:41:32.118Z,IASI_SST_METOP_B-OSISAF-L2P-v1.0,20160119074753-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_074753_17313-v02.0-fv01.0.nc,0.11804389953613281,,Unspecified,2016-01-19T07:47:53.000Z,2016-01-19T07:50:49.000Z,-25.214,-10.9,11.095,33.182,"POLYGON ((33.182 -25.214, 33.182 -10.9, 11.095 -10.9, 11.095 -25.214, 33.182 -25.214))"
granule,G1660188678-PODAAC,20160119075057-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_075057_17313-v02.0-fv01.0.nc,PODAAC,1,2019-11-24T21:30:13Z,2016-01-29T08:26:35.197Z,IASI_SST_METOP_B-OSISAF-L2P-v1.0,20160119075057-OSISAF-L2P_GHRSST-SSTskin-IASI_SST_METOP_B-sstiasi_metop01_20160119_075057_17313-v02.0-fv01.0.nc,0.11958122253417969,,Unspecified,2016-01-19T07:50:57.000Z,2016-01-19T07:53:45.000Z,-35.426,-21.478,7.376,31.3,"POLYGON ((31.3 -35.426, 31.3 -21.478, 7.376 -21.478, 7.376 -35.426, 31.3 -35.426))"
