cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1650334034-PODAAC,20100609-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,PODAAC,1,2019-11-01T19:17:54Z,2010-06-23T01:13:20.986Z,JPL_OUROCEAN-L4UHfnd-GLOB-G1SST,20100609-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,117.95843029022217,,Unspecified,2010-06-09T00:00:00.000Z,2010-06-10T00:00:00.000Z,-80.0,80.0,-180.0,180.0,"POLYGON ((180 -80, 180 80, -180 80, -180 -80, 180 -80))"
granule,G1650334022-PODAAC,20100621-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,PODAAC,1,2019-11-01T19:17:46Z,2010-06-28T20:54:34.977Z,JPL_OUROCEAN-L4UHfnd-GLOB-G1SST,20100621-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,117.35782527923584,,Unspecified,2010-06-21T00:00:00.000Z,2010-06-22T00:00:00.000Z,-80.0,80.0,-180.0,180.0,"POLYGON ((180 -80, 180 80, -180 80, -180 -80, 180 -80))"
granule,G1650334028-PODAAC,20100622-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,PODAAC,1,2019-11-01T19:17:50Z,2010-06-28T20:54:44.025Z,JPL_OUROCEAN-L4UHfnd-GLOB-G1SST,20100622-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,117.64079570770264,,Unspecified,2010-06-22T00:00:00.000Z,2010-06-23T00:00:00.000Z,-80.0,80.0,-180.0,180.0,"POLYGON ((180 -80, 180 80, -180 80, -180 -80, 180 -80))"
granule,G1650334024-PODAAC,20100623-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,PODAAC,1,2019-11-01T19:17:47Z,2010-06-28T20:54:51.886Z,JPL_OUROCEAN-L4UHfnd-GLOB-G1SST,20100623-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,118.14203357696533,,Unspecified,2010-06-23T00:00:00.000Z,2010-06-24T00:00:00.000Z,-80.0,80.0,-180.0,180.0,"POLYGON ((180 -80, 180 80, -180 80, -180 -80, 180 -80))"
granule,G1650334030-PODAAC,20100624-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,PODAAC,1,2019-11-01T19:17:51Z,2010-06-28T21:53:33.066Z,JPL_OUROCEAN-L4UHfnd-GLOB-G1SST,20100624-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,119.86807823181152,,Unspecified,2010-06-24T00:00:00.000Z,2010-06-25T00:00:00.000Z,-80.0,80.0,-180.0,180.0,"POLYGON ((180 -80, 180 80, -180 80, -180 -80, 180 -80))"
granule,G1650334020-PODAAC,20100625-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,PODAAC,1,2019-11-01T19:17:44Z,2010-06-29T20:35:22.759Z,JPL_OUROCEAN-L4UHfnd-GLOB-G1SST,20100625-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,120.0828914642334,,Unspecified,2010-06-25T00:00:00.000Z,2010-06-26T00:00:00.000Z,-80.0,80.0,-180.0,180.0,"POLYGON ((180 -80, 180 80, -180 80, -180 -80, 180 -80))"
granule,G1650334026-PODAAC,20100626-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,PODAAC,1,2019-11-01T19:17:48Z,2010-06-30T19:00:19.269Z,JPL_OUROCEAN-L4UHfnd-GLOB-G1SST,20100626-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,121.07427597045898,,Unspecified,2010-06-26T00:00:00.000Z,2010-06-27T00:00:00.000Z,-80.0,80.0,-180.0,180.0,"POLYGON ((180 -80, 180 80, -180 80, -180 -80, 180 -80))"
granule,G1650334036-PODAAC,20100627-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,PODAAC,1,2019-11-01T19:17:55Z,2010-07-01T17:01:41.441Z,JPL_OUROCEAN-L4UHfnd-GLOB-G1SST,20100627-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,121.25143241882324,,Unspecified,2010-06-27T00:00:00.000Z,2010-06-28T00:00:00.000Z,-80.0,80.0,-180.0,180.0,"POLYGON ((180 -80, 180 80, -180 80, -180 -80, 180 -80))"
granule,G1650334038-PODAAC,20100628-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,PODAAC,1,2019-11-01T19:17:57Z,2010-07-05T19:24:28.820Z,JPL_OUROCEAN-L4UHfnd-GLOB-G1SST,20100628-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,122.58422756195068,,Unspecified,2010-06-28T00:00:00.000Z,2010-06-29T00:00:00.000Z,-80.0,80.0,-180.0,180.0,"POLYGON ((180 -80, 180 80, -180 80, -180 -80, 180 -80))"
granule,G1650334032-PODAAC,20100629-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,PODAAC,1,2019-11-01T19:17:53Z,2010-07-05T19:27:33.341Z,JPL_OUROCEAN-L4UHfnd-GLOB-G1SST,20100629-JPL_OUROCEAN-L4UHfnd-GLOB-v01-fv01_0-G1SST.nc,124.39019966125488,,Unspecified,2010-06-29T00:00:00.000Z,2010-06-30T00:00:00.000Z,-80.0,80.0,-180.0,180.0,"POLYGON ((180 -80, 180 80, -180 80, -180 -80, 180 -80))"
