cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1667823428-PODAAC,20020704000000-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-12T15:49:52Z,2017-04-05T22:12:55.570Z,MODIS_A-JPL-L2P-v2014.0,20020704000000-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,20.576359748840332,,Unspecified,2002-07-04T00:00:15.000Z,2002-07-04T00:05:03.000Z,26.685,47.471,15.016,46.31,"POLYGON ((46.31 26.685, 46.31 47.471, 15.016 47.471, 15.016 26.685, 46.31 26.685))"
granule,G1667823363-PODAAC,20020704000500-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-12T15:49:45Z,2018-09-12T17:13:09.143Z,MODIS_A-JPL-L2P-v2014.0,20020704000500-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,17.32115936279297,,Unspecified,2002-07-04T00:05:06.000Z,2002-07-04T00:10:05.000Z,9.006,30.064,12.154,38.444,"POLYGON ((38.444 9.006, 38.444 30.064, 12.154 30.064, 12.154 9.006, 38.444 9.006))"
granule,G1667823257-PODAAC,20020704001000-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-12T15:49:32Z,2017-04-05T22:12:45.379Z,MODIS_A-JPL-L2P-v2014.0,20020704001000-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,18.02434253692627,,Unspecified,2002-07-04T00:10:06.000Z,2002-07-04T00:15:05.000Z,-8.82,12.126,8.424,33.172,"POLYGON ((33.172 -8.82, 33.172 12.126, 8.423999999999999 12.126, 8.423999999999999 -8.82, 33.172 -8.82))"
granule,G1667823243-PODAAC,20020704001500-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-12T15:49:29Z,2017-04-05T22:12:44.230Z,MODIS_A-JPL-L2P-v2014.0,20020704001500-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,19.446561813354492,,Unspecified,2002-07-04T00:15:06.000Z,2002-07-04T00:20:04.000Z,-26.717,-5.711,3.366,29.365,"POLYGON ((29.365 -26.717, 29.365 -5.711, 3.366 -5.711, 3.366 -26.717, 29.365 -26.717))"
granule,G1667822990-PODAAC,20020704002000-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-12T15:48:57Z,2017-04-05T22:12:30.817Z,MODIS_A-JPL-L2P-v2014.0,20020704002000-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,26.675528526306152,,Unspecified,2002-07-04T00:20:06.000Z,2002-07-04T00:25:04.000Z,-44.589,-23.305,-4.205,26.505,"POLYGON ((26.505 -44.589, 26.505 -23.305, -4.205 -23.305, -4.205 -44.589, 26.505 -44.589))"
granule,G1667823175-PODAAC,20020704002500-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-12T15:49:19Z,2017-04-05T22:12:37.284Z,MODIS_A-JPL-L2P-v2014.0,20020704002500-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,28.157146453857422,,Unspecified,2002-07-04T00:25:06.000Z,2002-07-04T00:30:04.000Z,-62.406,-40.386,-17.698,24.515,"POLYGON ((24.515 -62.406, 24.515 -40.386, -17.698 -40.386, -17.698 -62.406, 24.515 -62.406))"
granule,G1667823472-PODAAC,20020704003000-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-12T15:49:59Z,2017-04-05T22:13:03.821Z,MODIS_A-JPL-L2P-v2014.0,20020704003000-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,23.715717315673828,,Unspecified,2002-07-04T00:30:06.000Z,2002-07-04T00:35:04.000Z,-80.236,-56.302,-47.629,31.806,"POLYGON ((31.806 -80.236, 31.806 -56.302, -47.629 -56.302, -47.629 -80.236, 31.806 -80.236))"
granule,G1667823158-PODAAC,20020704003500-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-12T15:49:17Z,2017-04-05T22:12:36.383Z,MODIS_A-JPL-L2P-v2014.0,20020704003500-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,18.311083793640137,,Unspecified,2002-07-04T00:35:06.000Z,2002-07-04T00:40:04.000Z,-89.996,-68.554,113.09,180.0,"POLYGON ((180 -89.996, 180 -68.554, 113.09 -68.554, 113.09 -89.996, 180 -89.996))"
granule,G1667823235-PODAAC,20020704004000-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-12T15:49:28Z,2018-09-12T17:14:15.826Z,MODIS_A-JPL-L2P-v2014.0,20020704004000-JPL-L2P_GHRSST-SSTskin-MODIS_A-N-v02.0-fv01.0.nc,20.250354766845703,,Unspecified,2002-07-04T00:40:05.000Z,2002-07-04T00:45:04.000Z,-81.984,-57.758,173.666,180.0,"POLYGON ((180 -81.98399999999999, 180 -57.758, 173.666 -57.758, 173.666 -81.98399999999999, 180 -81.98399999999999))"
granule,G1667823444-PODAAC,20020704004000-JPL-L2P_GHRSST-SSTskin-MODIS_A-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-12T15:49:55Z,2018-09-12T17:13:03.696Z,MODIS_A-JPL-L2P-v2014.0,20020704004000-JPL-L2P_GHRSST-SSTskin-MODIS_A-D-v02.0-fv01.0.nc,20.250354766845703,,Unspecified,2002-07-04T00:40:05.000Z,2002-07-04T00:45:04.000Z,-81.984,-57.758,173.666,180.0,"POLYGON ((180 -81.98399999999999, 180 -57.758, 173.666 -57.758, 173.666 -81.98399999999999, 180 -81.98399999999999))"
