cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1674392257-PODAAC,20000224000000-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-19T04:06:59Z,2017-03-25T07:12:50.903Z,MODIS_T-JPL-L2P-v2014.0,20000224000000-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0.nc,18.060447692871094,,Unspecified,2000-02-24T00:00:06.000Z,2000-02-24T00:05:04.000Z,60.229,84.964,-95.041,7.194,"POLYGON ((7.194 60.229, 7.194 84.964, -95.041 84.964, -95.041 60.229, 7.194 60.229))"
granule,G1674392246-PODAAC,20000224000500-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-19T04:06:57Z,2017-05-09T12:58:38.564Z,MODIS_T-JPL-L2P-v2014.0,20000224000500-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0.nc,16.512885093688965,,Unspecified,2000-02-24T00:05:06.000Z,2000-02-24T00:10:04.000Z,67.146,89.991,79.462,180.0,"POLYGON ((180 67.146, 180 89.991, 79.462 89.991, 79.462 67.146, 180 67.146))"
granule,G1674392252-PODAAC,20000224000500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-19T04:06:58Z,2017-05-09T12:58:35.363Z,MODIS_T-JPL-L2P-v2014.0,20000224000500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,16.512885093688965,,Unspecified,2000-02-24T00:05:06.000Z,2000-02-24T00:10:04.000Z,67.146,89.991,79.462,180.0,"POLYGON ((180 67.146, 180 89.991, 79.462 89.991, 79.462 67.146, 180 67.146))"
granule,G1674392265-PODAAC,20000224001000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-19T04:07:00Z,2017-05-09T13:24:50.581Z,MODIS_T-JPL-L2P-v2014.0,20000224001000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,16.170198440551758,,Unspecified,2000-02-24T00:10:05.000Z,2000-02-24T00:15:04.000Z,53.766,77.201,146.432,180.0,"POLYGON ((180 53.766, 180 77.20099999999999, 146.432 77.20099999999999, 146.432 53.766, 180 53.766))"
granule,G1674392273-PODAAC,20000224001500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-19T04:07:01Z,2017-05-09T13:24:56.871Z,MODIS_T-JPL-L2P-v2014.0,20000224001500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,15.84749698638916,,Unspecified,2000-02-24T00:15:05.000Z,2000-02-24T00:20:04.000Z,37.482,59.324,149.311,180.0,"POLYGON ((180 37.482, 180 59.324, 149.311 59.324, 149.311 37.482, 180 37.482))"
granule,G1674392291-PODAAC,20000224002000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-19T04:07:04Z,2017-05-09T13:24:47.599Z,MODIS_T-JPL-L2P-v2014.0,20000224002000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,15.741179466247559,,Unspecified,2000-02-24T00:20:05.000Z,2000-02-24T00:25:04.000Z,20.233,41.459,147.043,176.199,"POLYGON ((176.199 20.233, 176.199 41.459, 147.043 41.459, 147.043 20.233, 176.199 20.233))"
granule,G1674392277-PODAAC,20000224002500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-19T04:07:02Z,2017-05-09T13:24:49.083Z,MODIS_T-JPL-L2P-v2014.0,20000224002500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,16.12893295288086,,Unspecified,2000-02-24T00:25:05.000Z,2000-02-24T00:30:05.000Z,2.473,23.547,143.928,169.266,"POLYGON ((169.266 2.473, 169.266 23.547, 143.928 23.547, 143.928 2.473, 169.266 2.473))"
granule,G1674392285-PODAAC,20000224003000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-19T04:07:03Z,2017-05-09T13:24:53.418Z,MODIS_T-JPL-L2P-v2014.0,20000224003000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,16.466940879821777,,Unspecified,2000-02-24T00:30:06.000Z,2000-02-24T00:35:05.000Z,-15.387,5.562,139.828,164.525,"POLYGON ((164.525 -15.387, 164.525 5.562, 139.828 5.562, 139.828 -15.387, 164.525 -15.387))"
granule,G1674392308-PODAAC,20000224003500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-19T04:07:06Z,2017-05-09T13:24:46.748Z,MODIS_T-JPL-L2P-v2014.0,20000224003500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,15.883177757263184,,Unspecified,2000-02-24T00:35:06.000Z,2000-02-24T00:40:05.000Z,-33.305,-12.215,134.091,161.019,"POLYGON ((161.019 -33.305, 161.019 -12.215, 134.091 -12.215, 134.091 -33.305, 161.019 -33.305))"
granule,G1674392295-PODAAC,20000224004000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-19T04:07:05Z,2017-05-09T13:24:45.752Z,MODIS_T-JPL-L2P-v2014.0,20000224004000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,15.704915046691895,,Unspecified,2000-02-24T00:40:06.000Z,2000-02-24T00:45:04.000Z,-51.193,-29.691,124.989,158.361,"POLYGON ((158.361 -51.193, 158.361 -29.691, 124.989 -29.691, 124.989 -51.193, 158.361 -51.193))"
granule,G1674392313-PODAAC,20000224004500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-19T04:07:07Z,2017-05-09T12:58:31.937Z,MODIS_T-JPL-L2P-v2014.0,20000224004500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,16.15756320953369,,Unspecified,2000-02-24T00:45:06.000Z,2000-02-24T00:50:04.000Z,-69.059,-46.518,107.278,157.097,"POLYGON ((157.097 -69.059, 157.097 -46.518, 107.278 -46.518, 107.278 -69.059, 157.097 -69.059))"
granule,G1674392303-PODAAC,20000224005000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-19T04:07:05Z,2017-05-09T12:58:33.136Z,MODIS_T-JPL-L2P-v2014.0,20000224005000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,16.59536075592041,,Unspecified,2000-02-24T00:50:06.000Z,2000-02-24T00:55:04.000Z,-86.941,-61.655,66.803,180.0,"POLYGON ((180 -86.941, 180 -61.655, 66.803 -61.655, 66.803 -86.941, 180 -86.941))"
granule,G1674392320-PODAAC,20000224005500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-19T04:07:08Z,2017-05-09T12:58:42.630Z,MODIS_T-JPL-L2P-v2014.0,20000224005500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0.nc,17.113115310668945,,Unspecified,2000-02-24T00:55:06.000Z,2000-02-24T01:00:04.000Z,-89.993,-65.977,-121.653,57.158,"POLYGON ((57.158 -89.99299999999999, 57.158 -65.977, -121.653 -65.977, -121.653 -89.99299999999999, 57.158 -89.99299999999999))"
granule,G1674392338-PODAAC,20000224005500-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-19T04:07:11Z,2017-05-09T12:58:29.151Z,MODIS_T-JPL-L2P-v2014.0,20000224005500-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0.nc,17.113115310668945,,Unspecified,2000-02-24T00:55:06.000Z,2000-02-24T01:00:04.000Z,-89.993,-65.977,-121.653,57.158,"POLYGON ((57.158 -89.99299999999999, 57.158 -65.977, -121.653 -65.977, -121.653 -89.99299999999999, 57.158 -89.99299999999999))"
granule,G1674392332-PODAAC,20000224010000-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-19T04:07:10Z,2017-03-25T07:17:39.563Z,MODIS_T-JPL-L2P-v2014.0,20000224010000-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0.nc,19.35025119781494,,Unspecified,2000-02-24T01:00:06.000Z,2000-02-24T01:05:04.000Z,-75.223,-52.092,-44.524,17.741,"POLYGON ((17.741 -75.223, 17.741 -52.092, -44.524 -52.092, -44.524 -75.223, 17.741 -75.223))"
