cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1658649534-PODAAC,19980101120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,PODAAC,1,2019-11-21T03:35:35Z,2017-11-29T05:40:08.862Z,MW_OI-REMSS-L4-GLOB-v5.0,19980101120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,0.5707130432128906,,Unspecified,1998-01-01T00:00:00.000Z,1998-01-01T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1658653939-PODAAC,19980102120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,PODAAC,1,2019-11-21T03:45:26Z,2017-11-29T05:51:30.950Z,MW_OI-REMSS-L4-GLOB-v5.0,19980102120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,0.5719404220581055,,Unspecified,1998-01-02T00:00:00.000Z,1998-01-02T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1658637044-PODAAC,19980103120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,PODAAC,1,2019-11-21T03:02:52Z,2017-11-29T05:06:36.737Z,MW_OI-REMSS-L4-GLOB-v5.0,19980103120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,0.5704565048217773,,Unspecified,1998-01-03T00:00:00.000Z,1998-01-03T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1658610010-PODAAC,19980104120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,PODAAC,1,2019-11-21T02:04:45Z,2017-11-29T06:04:20.700Z,MW_OI-REMSS-L4-GLOB-v5.0,19980104120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,0.5701322555541992,,Unspecified,1998-01-04T00:00:00.000Z,1998-01-04T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1658655636-PODAAC,19980105120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,PODAAC,1,2019-11-21T03:49:19Z,2017-11-29T05:56:08.314Z,MW_OI-REMSS-L4-GLOB-v5.0,19980105120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,0.5680685043334961,,Unspecified,1998-01-05T00:00:00.000Z,1998-01-05T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1658637094-PODAAC,19980106120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,PODAAC,1,2019-11-21T03:03:02Z,2017-11-29T05:06:52.012Z,MW_OI-REMSS-L4-GLOB-v5.0,19980106120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,0.5680522918701172,,Unspecified,1998-01-06T00:00:00.000Z,1998-01-06T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1658637022-PODAAC,19980107120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,PODAAC,1,2019-11-21T03:02:50Z,2017-11-29T05:06:31.578Z,MW_OI-REMSS-L4-GLOB-v5.0,19980107120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,0.5707588195800781,,Unspecified,1998-01-07T00:00:00.000Z,1998-01-07T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1658616668-PODAAC,19980108120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,PODAAC,1,2019-11-21T02:21:39Z,2017-11-29T05:06:31.803Z,MW_OI-REMSS-L4-GLOB-v5.0,19980108120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,0.5721664428710938,,Unspecified,1998-01-08T00:00:00.000Z,1998-01-08T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1658637080-PODAAC,19980109120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,PODAAC,1,2019-11-21T03:02:59Z,2017-11-29T05:06:53.484Z,MW_OI-REMSS-L4-GLOB-v5.0,19980109120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,0.5669956207275391,,Unspecified,1998-01-09T00:00:00.000Z,1998-01-09T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1658617671-PODAAC,19980110120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,PODAAC,1,2019-11-21T02:23:14Z,2017-11-29T05:06:53.359Z,MW_OI-REMSS-L4-GLOB-v5.0,19980110120000-REMSS-L4_GHRSST-SSTfnd-MW_OI-GLOB-v02.0-fv05.0.nc,0.5647802352905273,,Unspecified,1998-01-10T00:00:00.000Z,1998-01-10T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
