cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1655453021-PODAAC,20091005-AVHRR19_G-NAVO-L2P-SST_s1231_e1417-v01.nc,PODAAC,1,2019-11-12T22:42:02Z,2009-11-27T10:59:58.752Z,NAVO-L2P-AVHRR19_G,20091005-AVHRR19_G-NAVO-L2P-SST_s1231_e1417-v01.nc,35.91926097869873,,Unspecified,2009-10-05T11:31:01.000Z,2009-10-05T13:17:35.000Z,-89.922,89.975,-180.0,180.0,"POLYGON ((180 -89.922, 180 89.97499999999999, -180 89.97499999999999, -180 -89.922, 180 -89.922))"
granule,G1655452879-PODAAC,20091005-AVHRR19_G-NAVO-L2P-SST_s1411_e1553-v01.nc,PODAAC,1,2019-11-12T22:41:49Z,2009-11-27T10:59:40.841Z,NAVO-L2P-AVHRR19_G,20091005-AVHRR19_G-NAVO-L2P-SST_s1411_e1553-v01.nc,34.06514835357666,,Unspecified,2009-10-05T13:11:53.000Z,2009-10-05T14:53:15.000Z,-89.924,89.972,-180.0,180.0,"POLYGON ((180 -89.92400000000001, 180 89.97199999999999, -180 89.97199999999999, -180 -89.92400000000001, 180 -89.92400000000001))"
granule,G1655453067-PODAAC,20091005-AVHRR19_G-NAVO-L2P-SST_s1547_e1723-v01.nc,PODAAC,1,2019-11-12T22:42:05Z,2009-11-27T10:42:26.019Z,NAVO-L2P-AVHRR19_G,20091005-AVHRR19_G-NAVO-L2P-SST_s1547_e1723-v01.nc,31.542189598083496,,Unspecified,2009-10-05T14:47:31.000Z,2009-10-05T16:23:05.000Z,-89.925,89.974,-180.0,180.0,"POLYGON ((180 -89.925, 180 89.974, -180 89.974, -180 -89.925, 180 -89.925))"
granule,G1655452986-PODAAC,20091005-AVHRR19_G-NAVO-L2P-SST_s1717_e1903-v01.nc,PODAAC,1,2019-11-12T22:41:59Z,2009-11-27T10:59:26.730Z,NAVO-L2P-AVHRR19_G,20091005-AVHRR19_G-NAVO-L2P-SST_s1717_e1903-v01.nc,35.52639293670654,,Unspecified,2009-10-05T16:17:21.000Z,2009-10-05T18:03:45.000Z,-89.925,89.974,-180.0,179.999,"POLYGON ((179.999 -89.925, 179.999 89.974, -180 89.974, -180 -89.925, 179.999 -89.925))"
granule,G1655452760-PODAAC,20091005-AVHRR19_G-NAVO-L2P-SST_s1858_e2052-v01.nc,PODAAC,1,2019-11-12T22:41:38Z,2009-11-27T10:44:44.410Z,NAVO-L2P-AVHRR19_G,20091005-AVHRR19_G-NAVO-L2P-SST_s1858_e2052-v01.nc,38.33030986785889,,Unspecified,2009-10-05T17:58:01.000Z,2009-10-05T19:53:00.000Z,-89.926,89.978,-180.0,180.0,"POLYGON ((180 -89.926, 180 89.97799999999999, -180 89.97799999999999, -180 -89.926, 180 -89.926))"
granule,G1655452950-PODAAC,20091005-AVHRR19_G-NAVO-L2P-SST_s2047_e2235-v01.nc,PODAAC,1,2019-11-12T22:41:56Z,2009-11-27T10:43:13.344Z,NAVO-L2P-AVHRR19_G,20091005-AVHRR19_G-NAVO-L2P-SST_s2047_e2235-v01.nc,36.569297790527344,,Unspecified,2009-10-05T19:47:16.000Z,2009-10-05T21:35:45.000Z,-89.926,89.976,-180.0,179.999,"POLYGON ((179.999 -89.926, 179.999 89.976, -180 89.976, -180 -89.926, 179.999 -89.926))"
granule,G1655452806-PODAAC,20091005-AVHRR19_G-NAVO-L2P-SST_s2230_e0018-v01.nc,PODAAC,1,2019-11-12T22:41:42Z,2009-11-27T11:30:42.620Z,NAVO-L2P-AVHRR19_G,20091005-AVHRR19_G-NAVO-L2P-SST_s2230_e0018-v01.nc,36.10359191894531,,Unspecified,2009-10-05T21:30:01.000Z,2009-10-05T23:18:15.000Z,-89.924,89.977,-180.0,180.0,"POLYGON ((180 -89.92400000000001, 180 89.977, -180 89.977, -180 -89.92400000000001, 180 -89.92400000000001))"
granule,G1655453000-PODAAC,20091006-AVHRR19_G-NAVO-L2P-SST_s0012_e0207-v01.nc,PODAAC,1,2019-11-12T22:42:00Z,2009-11-27T11:25:07.196Z,NAVO-L2P-AVHRR19_G,20091006-AVHRR19_G-NAVO-L2P-SST_s0012_e0207-v01.nc,38.45771598815918,,Unspecified,2009-10-05T23:12:35.000Z,2009-10-06T01:07:30.000Z,-89.922,89.975,-180.0,180.0,"POLYGON ((180 -89.922, 180 89.97499999999999, -180 89.97499999999999, -180 -89.922, 180 -89.922))"
granule,G1655452906-PODAAC,20091006-AVHRR19_G-NAVO-L2P-SST_s0201_e0351-v01.nc,PODAAC,1,2019-11-12T22:41:52Z,2009-11-27T11:19:02.702Z,NAVO-L2P-AVHRR19_G,20091006-AVHRR19_G-NAVO-L2P-SST_s0201_e0351-v01.nc,36.5369291305542,,Unspecified,2009-10-06T01:01:51.000Z,2009-10-06T02:51:15.000Z,-89.921,89.975,-180.0,180.0,"POLYGON ((180 -89.92100000000001, 180 89.97499999999999, -180 89.97499999999999, -180 -89.92100000000001, 180 -89.92100000000001))"
granule,G1655453038-PODAAC,20091006-AVHRR19_G-NAVO-L2P-SST_s0345_e0540-v01.nc,PODAAC,1,2019-11-12T22:42:03Z,2009-11-27T10:59:15.569Z,NAVO-L2P-AVHRR19_G,20091006-AVHRR19_G-NAVO-L2P-SST_s0345_e0540-v01.nc,38.18928241729736,,Unspecified,2009-10-06T02:45:31.000Z,2009-10-06T04:40:30.000Z,-89.922,89.977,-180.0,180.0,"POLYGON ((180 -89.922, 180 89.977, -180 89.977, -180 -89.922, 180 -89.922))"
granule,G1655452933-PODAAC,20091006-AVHRR19_G-NAVO-L2P-SST_s0534_e0727-v01.nc,PODAAC,1,2019-11-12T22:41:55Z,2009-11-27T10:48:40.854Z,NAVO-L2P-AVHRR19_G,20091006-AVHRR19_G-NAVO-L2P-SST_s0534_e0727-v01.nc,37.73685646057129,,Unspecified,2009-10-06T04:34:46.000Z,2009-10-06T06:27:45.000Z,-89.924,89.981,-180.0,179.999,"POLYGON ((179.999 -89.92400000000001, 179.999 89.98099999999999, -180 89.98099999999999, -180 -89.92400000000001, 179.999 -89.92400000000001))"
granule,G1655452864-PODAAC,20091006-AVHRR19_G-NAVO-L2P-SST_s0722_e0910-v01.nc,PODAAC,1,2019-11-12T22:41:47Z,2009-11-27T10:49:05.657Z,NAVO-L2P-AVHRR19_G,20091006-AVHRR19_G-NAVO-L2P-SST_s0722_e0910-v01.nc,36.25627899169922,,Unspecified,2009-10-06T06:22:01.000Z,2009-10-06T08:10:04.000Z,-89.925,89.981,-179.999,179.999,"POLYGON ((179.999 -89.925, 179.999 89.98099999999999, -179.999 89.98099999999999, -179.999 -89.925, 179.999 -89.925))"
granule,G1655452773-PODAAC,20091006-AVHRR19_G-NAVO-L2P-SST_s0904_e1045-v01.nc,PODAAC,1,2019-11-12T22:41:39Z,2009-11-27T11:24:28.530Z,NAVO-L2P-AVHRR19_G,20091006-AVHRR19_G-NAVO-L2P-SST_s0904_e1045-v01.nc,34.1408805847168,,Unspecified,2009-10-06T08:04:21.000Z,2009-10-06T09:45:25.000Z,-89.924,89.976,-180.0,180.0,"POLYGON ((180 -89.92400000000001, 180 89.976, -180 89.976, -180 -89.92400000000001, 180 -89.92400000000001))"
granule,G1655452889-PODAAC,20091006-AVHRR19_G-NAVO-L2P-SST_s1039_e1226-v01.nc,PODAAC,1,2019-11-12T22:41:50Z,2009-11-27T10:48:49.005Z,NAVO-L2P-AVHRR19_G,20091006-AVHRR19_G-NAVO-L2P-SST_s1039_e1226-v01.nc,35.94403648376465,,Unspecified,2009-10-06T09:39:41.000Z,2009-10-06T11:26:34.000Z,-89.922,89.976,-180.0,180.0,"POLYGON ((180 -89.922, 180 89.976, -180 89.976, -180 -89.922, 180 -89.922))"
granule,G1655452898-PODAAC,20091006-AVHRR19_G-NAVO-L2P-SST_s1220_e1407-v01.nc,PODAAC,1,2019-11-12T22:41:51Z,2009-11-27T11:22:36.519Z,NAVO-L2P-AVHRR19_G,20091006-AVHRR19_G-NAVO-L2P-SST_s1220_e1407-v01.nc,35.901424407958984,,Unspecified,2009-10-06T11:20:51.000Z,2009-10-06T13:07:25.000Z,-89.921,89.977,-180.0,180.0,"POLYGON ((180 -89.92100000000001, 180 89.977, -180 89.977, -180 -89.92100000000001, 180 -89.92100000000001))"
granule,G1655452969-PODAAC,20091006-AVHRR19_G-NAVO-L2P-SST_s1401_e1547-v01.nc,PODAAC,1,2019-11-12T22:41:58Z,2009-11-27T10:43:55.177Z,NAVO-L2P-AVHRR19_G,20091006-AVHRR19_G-NAVO-L2P-SST_s1401_e1547-v01.nc,35.76473426818848,,Unspecified,2009-10-06T13:01:41.000Z,2009-10-06T14:47:55.000Z,-89.92,89.972,-180.0,180.0,"POLYGON ((180 -89.92, 180 89.97199999999999, -180 89.97199999999999, -180 -89.92, 180 -89.92))"
granule,G1655452788-PODAAC,20091006-AVHRR19_G-NAVO-L2P-SST_s1542_e1713-v01.nc,PODAAC,1,2019-11-12T22:41:40Z,2009-11-27T10:42:36.316Z,NAVO-L2P-AVHRR19_G,20091006-AVHRR19_G-NAVO-L2P-SST_s1542_e1713-v01.nc,30.12664222717285,,Unspecified,2009-10-06T14:42:11.000Z,2009-10-06T16:13:15.000Z,-89.922,89.976,-180.0,179.999,"POLYGON ((179.999 -89.922, 179.999 89.976, -180 89.976, -180 -89.922, 179.999 -89.922))"
granule,G1655452849-PODAAC,20091006-AVHRR19_G-NAVO-L2P-SST_s1707_e1853-v01.nc,PODAAC,1,2019-11-12T22:41:46Z,2009-11-27T10:42:34.956Z,NAVO-L2P-AVHRR19_G,20091006-AVHRR19_G-NAVO-L2P-SST_s1707_e1853-v01.nc,35.289706230163574,,Unspecified,2009-10-06T16:07:31.000Z,2009-10-06T17:53:15.000Z,-89.922,89.975,-179.999,180.0,"POLYGON ((180 -89.922, 180 89.97499999999999, -179.999 89.97499999999999, -179.999 -89.922, 180 -89.922))"
granule,G1655452835-PODAAC,20091006-AVHRR19_G-NAVO-L2P-SST_s1847_e2042-v01.nc,PODAAC,1,2019-11-12T22:41:44Z,2009-11-27T11:25:07.609Z,NAVO-L2P-AVHRR19_G,20091006-AVHRR19_G-NAVO-L2P-SST_s1847_e2042-v01.nc,38.263564109802246,,Unspecified,2009-10-06T17:47:31.000Z,2009-10-06T19:42:30.000Z,-89.925,89.98,-180.0,179.999,"POLYGON ((179.999 -89.925, 179.999 89.98, -180 89.98, -180 -89.925, 179.999 -89.925))"
granule,G1655452821-PODAAC,20091006-AVHRR19_G-NAVO-L2P-SST_s2036_e2231-v01.nc,PODAAC,1,2019-11-12T22:41:43Z,2009-11-27T11:18:48.745Z,NAVO-L2P-AVHRR19_G,20091006-AVHRR19_G-NAVO-L2P-SST_s2036_e2231-v01.nc,38.72683334350586,,Unspecified,2009-10-06T19:36:48.000Z,2009-10-06T21:31:45.000Z,-89.924,89.978,-180.0,180.0,"POLYGON ((180 -89.92400000000001, 180 89.97799999999999, -180 89.97799999999999, -180 -89.92400000000001, 180 -89.92400000000001))"
granule,G1655452917-PODAAC,20091006-AVHRR19_G-NAVO-L2P-SST_s2226_e0007-v01.nc,PODAAC,1,2019-11-12T22:41:54Z,2009-11-27T10:43:57.620Z,NAVO-L2P-AVHRR19_G,20091006-AVHRR19_G-NAVO-L2P-SST_s2226_e0007-v01.nc,33.92698574066162,,Unspecified,2009-10-06T21:26:01.000Z,2009-10-06T23:07:45.000Z,-89.922,89.979,-180.0,180.0,"POLYGON ((180 -89.922, 180 89.979, -180 89.979, -180 -89.922, 180 -89.922))"
granule,G1655453229-PODAAC,20091007-AVHRR19_G-NAVO-L2P-SST_s0002_e0156-v01.nc,PODAAC,1,2019-11-12T22:42:12Z,2009-11-27T11:31:20.449Z,NAVO-L2P-AVHRR19_G,20091007-AVHRR19_G-NAVO-L2P-SST_s0002_e0156-v01.nc,38.55981159210205,,Unspecified,2009-10-06T23:02:02.000Z,2009-10-07T00:57:00.000Z,-89.921,89.978,-180.0,180.0,"POLYGON ((180 -89.92100000000001, 180 89.97799999999999, -180 89.97799999999999, -180 -89.92100000000001, 180 -89.92100000000001))"
granule,G1655453383-PODAAC,20091007-AVHRR19_G-NAVO-L2P-SST_s0151_e0340-v01.nc,PODAAC,1,2019-11-12T22:42:17Z,2009-11-27T10:42:33.973Z,NAVO-L2P-AVHRR19_G,20091007-AVHRR19_G-NAVO-L2P-SST_s0151_e0340-v01.nc,36.48307132720947,,Unspecified,2009-10-07T00:51:20.000Z,2009-10-07T02:40:55.000Z,-89.919,89.976,-180.0,180.0,"POLYGON ((180 -89.919, 180 89.976, -180 89.976, -180 -89.919, 180 -89.919))"
granule,G1655453346-PODAAC,20091007-AVHRR19_G-NAVO-L2P-SST_s0335_e0530-v01.nc,PODAAC,1,2019-11-12T22:42:16Z,2009-11-27T10:48:10.337Z,NAVO-L2P-AVHRR19_G,20091007-AVHRR19_G-NAVO-L2P-SST_s0335_e0530-v01.nc,38.344804763793945,,Unspecified,2009-10-07T02:35:11.000Z,2009-10-07T04:30:10.000Z,-89.919,89.978,-179.999,180.0,"POLYGON ((180 -89.919, 180 89.97799999999999, -179.999 89.97799999999999, -179.999 -89.919, 180 -89.919))"
granule,G1655453193-PODAAC,20091007-AVHRR19_G-NAVO-L2P-SST_s0524_e0717-v01.nc,PODAAC,1,2019-11-12T22:42:10Z,2009-11-27T11:24:28.111Z,NAVO-L2P-AVHRR19_G,20091007-AVHRR19_G-NAVO-L2P-SST_s0524_e0717-v01.nc,37.71910381317139,,Unspecified,2009-10-07T04:24:26.000Z,2009-10-07T06:17:25.000Z,-89.922,89.983,-180.0,179.998,"POLYGON ((179.998 -89.922, 179.998 89.983, -180 89.983, -180 -89.922, 179.998 -89.922))"
granule,G1655444028-PODAAC,20091007-AVHRR19_G-NAVO-L2P-SST_s0711_e0843-v01.nc,PODAAC,1,2019-11-12T22:31:23Z,2009-11-27T11:18:38.082Z,NAVO-L2P-AVHRR19_G,20091007-AVHRR19_G-NAVO-L2P-SST_s0711_e0843-v01.nc,30.593777656555176,,Unspecified,2009-10-07T06:11:44.000Z,2009-10-07T07:43:15.000Z,-89.923,86.682,-180.0,180.0,"POLYGON ((180 -89.923, 180 86.682, -180 86.682, -180 -89.923, 180 -89.923))"
granule,G1655453266-PODAAC,20091007-AVHRR19_G-NAVO-L2P-SST_s0837_e1032-v01.nc,PODAAC,1,2019-11-12T22:42:13Z,2009-11-27T11:25:17.406Z,NAVO-L2P-AVHRR19_G,20091007-AVHRR19_G-NAVO-L2P-SST_s0837_e1032-v01.nc,38.43766403198242,,Unspecified,2009-10-07T07:37:31.000Z,2009-10-07T09:32:30.000Z,-89.921,89.982,-179.999,179.999,"POLYGON ((179.999 -89.92100000000001, 179.999 89.982, -179.999 89.982, -179.999 -89.92100000000001, 179.999 -89.92100000000001))"
granule,G1655453500-PODAAC,20091007-AVHRR19_G-NAVO-L2P-SST_s1026_e1216-v01.nc,PODAAC,1,2019-11-12T22:42:21Z,2009-11-27T11:23:32.441Z,NAVO-L2P-AVHRR19_G,20091007-AVHRR19_G-NAVO-L2P-SST_s1026_e1216-v01.nc,36.812034606933594,,Unspecified,2009-10-07T09:26:46.000Z,2009-10-07T11:16:14.000Z,-89.92,89.977,-180.0,180.0,"POLYGON ((180 -89.92, 180 89.977, -180 89.977, -180 -89.92, 180 -89.92))"
granule,G1655453418-PODAAC,20091007-AVHRR19_G-NAVO-L2P-SST_s1210_e1357-v01.nc,PODAAC,1,2019-11-12T22:42:19Z,2009-11-27T10:59:29.178Z,NAVO-L2P-AVHRR19_G,20091007-AVHRR19_G-NAVO-L2P-SST_s1210_e1357-v01.nc,35.93156623840332,,Unspecified,2009-10-07T11:10:31.000Z,2009-10-07T12:57:14.000Z,-89.918,89.979,-180.0,180.0,"POLYGON ((180 -89.91800000000001, 180 89.979, -180 89.979, -180 -89.91800000000001, 180 -89.91800000000001))"
granule,G1655453305-PODAAC,20091007-AVHRR19_G-NAVO-L2P-SST_s1351_e1532-v01.nc,PODAAC,1,2019-11-12T22:42:15Z,2009-11-27T11:23:55.274Z,NAVO-L2P-AVHRR19_G,20091007-AVHRR19_G-NAVO-L2P-SST_s1351_e1532-v01.nc,33.761019706726074,,Unspecified,2009-10-07T12:51:36.000Z,2009-10-07T14:32:05.000Z,-89.919,89.973,-180.0,180.0,"POLYGON ((180 -89.919, 180 89.973, -180 89.973, -180 -89.919, 180 -89.919))"
granule,G1655453095-PODAAC,20091007-AVHRR19_G-NAVO-L2P-SST_s1526_e1703-v01.nc,PODAAC,1,2019-11-12T22:42:06Z,2009-11-27T10:43:40.221Z,NAVO-L2P-AVHRR19_G,20091007-AVHRR19_G-NAVO-L2P-SST_s1526_e1703-v01.nc,32.07788848876953,,Unspecified,2009-10-07T14:26:21.000Z,2009-10-07T16:03:25.000Z,-89.92,89.978,-180.0,180.0,"POLYGON ((180 -89.92, 180 89.97799999999999, -180 89.97799999999999, -180 -89.92, 180 -89.92))"
granule,G1655453460-PODAAC,20091007-AVHRR19_G-NAVO-L2P-SST_s1657_e1842-v01.nc,PODAAC,1,2019-11-12T22:42:20Z,2009-11-27T10:43:19.855Z,NAVO-L2P-AVHRR19_G,20091007-AVHRR19_G-NAVO-L2P-SST_s1657_e1842-v01.nc,34.990997314453125,,Unspecified,2009-10-07T15:57:41.000Z,2009-10-07T17:42:55.000Z,-89.921,89.976,-179.999,180.0,"POLYGON ((180 -89.92100000000001, 180 89.976, -179.999 89.976, -179.999 -89.92100000000001, 180 -89.92100000000001))"
granule,G1655444049-PODAAC,20091007-AVHRR19_G-NAVO-L2P-SST_s1837_e2032-v01.nc,PODAAC,1,2019-11-12T22:31:24Z,2009-11-27T10:49:42.733Z,NAVO-L2P-AVHRR19_G,20091007-AVHRR19_G-NAVO-L2P-SST_s1837_e2032-v01.nc,38.30428886413574,,Unspecified,2009-10-07T17:37:11.000Z,2009-10-07T19:32:10.000Z,-89.921,89.981,-180.0,180.0,"POLYGON ((180 -89.92100000000001, 180 89.98099999999999, -180 89.98099999999999, -180 -89.92100000000001, 180 -89.92100000000001))"
granule,G1655453161-PODAAC,20091007-AVHRR19_G-NAVO-L2P-SST_s2026_e2221-v01.nc,PODAAC,1,2019-11-12T22:42:09Z,2009-11-27T11:18:18.200Z,NAVO-L2P-AVHRR19_G,20091007-AVHRR19_G-NAVO-L2P-SST_s2026_e2221-v01.nc,38.5626163482666,,Unspecified,2009-10-07T19:26:29.000Z,2009-10-07T21:21:25.000Z,-89.922,89.979,-179.999,180.0,"POLYGON ((180 -89.922, 180 89.979, -179.999 89.979, -179.999 -89.922, 180 -89.922))"
granule,G1655453130-PODAAC,20091007-AVHRR19_G-NAVO-L2P-SST_s2215_e2357-v01.nc,PODAAC,1,2019-11-12T22:42:08Z,2009-11-27T10:48:41.293Z,NAVO-L2P-AVHRR19_G,20091007-AVHRR19_G-NAVO-L2P-SST_s2215_e2357-v01.nc,33.95126724243164,,Unspecified,2009-10-07T21:15:41.000Z,2009-10-07T22:57:15.000Z,-89.921,89.98,-180.0,180.0,"POLYGON ((180 -89.92100000000001, 180 89.98, -180 89.98, -180 -89.92100000000001, 180 -89.92100000000001))"
granule,G1655444069-PODAAC,20091007-AVHRR19_G-NAVO-L2P-SST_s2351_e0146-v01.nc,PODAAC,1,2019-11-12T22:31:25Z,2009-11-27T11:19:09.066Z,NAVO-L2P-AVHRR19_G,20091007-AVHRR19_G-NAVO-L2P-SST_s2351_e0146-v01.nc,38.547128677368164,,Unspecified,2009-10-07T22:51:34.000Z,2009-10-08T00:46:29.000Z,-89.918,89.979,-180.0,180.0,"POLYGON ((180 -89.91800000000001, 180 89.979, -180 89.979, -180 -89.91800000000001, 180 -89.91800000000001))"
granule,G1655453921-PODAAC,20091008-AVHRR19_G-NAVO-L2P-SST_s0140_e0330-v01.nc,PODAAC,1,2019-11-12T22:42:45Z,2009-11-27T10:41:51.543Z,NAVO-L2P-AVHRR19_G,20091008-AVHRR19_G-NAVO-L2P-SST_s0140_e0330-v01.nc,36.45044422149658,,Unspecified,2009-10-08T00:40:51.000Z,2009-10-08T02:30:34.000Z,-89.917,89.978,-180.0,180.0,"POLYGON ((180 -89.917, 180 89.97799999999999, -180 89.97799999999999, -180 -89.917, 180 -89.917))"
granule,G1655453948-PODAAC,20091008-AVHRR19_G-NAVO-L2P-SST_s0324_e0519-v01.nc,PODAAC,1,2019-11-12T22:42:46Z,2009-11-27T10:42:34.955Z,NAVO-L2P-AVHRR19_G,20091008-AVHRR19_G-NAVO-L2P-SST_s0324_e0519-v01.nc,38.31262493133545,,Unspecified,2009-10-08T02:24:51.000Z,2009-10-08T04:19:50.000Z,-89.918,89.979,-180.0,180.0,"POLYGON ((180 -89.91800000000001, 180 89.979, -180 89.979, -180 -89.91800000000001, 180 -89.91800000000001))"
granule,G1655454329-PODAAC,20091008-AVHRR19_G-NAVO-L2P-SST_s0514_e0707-v01.nc,PODAAC,1,2019-11-12T22:43:11Z,2009-11-27T11:24:38.049Z,NAVO-L2P-AVHRR19_G,20091008-AVHRR19_G-NAVO-L2P-SST_s0514_e0707-v01.nc,37.656890869140625,,Unspecified,2009-10-08T04:14:06.000Z,2009-10-08T06:07:05.000Z,-89.919,89.983,-180.0,180.0,"POLYGON ((180 -89.919, 180 89.983, -180 89.983, -180 -89.919, 180 -89.919))"
granule,G1655454101-PODAAC,20091008-AVHRR19_G-NAVO-L2P-SST_s0701_e0849-v01.nc,PODAAC,1,2019-11-12T22:42:56Z,2009-11-27T10:59:47.120Z,NAVO-L2P-AVHRR19_G,20091008-AVHRR19_G-NAVO-L2P-SST_s0701_e0849-v01.nc,36.35838794708252,,Unspecified,2009-10-08T06:01:21.000Z,2009-10-08T07:49:05.000Z,-89.921,89.983,-180.0,179.999,"POLYGON ((179.999 -89.92100000000001, 179.999 89.983, -180 89.983, -180 -89.92100000000001, 179.999 -89.92100000000001))"
granule,G1655453725-PODAAC,20091008-AVHRR19_G-NAVO-L2P-SST_s0843_e1024-v01.nc,PODAAC,1,2019-11-12T22:42:31Z,2009-11-27T10:57:18.401Z,NAVO-L2P-AVHRR19_G,20091008-AVHRR19_G-NAVO-L2P-SST_s0843_e1024-v01.nc,34.128445625305176,,Unspecified,2009-10-08T07:43:21.000Z,2009-10-08T09:24:45.000Z,-89.921,89.979,-180.0,180.0,"POLYGON ((180 -89.92100000000001, 180 89.979, -180 89.979, -180 -89.92100000000001, 180 -89.92100000000001))"
granule,G1655453708-PODAAC,20091008-AVHRR19_G-NAVO-L2P-SST_s1019_e1205-v01.nc,PODAAC,1,2019-11-12T22:42:30Z,2009-11-27T10:57:23.242Z,NAVO-L2P-AVHRR19_G,20091008-AVHRR19_G-NAVO-L2P-SST_s1019_e1205-v01.nc,36.058913230895996,,Unspecified,2009-10-08T09:19:01.000Z,2009-10-08T11:05:55.000Z,-89.918,89.979,-180.0,180.0,"POLYGON ((180 -89.91800000000001, 180 89.979, -180 89.979, -180 -89.91800000000001, 180 -89.91800000000001))"
granule,G1655454198-PODAAC,20091008-AVHRR19_G-NAVO-L2P-SST_s1200_e1346-v01.nc,PODAAC,1,2019-11-12T22:43:03Z,2009-11-27T11:19:09.381Z,NAVO-L2P-AVHRR19_G,20091008-AVHRR19_G-NAVO-L2P-SST_s1200_e1346-v01.nc,35.862525939941406,,Unspecified,2009-10-08T11:00:11.000Z,2009-10-08T12:46:55.000Z,-89.917,89.981,-180.0,180.0,"POLYGON ((180 -89.917, 180 89.98099999999999, -180 89.98099999999999, -180 -89.917, 180 -89.917))"
granule,G1655454180-PODAAC,20091008-AVHRR19_G-NAVO-L2P-SST_s1341_e1527-v01.nc,PODAAC,1,2019-11-12T22:43:02Z,2009-11-27T11:17:36.795Z,NAVO-L2P-AVHRR19_G,20091008-AVHRR19_G-NAVO-L2P-SST_s1341_e1527-v01.nc,35.89206790924072,,Unspecified,2009-10-08T12:41:11.000Z,2009-10-08T14:27:35.000Z,-89.917,89.975,-180.0,180.0,"POLYGON ((180 -89.917, 180 89.97499999999999, -180 89.97499999999999, -180 -89.917, 180 -89.917))"
granule,G1655454080-PODAAC,20091008-AVHRR19_G-NAVO-L2P-SST_s1521_e1653-v01.nc,PODAAC,1,2019-11-12T22:42:55Z,2009-11-27T10:58:49.909Z,NAVO-L2P-AVHRR19_G,20091008-AVHRR19_G-NAVO-L2P-SST_s1521_e1653-v01.nc,30.190041542053223,,Unspecified,2009-10-08T14:21:51.000Z,2009-10-08T15:53:25.000Z,-89.918,89.979,-180.0,180.0,"POLYGON ((180 -89.91800000000001, 180 89.979, -180 89.979, -180 -89.91800000000001, 180 -89.91800000000001))"
granule,G1655454308-PODAAC,20091008-AVHRR19_G-NAVO-L2P-SST_s1647_e1832-v01.nc,PODAAC,1,2019-11-12T22:43:10Z,2009-11-27T11:22:46.197Z,NAVO-L2P-AVHRR19_G,20091008-AVHRR19_G-NAVO-L2P-SST_s1647_e1832-v01.nc,34.770752906799316,,Unspecified,2009-10-08T15:47:41.000Z,2009-10-08T17:32:35.000Z,-89.919,89.978,-180.0,180.0,"POLYGON ((180 -89.919, 180 89.97799999999999, -180 89.97799999999999, -180 -89.919, 180 -89.919))"
