cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1655121015-PODAAC,20090826-AVHRR19_L-NAVO-L2P-SST_s1607_e1619-v01.nc,PODAAC,1,2019-11-12T17:21:29Z,2009-11-12T07:21:38.486Z,NAVO-L2P-AVHRR19_L,20090826-AVHRR19_L-NAVO-L2P-SST_s1607_e1619-v01.nc,48.55793380737305,,Unspecified,2009-08-26T15:07:20.000Z,2009-08-26T15:19:11.000Z,51.665,89.807,-180.0,180.0,"POLYGON ((180 51.665, 180 89.807, -180 89.807, -180 51.665, 180 51.665))"
granule,G1655120791-PODAAC,20090826-AVHRR19_L-NAVO-L2P-SST_s1632_e1640-v01.nc,PODAAC,1,2019-11-12T17:21:14Z,2009-11-12T07:21:29.183Z,NAVO-L2P-AVHRR19_L,20090826-AVHRR19_L-NAVO-L2P-SST_s1632_e1640-v01.nc,28.630887031555176,,Unspecified,2009-08-26T15:32:52.000Z,2009-08-26T15:40:51.000Z,-19.553,11.931,120.45,154.401,"POLYGON ((154.401 -19.553, 154.401 11.931, 120.45 11.931, 120.45 -19.553, 154.401 -19.553))"
granule,G1655120815-PODAAC,20090826-AVHRR19_L-NAVO-L2P-SST_s1635_e1646-v01.nc,PODAAC,1,2019-11-12T17:21:16Z,2009-11-12T07:21:38.122Z,NAVO-L2P-AVHRR19_L,20090826-AVHRR19_L-NAVO-L2P-SST_s1635_e1646-v01.nc,43.81063175201416,,Unspecified,2009-08-26T15:35:01.000Z,2009-08-26T15:46:28.000Z,-38.744,4.564,0.0,152.603,"POLYGON ((152.603 -38.744, 152.603 4.564, 0 4.564, 0 -38.744, 152.603 -38.744))"
granule,G1655121454-PODAAC,20090826-AVHRR19_L-NAVO-L2P-SST_s1704_e1713-v01.nc,PODAAC,1,2019-11-12T17:21:56Z,2009-11-12T07:22:48.377Z,NAVO-L2P-AVHRR19_L,20090826-AVHRR19_L-NAVO-L2P-SST_s1704_e1713-v01.nc,37.91268825531006,,Unspecified,2009-08-26T16:04:30.000Z,2009-08-26T16:13:29.000Z,-79.22,-42.3,-76.124,16.095,"POLYGON ((16.095 -79.22, 16.095 -42.3, -76.124 -42.3, -76.124 -79.22, 16.095 -79.22))"
granule,G1655120708-PODAAC,20090826-AVHRR19_L-NAVO-L2P-SST_s1715_e1726-v01.nc,PODAAC,1,2019-11-12T17:21:09Z,2009-11-12T07:21:13.302Z,NAVO-L2P-AVHRR19_L,20090826-AVHRR19_L-NAVO-L2P-SST_s1715_e1726-v01.nc,48.04407596588135,,Unspecified,2009-08-26T16:15:28.000Z,2009-08-26T16:26:57.000Z,-41.409,2.034,-67.313,-27.147,"POLYGON ((-27.147 -41.409, -27.147 2.034, -67.313 2.034, -67.313 -41.409, -27.147 -41.409))"
granule,G1655121349-PODAAC,20090826-AVHRR19_L-NAVO-L2P-SST_s1727_e1732-v01.nc,PODAAC,1,2019-11-12T17:21:48Z,2009-11-12T07:22:57.978Z,NAVO-L2P-AVHRR19_L,20090826-AVHRR19_L-NAVO-L2P-SST_s1727_e1732-v01.nc,21.62287712097168,,Unspecified,2009-08-26T16:27:13.000Z,2009-08-26T16:32:54.000Z,-1.057,22.502,-72.777,-41.173,"POLYGON ((-41.173 -1.057, -41.173 22.502, -72.777 22.502, -72.777 -1.057, -41.173 -1.057))"
granule,G1655121144-PODAAC,20090826-AVHRR19_L-NAVO-L2P-SST_s1730_e1741-v01.nc,PODAAC,1,2019-11-12T17:21:36Z,2009-11-12T07:21:39.193Z,NAVO-L2P-AVHRR19_L,20090826-AVHRR19_L-NAVO-L2P-SST_s1730_e1741-v01.nc,44.13319778442383,,Unspecified,2009-08-26T16:30:28.000Z,2009-08-26T16:41:02.000Z,0.0,50.558,-86.25,0.0,"POLYGON ((0 0, 0 50.558, -86.25 50.558, -86.25 0, 0 0))"
granule,G1655121604-PODAAC,20090826-AVHRR19_L-NAVO-L2P-SST_s1731_e1745-v01.nc,PODAAC,1,2019-11-12T17:22:04Z,2009-11-12T07:24:05.774Z,NAVO-L2P-AVHRR19_L,20090826-AVHRR19_L-NAVO-L2P-SST_s1731_e1745-v01.nc,62.86701202392578,,Unspecified,2009-08-26T16:31:16.000Z,2009-08-26T16:45:48.000Z,0.0,67.116,-102.507,0.0,"POLYGON ((0 0, 0 67.116, -102.507 67.116, -102.507 0, 0 0))"
granule,G1655121186-PODAAC,20090826-AVHRR19_L-NAVO-L2P-SST_s1804_e1812-v01.nc,PODAAC,1,2019-11-12T17:21:38Z,2009-11-12T07:21:47.176Z,NAVO-L2P-AVHRR19_L,20090826-AVHRR19_L-NAVO-L2P-SST_s1804_e1812-v01.nc,28.59423065185547,,Unspecified,2009-08-26T17:04:55.000Z,2009-08-26T17:12:54.000Z,14.678,46.481,102.902,142.686,"POLYGON ((142.686 14.678, 142.686 46.481, 102.902 46.481, 102.902 14.678, 142.686 14.678))"
granule,G1655121229-PODAAC,20090826-AVHRR19_L-NAVO-L2P-SST_s1844_e1851-v01.nc,PODAAC,1,2019-11-12T17:21:41Z,2009-11-12T07:21:47.478Z,NAVO-L2P-AVHRR19_L,20090826-AVHRR19_L-NAVO-L2P-SST_s1844_e1851-v01.nc,28.896029472351074,,Unspecified,2009-08-26T17:44:53.000Z,2009-08-26T17:51:52.000Z,-85.193,-53.175,-123.401,4.515,"POLYGON ((4.515 -85.193, 4.515 -53.175, -123.401 -53.175, -123.401 -85.193, 4.515 -85.193))"
