cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1653115822-PODAAC,20080401-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,PODAAC,1,2019-11-06T19:03:32Z,2008-04-02T17:20:01.000Z,NAVO-L4HR1m-GLOB-K10_SST,20080401-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,0.0,,Unspecified,2008-04-01T00:00:00.000Z,2008-04-01T23:59:59.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653115726-PODAAC,20080402-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,PODAAC,1,2019-11-06T19:03:29Z,2008-04-02T17:20:02.000Z,NAVO-L4HR1m-GLOB-K10_SST,20080402-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,0.0,,Unspecified,2008-04-02T00:00:00.000Z,2008-04-02T23:59:59.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653115818-PODAAC,20080403-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,PODAAC,1,2019-11-06T19:03:31Z,2008-04-02T20:00:02.000Z,NAVO-L4HR1m-GLOB-K10_SST,20080403-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,0.0,,Unspecified,2008-04-03T00:00:00.000Z,2008-04-03T23:59:59.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653115068-PODAAC,20080404-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,PODAAC,1,2019-11-06T19:03:20Z,2008-04-04T13:35:05.000Z,NAVO-L4HR1m-GLOB-K10_SST,20080404-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,0.0,,Unspecified,2008-04-04T00:00:00.000Z,2008-04-04T23:59:59.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653115246-PODAAC,20080405-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,PODAAC,1,2019-11-06T19:03:22Z,2008-04-05T03:05:06.000Z,NAVO-L4HR1m-GLOB-K10_SST,20080405-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,0.0,,Unspecified,2008-04-05T00:00:00.000Z,2008-04-05T23:59:59.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653114842-PODAAC,20080406-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,PODAAC,1,2019-11-06T19:03:13Z,2008-04-05T19:45:02.000Z,NAVO-L4HR1m-GLOB-K10_SST,20080406-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,0.0,,Unspecified,2008-04-06T00:00:00.000Z,2008-04-06T23:59:59.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653114849-PODAAC,20080407-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,PODAAC,1,2019-11-06T19:03:15Z,2008-04-06T19:45:02.000Z,NAVO-L4HR1m-GLOB-K10_SST,20080407-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,0.0,,Unspecified,2008-04-07T00:00:00.000Z,2008-04-07T23:59:59.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653115485-PODAAC,20080408-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,PODAAC,1,2019-11-06T19:03:26Z,2008-04-07T19:45:03.000Z,NAVO-L4HR1m-GLOB-K10_SST,20080408-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,0.0,,Unspecified,2008-04-08T00:00:00.000Z,2008-04-08T23:59:59.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653116262-PODAAC,20080409-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,PODAAC,1,2019-11-06T19:03:42Z,2008-04-08T19:45:02.000Z,NAVO-L4HR1m-GLOB-K10_SST,20080409-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,0.0,,Unspecified,2008-04-09T00:00:00.000Z,2008-04-09T23:59:59.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
granule,G1653115622-PODAAC,20080410-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,PODAAC,1,2019-11-06T19:03:28Z,2008-04-09T19:45:01.000Z,NAVO-L4HR1m-GLOB-K10_SST,20080410-NAVO-L4HR1m-GLOB-v01-fv01_0-K10_SST.nc,0.0,,Unspecified,2008-04-10T00:00:00.000Z,2008-04-10T23:59:59.000Z,-90.0,90.0,-180.0,179.9,"POLYGON ((179.9 -90, 179.9 90, -180 90, -180 -90, 179.9 -90))"
