cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1658511986-PODAAC,20080101000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T21:56:07Z,2016-09-22T09:55:12.497Z,OISST_HR_NRT-GOS-L4-BLK-v2.0,20080101000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,0.07654666900634766,,Unspecified,2008-01-01T00:00:00.000Z,2008-01-01T00:00:00.000Z,38.75,48.813,26.375,42.375,"POLYGON ((42.375 38.75, 42.375 48.813, 26.375 48.813, 26.375 38.75, 42.375 38.75))"
granule,G1658514748-PODAAC,20080102000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T22:02:58Z,2016-09-22T09:56:23.704Z,OISST_HR_NRT-GOS-L4-BLK-v2.0,20080102000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,0.07610321044921875,,Unspecified,2008-01-02T00:00:00.000Z,2008-01-02T00:00:00.000Z,38.75,48.813,26.375,42.375,"POLYGON ((42.375 38.75, 42.375 48.813, 26.375 48.813, 26.375 38.75, 42.375 38.75))"
granule,G1658514716-PODAAC,20080103000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T22:02:51Z,2016-09-22T09:55:32.166Z,OISST_HR_NRT-GOS-L4-BLK-v2.0,20080103000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,0.0757455825805664,,Unspecified,2008-01-03T00:00:00.000Z,2008-01-03T00:00:00.000Z,38.75,48.813,26.375,42.375,"POLYGON ((42.375 38.75, 42.375 48.813, 26.375 48.813, 26.375 38.75, 42.375 38.75))"
granule,G1658514763-PODAAC,20080104000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T22:03:01Z,2016-09-22T09:54:52.984Z,OISST_HR_NRT-GOS-L4-BLK-v2.0,20080104000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,0.07500648498535156,,Unspecified,2008-01-04T00:00:00.000Z,2008-01-04T00:00:00.000Z,38.75,48.813,26.375,42.375,"POLYGON ((42.375 38.75, 42.375 48.813, 26.375 48.813, 26.375 38.75, 42.375 38.75))"
granule,G1658510922-PODAAC,20080105000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T21:54:06Z,2016-09-22T09:54:43.159Z,OISST_HR_NRT-GOS-L4-BLK-v2.0,20080105000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,0.07622051239013672,,Unspecified,2008-01-05T00:00:00.000Z,2008-01-05T00:00:00.000Z,38.75,48.813,26.375,42.375,"POLYGON ((42.375 38.75, 42.375 48.813, 26.375 48.813, 26.375 38.75, 42.375 38.75))"
granule,G1658510863-PODAAC,20080106000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T21:53:56Z,2016-09-22T09:55:02.918Z,OISST_HR_NRT-GOS-L4-BLK-v2.0,20080106000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,0.07717227935791016,,Unspecified,2008-01-06T00:00:00.000Z,2008-01-06T00:00:00.000Z,38.75,48.813,26.375,42.375,"POLYGON ((42.375 38.75, 42.375 48.813, 26.375 48.813, 26.375 38.75, 42.375 38.75))"
granule,G1658514698-PODAAC,20080107000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T22:02:48Z,2016-09-22T09:56:16.553Z,OISST_HR_NRT-GOS-L4-BLK-v2.0,20080107000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,0.07718372344970703,,Unspecified,2008-01-07T00:00:00.000Z,2008-01-07T00:00:00.000Z,38.75,48.813,26.375,42.375,"POLYGON ((42.375 38.75, 42.375 48.813, 26.375 48.813, 26.375 38.75, 42.375 38.75))"
granule,G1658510884-PODAAC,20080108000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T21:54:01Z,2016-09-22T09:56:09.459Z,OISST_HR_NRT-GOS-L4-BLK-v2.0,20080108000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,0.07646656036376953,,Unspecified,2008-01-08T00:00:00.000Z,2008-01-08T00:00:00.000Z,38.75,48.813,26.375,42.375,"POLYGON ((42.375 38.75, 42.375 48.813, 26.375 48.813, 26.375 38.75, 42.375 38.75))"
granule,G1658514743-PODAAC,20080109000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T22:02:56Z,2016-09-22T09:55:03.074Z,OISST_HR_NRT-GOS-L4-BLK-v2.0,20080109000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,0.07658767700195312,,Unspecified,2008-01-09T00:00:00.000Z,2008-01-09T00:00:00.000Z,38.75,48.813,26.375,42.375,"POLYGON ((42.375 38.75, 42.375 48.813, 26.375 48.813, 26.375 38.75, 42.375 38.75))"
granule,G1658514707-PODAAC,20080110000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T22:02:49Z,2016-09-22T09:55:33.764Z,OISST_HR_NRT-GOS-L4-BLK-v2.0,20080110000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-BLK-v02.0-fv01.0.nc,0.07653999328613281,,Unspecified,2008-01-10T00:00:00.000Z,2008-01-10T00:00:00.000Z,38.75,48.813,26.375,42.375,"POLYGON ((42.375 38.75, 42.375 48.813, 26.375 48.813, 26.375 38.75, 42.375 38.75))"
