cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1658555381-PODAAC,20080101000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:43:52Z,2016-09-23T09:49:53.009Z,OISST_HR_NRT-GOS-L4-MED-v2.0,20080101000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,0.23753738403320312,,Unspecified,2008-01-01T00:00:00.000Z,2008-01-01T00:00:00.000Z,30.25,46.0,-18.125,36.25,"POLYGON ((36.25 30.25, 36.25 46, -18.125 46, -18.125 30.25, 36.25 30.25))"
granule,G1658534592-PODAAC,20080102000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T22:51:27Z,2016-09-23T09:50:14.826Z,OISST_HR_NRT-GOS-L4-MED-v2.0,20080102000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,0.23998069763183594,,Unspecified,2008-01-02T00:00:00.000Z,2008-01-02T00:00:00.000Z,30.25,46.0,-18.125,36.25,"POLYGON ((36.25 30.25, 36.25 46, -18.125 46, -18.125 30.25, 36.25 30.25))"
granule,G1658555443-PODAAC,20080103000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:44:02Z,2016-09-23T09:49:42.777Z,OISST_HR_NRT-GOS-L4-MED-v2.0,20080103000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,0.24186134338378906,,Unspecified,2008-01-03T00:00:00.000Z,2008-01-03T00:00:00.000Z,30.25,46.0,-18.125,36.25,"POLYGON ((36.25 30.25, 36.25 46, -18.125 46, -18.125 30.25, 36.25 30.25))"
granule,G1658555418-PODAAC,20080104000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:43:59Z,2016-09-23T09:49:52.729Z,OISST_HR_NRT-GOS-L4-MED-v2.0,20080104000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,0.2408304214477539,,Unspecified,2008-01-04T00:00:00.000Z,2008-01-04T00:00:00.000Z,30.25,46.0,-18.125,36.25,"POLYGON ((36.25 30.25, 36.25 46, -18.125 46, -18.125 30.25, 36.25 30.25))"
granule,G1658555405-PODAAC,20080105000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:43:56Z,2016-09-23T09:50:14.637Z,OISST_HR_NRT-GOS-L4-MED-v2.0,20080105000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,0.23906230926513672,,Unspecified,2008-01-05T00:00:00.000Z,2008-01-05T00:00:00.000Z,30.25,46.0,-18.125,36.25,"POLYGON ((36.25 30.25, 36.25 46, -18.125 46, -18.125 30.25, 36.25 30.25))"
granule,G1658555453-PODAAC,20080106000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:44:03Z,2016-09-23T09:50:15.053Z,OISST_HR_NRT-GOS-L4-MED-v2.0,20080106000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,0.23511886596679688,,Unspecified,2008-01-06T00:00:00.000Z,2008-01-06T00:00:00.000Z,30.25,46.0,-18.125,36.25,"POLYGON ((36.25 30.25, 36.25 46, -18.125 46, -18.125 30.25, 36.25 30.25))"
granule,G1658555433-PODAAC,20080107000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:44:00Z,2016-09-23T09:49:42.069Z,OISST_HR_NRT-GOS-L4-MED-v2.0,20080107000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,0.2316112518310547,,Unspecified,2008-01-07T00:00:00.000Z,2008-01-07T00:00:00.000Z,30.25,46.0,-18.125,36.25,"POLYGON ((36.25 30.25, 36.25 46, -18.125 46, -18.125 30.25, 36.25 30.25))"
granule,G1658555398-PODAAC,20080108000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:43:55Z,2016-09-23T09:49:32.341Z,OISST_HR_NRT-GOS-L4-MED-v2.0,20080108000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,0.23295116424560547,,Unspecified,2008-01-08T00:00:00.000Z,2008-01-08T00:00:00.000Z,30.25,46.0,-18.125,36.25,"POLYGON ((36.25 30.25, 36.25 46, -18.125 46, -18.125 30.25, 36.25 30.25))"
granule,G1658555412-PODAAC,20080109000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T23:43:58Z,2016-09-23T09:54:43.049Z,OISST_HR_NRT-GOS-L4-MED-v2.0,20080109000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,0.2361621856689453,,Unspecified,2008-01-09T00:00:00.000Z,2008-01-09T00:00:00.000Z,30.25,46.0,-18.125,36.25,"POLYGON ((36.25 30.25, 36.25 46, -18.125 46, -18.125 30.25, 36.25 30.25))"
granule,G1658534628-PODAAC,20080110000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-20T22:51:29Z,2016-09-23T09:55:25.351Z,OISST_HR_NRT-GOS-L4-MED-v2.0,20080110000000-GOS-L4_GHRSST-SSTfnd-OISST_HR_NRT-MED-v02.0-fv01.0.nc,0.23499393463134766,,Unspecified,2008-01-10T00:00:00.000Z,2008-01-10T00:00:00.000Z,30.25,46.0,-18.125,36.25,"POLYGON ((36.25 30.25, 36.25 46, -18.125 46, -18.125 30.25, 36.25 30.25))"
