cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1658614507-PODAAC,20080101000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T02:15:33Z,2016-09-23T23:25:53.068Z,OISST_UHR_NRT-GOS-L4-MED-v2.0,20080101000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,4.28360652923584,,Unspecified,2008-01-01T00:00:00.000Z,2008-01-01T00:00:00.000Z,30.254,45.996,-18.121,36.246,"POLYGON ((36.246 30.254, 36.246 45.996, -18.121 45.996, -18.121 30.254, 36.246 30.254))"
granule,G1658639332-PODAAC,20080102000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T03:07:45Z,2016-09-23T23:25:51.242Z,OISST_UHR_NRT-GOS-L4-MED-v2.0,20080102000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,4.876550674438477,,Unspecified,2008-01-02T00:00:00.000Z,2008-01-02T00:00:00.000Z,30.254,45.996,-18.121,36.246,"POLYGON ((36.246 30.254, 36.246 45.996, -18.121 45.996, -18.121 30.254, 36.246 30.254))"
granule,G1658614491-PODAAC,20080103000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T02:15:30Z,2016-09-23T23:29:24.463Z,OISST_UHR_NRT-GOS-L4-MED-v2.0,20080103000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,4.780845642089844,,Unspecified,2008-01-03T00:00:00.000Z,2008-01-03T00:00:00.000Z,30.254,45.996,-18.121,36.246,"POLYGON ((36.246 30.254, 36.246 45.996, -18.121 45.996, -18.121 30.254, 36.246 30.254))"
granule,G1658639311-PODAAC,20080104000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T03:07:42Z,2016-09-23T23:29:22.184Z,OISST_UHR_NRT-GOS-L4-MED-v2.0,20080104000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,4.689652442932129,,Unspecified,2008-01-04T00:00:00.000Z,2008-01-04T00:00:00.000Z,30.254,45.996,-18.121,36.246,"POLYGON ((36.246 30.254, 36.246 45.996, -18.121 45.996, -18.121 30.254, 36.246 30.254))"
granule,G1658615177-PODAAC,20080105000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T02:17:28Z,2016-09-23T23:29:24.220Z,OISST_UHR_NRT-GOS-L4-MED-v2.0,20080105000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,4.588044166564941,,Unspecified,2008-01-05T00:00:00.000Z,2008-01-05T00:00:00.000Z,30.254,45.996,-18.121,36.246,"POLYGON ((36.246 30.254, 36.246 45.996, -18.121 45.996, -18.121 30.254, 36.246 30.254))"
granule,G1658628630-PODAAC,20080106000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T02:43:22Z,2016-09-23T23:32:57.153Z,OISST_UHR_NRT-GOS-L4-MED-v2.0,20080106000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,4.545543670654297,,Unspecified,2008-01-06T00:00:00.000Z,2008-01-06T00:00:00.000Z,30.254,45.996,-18.121,36.246,"POLYGON ((36.246 30.254, 36.246 45.996, -18.121 45.996, -18.121 30.254, 36.246 30.254))"
granule,G1658639318-PODAAC,20080107000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T03:07:43Z,2016-09-23T23:33:06.076Z,OISST_UHR_NRT-GOS-L4-MED-v2.0,20080107000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,4.630910873413086,,Unspecified,2008-01-07T00:00:00.000Z,2008-01-07T00:00:00.000Z,30.254,45.996,-18.121,36.246,"POLYGON ((36.246 30.254, 36.246 45.996, -18.121 45.996, -18.121 30.254, 36.246 30.254))"
granule,G1658615170-PODAAC,20080108000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T02:17:26Z,2016-09-23T23:32:54.790Z,OISST_UHR_NRT-GOS-L4-MED-v2.0,20080108000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,4.632541656494141,,Unspecified,2008-01-08T00:00:00.000Z,2008-01-08T00:00:00.000Z,30.254,45.996,-18.121,36.246,"POLYGON ((36.246 30.254, 36.246 45.996, -18.121 45.996, -18.121 30.254, 36.246 30.254))"
granule,G1658639325-PODAAC,20080109000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T03:07:44Z,2016-09-23T23:32:56.721Z,OISST_UHR_NRT-GOS-L4-MED-v2.0,20080109000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,4.561280250549316,,Unspecified,2008-01-09T00:00:00.000Z,2008-01-09T00:00:00.000Z,30.254,45.996,-18.121,36.246,"POLYGON ((36.246 30.254, 36.246 45.996, -18.121 45.996, -18.121 30.254, 36.246 30.254))"
granule,G1658639301-PODAAC,20080110000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,PODAAC,1,2019-11-21T03:07:39Z,2016-09-23T23:32:47.601Z,OISST_UHR_NRT-GOS-L4-MED-v2.0,20080110000000-GOS-L4_GHRSST-SSTfnd-OISST_UHR_NRT-MED-v02.0-fv01.0.nc,4.736749649047852,,Unspecified,2008-01-10T00:00:00.000Z,2008-01-10T00:00:00.000Z,30.254,45.996,-18.121,36.246,"POLYGON ((36.246 30.254, 36.246 45.996, -18.121 45.996, -18.121 30.254, 36.246 30.254))"
