cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1653177706-PODAAC,20130425120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T20:36:06Z,2013-04-26T07:53:12.597Z,OSTIA-UKMO-L4-GLOB-v2.0,20130425120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,14.259590148925781,,Unspecified,2013-04-25T00:00:00.000Z,2013-04-26T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653177756-PODAAC,20130426120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T20:36:34Z,2013-04-27T07:05:16.523Z,OSTIA-UKMO-L4-GLOB-v2.0,20130426120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,14.269392967224121,,Unspecified,2013-04-26T00:00:00.000Z,2013-04-27T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653177704-PODAAC,20130427120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T20:36:05Z,2013-04-28T07:14:59.356Z,OSTIA-UKMO-L4-GLOB-v2.0,20130427120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,14.194396018981934,,Unspecified,2013-04-27T00:00:00.000Z,2013-04-28T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653177759-PODAAC,20130428120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T20:36:35Z,2013-04-29T06:51:34.555Z,OSTIA-UKMO-L4-GLOB-v2.0,20130428120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,14.213595390319824,,Unspecified,2013-04-28T00:00:00.000Z,2013-04-29T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653177702-PODAAC,20130429120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T20:36:04Z,2013-04-30T07:36:37.826Z,OSTIA-UKMO-L4-GLOB-v2.0,20130429120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,14.220330238342285,,Unspecified,2013-04-29T00:00:00.000Z,2013-04-30T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653177765-PODAAC,20130430120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T20:36:39Z,2013-05-01T06:57:16.891Z,OSTIA-UKMO-L4-GLOB-v2.0,20130430120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,14.321563720703125,,Unspecified,2013-04-30T00:00:00.000Z,2013-05-01T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653177743-PODAAC,20130501120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T20:36:28Z,2013-05-09T07:46:42.911Z,OSTIA-UKMO-L4-GLOB-v2.0,20130501120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,14.380339622497559,,Unspecified,2013-05-01T00:00:00.000Z,2013-05-02T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653177682-PODAAC,20130502120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T20:35:50Z,2013-05-09T07:46:40.872Z,OSTIA-UKMO-L4-GLOB-v2.0,20130502120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,14.395581245422363,,Unspecified,2013-05-02T00:00:00.000Z,2013-05-03T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653177738-PODAAC,20130503120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T20:36:26Z,2013-05-09T07:46:38.058Z,OSTIA-UKMO-L4-GLOB-v2.0,20130503120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,14.392426490783691,,Unspecified,2013-05-03T00:00:00.000Z,2013-05-04T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1653177674-PODAAC,20130504120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,PODAAC,1,2019-11-06T20:35:46Z,2013-05-09T07:46:31.097Z,OSTIA-UKMO-L4-GLOB-v2.0,20130504120000-UKMO-L4_GHRSST-SSTfnd-OSTIA-GLOB-v02.0-fv02.0.nc,14.333760261535645,,Unspecified,2013-05-04T00:00:00.000Z,2013-05-05T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
