cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1653224377-PODAAC,20060612120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,PODAAC,1,2019-11-06T23:44:34Z,2019-09-24T09:17:11.233Z,RAMSSA_09km-ABOM-L4-AUS-v01,20060612120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,2.2062015533447266,,Unspecified,2006-06-12T00:00:00.000Z,2006-06-13T00:00:00.000Z,-70.0,20.0,0.0,180.0,"POLYGON ((180 -70, 180 20, 0 20, 0 -70, 180 -70))"
granule,G1653206784-PODAAC,20060613120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,PODAAC,1,2019-11-06T22:51:09Z,2019-09-24T10:22:13.727Z,RAMSSA_09km-ABOM-L4-AUS-v01,20060613120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,2.2059669494628906,,Unspecified,2006-06-13T00:00:00.000Z,2006-06-14T00:00:00.000Z,-70.0,20.0,0.0,180.0,"POLYGON ((180 -70, 180 20, 0 20, 0 -70, 180 -70))"
granule,G1653220755-PODAAC,20060614120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,PODAAC,1,2019-11-06T23:35:01Z,2019-09-24T08:05:42.438Z,RAMSSA_09km-ABOM-L4-AUS-v01,20060614120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,2.1970272064208984,,Unspecified,2006-06-14T00:00:00.000Z,2006-06-15T00:00:00.000Z,-70.0,20.0,0.0,180.0,"POLYGON ((180 -70, 180 20, 0 20, 0 -70, 180 -70))"
granule,G1653220853-PODAAC,20060615120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,PODAAC,1,2019-11-06T23:35:19Z,2019-09-24T07:03:34.448Z,RAMSSA_09km-ABOM-L4-AUS-v01,20060615120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,2.21230411529541,,Unspecified,2006-06-15T00:00:00.000Z,2006-06-16T00:00:00.000Z,-70.0,20.0,0.0,180.0,"POLYGON ((180 -70, 180 20, 0 20, 0 -70, 180 -70))"
granule,G1653228670-PODAAC,20060616120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,PODAAC,1,2019-11-06T23:58:01Z,2019-09-24T11:13:11.152Z,RAMSSA_09km-ABOM-L4-AUS-v01,20060616120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,2.218661308288574,,Unspecified,2006-06-16T00:00:00.000Z,2006-06-17T00:00:00.000Z,-70.0,20.0,0.0,180.0,"POLYGON ((180 -70, 180 20, 0 20, 0 -70, 180 -70))"
granule,G1653206739-PODAAC,20060617120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,PODAAC,1,2019-11-06T22:50:48Z,2019-09-24T09:33:28.618Z,RAMSSA_09km-ABOM-L4-AUS-v01,20060617120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,2.224686622619629,,Unspecified,2006-06-17T00:00:00.000Z,2006-06-18T00:00:00.000Z,-70.0,20.0,0.0,180.0,"POLYGON ((180 -70, 180 20, 0 20, 0 -70, 180 -70))"
granule,G1653210875-PODAAC,20060618120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,PODAAC,1,2019-11-06T23:09:46Z,2019-09-24T09:56:49.190Z,RAMSSA_09km-ABOM-L4-AUS-v01,20060618120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,2.224355697631836,,Unspecified,2006-06-18T00:00:00.000Z,2006-06-19T00:00:00.000Z,-70.0,20.0,0.0,180.0,"POLYGON ((180 -70, 180 20, 0 20, 0 -70, 180 -70))"
granule,G1653241801-PODAAC,20060619120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,PODAAC,1,2019-11-07T00:28:09Z,2019-09-24T07:47:39.165Z,RAMSSA_09km-ABOM-L4-AUS-v01,20060619120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,2.2229185104370117,,Unspecified,2006-06-19T00:00:00.000Z,2006-06-20T00:00:00.000Z,-70.0,20.0,0.0,180.0,"POLYGON ((180 -70, 180 20, 0 20, 0 -70, 180 -70))"
granule,G1653208596-PODAAC,20060620120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,PODAAC,1,2019-11-06T22:59:12Z,2019-09-24T10:48:36.238Z,RAMSSA_09km-ABOM-L4-AUS-v01,20060620120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,2.224151611328125,,Unspecified,2006-06-20T00:00:00.000Z,2006-06-21T00:00:00.000Z,-70.0,20.0,0.0,180.0,"POLYGON ((180 -70, 180 20, 0 20, 0 -70, 180 -70))"
granule,G1653246142-PODAAC,20060621120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,PODAAC,1,2019-11-07T00:35:54Z,2019-09-24T07:04:28.796Z,RAMSSA_09km-ABOM-L4-AUS-v01,20060621120000-ABOM-L4_GHRSST-SSTfnd-RAMSSA_09km-AUS-v02.0-fv01.0.nc,2.2193002700805664,,Unspecified,2006-06-21T00:00:00.000Z,2006-06-22T00:00:00.000Z,-70.0,20.0,0.0,180.0,"POLYGON ((180 -70, 180 20, 0 20, 0 -70, 180 -70))"
